Id	ChapterId	CountWeight[1]	CountWeight[2]	CountWeight[3]	FightWeight	FightWeightFactor	FightFactor[1]	FightFactor[2]	FightFactor[3]	FightFactor[4]	FightFactor[5]	FightFactor[6]	FightFactor[7]	EventWeight	ShopWeight	FightFloor	FightTop	EventFloor	EventTop	ShopFloor	ShopTop	FightLibId	EventLibId	ShopLibId	RewardProbability[1]	ItemBoxWeight[1]	RecruitTicketWeight[1]	GoldWeight[1]	ItemBoxGroupId[1]	RecruitTicketGroupId[1]	GoldGroupId[1]	RewardProbability[2]	ItemBoxWeight[2]	RecruitTicketWeight[2]	GoldWeight[2]	ItemBoxGroupId[2]	RecruitTicketGroupId[2]	GoldGroupId[2]
39	8	10000	0	0	0	0	15900	15900	15995	16377	16742	17124	17505	10000	0	0	3	0	3	0	1	1001	1001	1011	100	0	10000	0	1	1	1	5	1000	0	0	3	1	1
40	8	1000	3000	6000	0	0	21600	21600	21837	22464	23068	23695	24343	10000	0	0	3	0	3	0	1	2102	1002	1021	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
41	8	1000	3000	6000	8000	0	27800	27800	28522	29468	30413	31358	32359	1000	1000	0	3	1	1	0	1	2103	1002	1021	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
42	8	1000	3000	6000	0	0	34300	34402	35706	37044	38381	39788	41228	10000	0	0	3	0	3	0	1	2104	1002	1021	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
43	8	1000	3000	6000	7000	0	40900	41390	43149	44990	46830	48752	50716	0	3000	0	3	0	3	0	1	2105	1002	1021	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
44	9	1000	3000	6000	5000	0	31900	31900	32282	33814	35345	36972	38630	5000	0	0	3	0	3	0	1	3001	1003	1031	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
45	9	1000	3000	6000	5000	0	38600	38600	39603	41688	43772	45972	48250	3000	2000	0	3	0	3	0	1	3002	1003	1031	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
46	9	1000	3000	6000	5000	0	45800	45800	48090	50838	53631	56563	59585	5000	0	0	3	0	3	0	1	3003	1003	1031	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
47	9	1000	3000	6000	7000	0	53400	53934	57298	60876	64507	68352	72303	3000	0	0	3	0	3	0	1	3004	1003	1031	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
48	9	1000	3000	6000	5000	0	61200	62852	67136	71604	76255	81090	86108	5000	0	0	3	0	3	0	1	3005	1003	1031	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
49	9	1000	3000	6000	3000	0	69300	72279	77616	83160	88911	95010	101316	5000	2000	0	3	0	3	1	1	3006	1003	1035	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
50	9	0	10000	0	0	0	77600	82178	88619	95448	102509	109959	117796	10000	10000	0	0	1	1	1	1	3006	20001	1032	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
51	9	10000	0	0	0	0	86100	92557	100306	108486	117009	126050	135607	10000	0	0	3	1	3	0	1	3007	3001	1031	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
52	9	10000	0	0	0	0	86100	92557	100306	108486	117009	126050	135607	10000	0	0	3	1	3	0	1	3008	3002	1031	100	0	7000	3000	2	2	2	100	1000	0	0	2	2	2
53	10	1000	3000	6000	6000	0	61300	61300	65958	71721	77728	84103	90785	2000	2000	0	3	0	3	0	1	4001	1004	1041	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
54	10	1000	3000	6000	5000	0	74400	76557	83774	91512	99621	108177	117254	5000	0	0	3	0	3	0	1	4002	1004	1041	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
55	10	1000	3000	6000	7000	0	87600	92943	102229	112128	122552	133765	145503	3000	0	0	3	0	3	0	1	4003	1004	1041	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
56	10	1000	3000	6000	3000	0	100900	110081	121786	134197	147414	161440	176373	5000	2000	0	3	0	3	0	1	4004	1004	1041	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
57	10	1000	3000	6000	7000	0	115785	129159	143446	158877	175221	192709	211455	3000	0	0	3	0	3	0	1	4005	1004	1041	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
58	10	1000	3000	6000	7000	0	131810	147888	165114	183744	203522	224831	247544	0	3000	0	3	0	3	0	1	4006	1004	1041	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
59	11	1000	3000	6000	6000	0	80400	80400	89163	99696	110952	123012	135956	4000	0	0	3	0	3	0	1	5001	1005	1051	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
60	11	1000	3000	6000	3000	0	97900	101228	114151	128249	143325	159577	177101	5000	2000	0	3	0	3	0	1	5002	1005	1051	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
61	11	1000	3000	6000	7000	0	115200	124185	140889	158976	178444	199526	222220	3000	0	0	3	0	3	0	1	5003	1005	1051	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
62	11	1000	3000	6000	5000	0	132300	148440	169211	191835	216310	242770	271479	5000	0	0	3	0	3	0	1	5004	1005	1051	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
63	11	1000	3000	6000	5000	0	150692	173668	199032	226784	256773	289448	324808	3000	2000	0	3	0	3	1	1	5005	1005	1054	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
64	11	1000	3000	6000	7000	0	172536	200075	230435	263781	299947	339597	382399	3000	0	0	3	0	3	0	1	5006	1005	1051	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
65	11	10000	0	0	0	0	193602	225869	261600	300795	343635	390486	441348	10000	0	0	3	1	3	0	1	5007	5001	1051	100	0	7000	3000	2	2	2	100	1000	0	0	2	2	2
66	12	10000	0	0	1000	0	167867	197047	229245	264966	304040	346803	393424	0	0	0	3	0	3	0	1	6001	1006	1061	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
67	12	10000	0	0	0	0	194041	229020	267865	311129	358442	410543	467429	0	1000	0	3	0	3	1	1	6002	1006	1065	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
68	12	10000	0	0	0	0	221110	262531	308754	360180	416808	479239	547673	10000	0	0	3	1	3	0	1	6003	1006	1061	100	0	7000	3000	2	2	2	100	1000	0	0	2	2	2
69	13	10000	0	0	0	0	167867	197047	229245	264966	304040	346803	393424	0	1000	0	0	0	0	1	1	6002	1006	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
70	13	0	10000	0	0	0	167867	197047	229245	264966	304040	346803	393424	10000	0	0	0	2	2	0	0	6002	10071	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
71	13	10000	0	0	0	0	194041	229020	267865	311129	358442	410543	467429	10000	0	0	0	1	1	0	0	6002	10072	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
72	13	10000	0	0	0	0	194041	229020	267865	311129	358442	410543	467429	10000	0	0	0	1	1	0	0	6002	10073	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
73	13	10000	0	0	0	0	221110	262531	308754	360180	416808	479239	547673	10000	0	0	0	1	1	0	0	6002	10074	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
74	13	10000	0	0	0	0	221110	262531	308754	360180	416808	479239	547673	10000	0	0	0	1	1	0	0	6002	10075	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
75	14	10000	0	0	0	0	167867	197047	229245	264966	304040	346803	393424	0	1000	0	0	0	0	1	1	6002	1006	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
76	14	0	10000	0	0	0	167867	197047	229245	264966	304040	346803	393424	10000	0	0	0	2	2	0	0	6002	10071	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
77	14	10000	0	0	0	0	194041	229020	267865	311129	358442	410543	467429	10000	0	0	0	1	1	0	0	6002	10072	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
78	14	10000	0	0	0	0	194041	229020	267865	311129	358442	410543	467429	10000	0	0	0	1	1	0	0	6002	10073	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
79	14	10000	0	0	0	0	221110	262531	308754	360180	416808	479239	547673	10000	0	0	0	1	1	0	0	6002	10074	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
80	14	10000	0	0	0	0	221110	262531	308754	360180	416808	479239	547673	10000	0	0	0	1	1	0	0	6002	10075	1071	100	2000	6000	2000	1	1	1	5	1000	0	0	3	1	1
