Id	Type	CharacterId	Level	RobotId	FightAbility	FightEventIds[1]	FightEventIds[2]
96	2	1021001	3	126004	4000	2250602	2250603
97	2	1031001	1	126005			
98	2	1031001	2	126006	2000	2250602	
99	2	1031001	3	126006	4000	2250602	2250603
100	2	1041002	1	126007			
101	2	1041002	2	126008	2000	2250602	
102	2	1041002	3	126008	4000	2250602	2250603
103	2	1051001	1	126009			
104	2	1051001	2	126010	2000	2250602	
105	2	1051001	3	126008	4000	2250602	2250603
106	2	1061002	1	126011			
107	2	1061002	2	126012	2000	2250602	
108	2	1061002	3	126012	4000	2250602	2250603
109	2	1071002	1	126013			
110	2	1071002	2	126014	2000	2250602	
111	2	1071002	3	126014	4000	2250602	2250603
112	2	1081002	1	126015			
113	2	1081002	2	126016	2000	2250602	
114	2	1081002	3	126016	4000	2250602	2250603
115	2	1021002	1	126017			
116	2	1021002	2	126018	2000	2250602	
117	2	1021002	3	126018	4000	2250602	2250603
118	2	1031002	1	126019			
119	2	1031002	2	126020	2000	2250602	
120	2	1031002	3	126020	4000	2250602	2250603
121	2	1011003	1	126021			
122	2	1011003	2	126022	2000	2250602	
123	2	1011003	3	126022	4000	2250602	2250603
124	2	1031003	1	126023			
125	2	1031003	2	126024	2000	2250602	
126	2	1031003	3	126024	4000	2250602	2250603
127	2	1061003	1	126025			
128	2	1061003	2	126026	2000	2250602	
129	2	1061003	3	126026	4000	2250602	2250603
130	2	1071003	1	126027			
131	2	1071003	2	126028	2000	2250602	
132	2	1071003	3	126028	4000	2250602	2250603
133	2	1051003	1	126029			
134	2	1051003	2	126030	2000	2250602	
135	2	1051003	3	126030	4000	2250602	2250603
136	2	1021003	1	126031			
137	2	1021003	2	126032	2000	2250602	
138	2	1021003	3	126032	4000	2250602	2250603
139	2	1081003	1	126033			
140	2	1081003	2	126034	2000	2250602	
141	2	1081003	3	126034	4000	2250602	2250603
142	2	1091002	1	126035			
143	2	1091002	2	126036	2000	2250602	
144	2	1091002	3	126036	4000	2250602	2250603
145	2	1041003	1	126037			
146	2	1041003	2	126038	2000	2250602	
147	2	1041003	3	126038	4000	2250602	2250603
148	2	1111002	1	126039			
149	2	1111002	2	126040	2000	2250602	
150	2	1111002	3	126040	4000	2250602	2250603
151	2	1121002	1	126041			
152	2	1121002	2	126042	2000	2250602	
153	2	1121002	3	126042	4000	2250602	2250603
154	2	1021004	1	126043			
155	2	1021004	2	126044	2000	2250602	
156	2	1021004	3	126044	4000	2250602	2250603
157	2	1131002	1	126045			
158	2	1131002	2	126046	2000	2250602	
159	2	1131002	3	126046	4000	2250602	2250603
160	2	1511003	1	126047			
161	2	1511003	2	126048	2000	2250602	
162	2	1511003	3	126048	4000	2250602	2250603
163	2	1141003	1	126049			
164	2	1141003	2	126050	2000	2250602	
165	2	1141003	3	126050	4000	2250602	2250603
166	2	1521003	1	126051			
167	2	1521003	2	126052	2000	2250602	
168	2	1521003	3	126052	4000	2250602	2250603
169	2	1161002	1	126053			
170	2	1161002	2	126054	2000	2250602	
171	2	1161002	3	126054	4000	2250602	2250603
172	2	1171003	1	126055			
173	2	1171003	2	126056	2000	2250602	
174	2	1171003	3	126056	4000	2250602	2250603
175	2	1041004	1	126057			
176	2	1041004	2	126058	2000	2250602	
177	2	1041004	3	126058	4000	2250602	2250603
178	2	1211002	1	126059			
179	2	1211002	2	126060	2000	2250602	
180	2	1211002	3	126060	4000	2250602	2250603
181	2	1531003	1	126061			
182	2	1531003	2	126062	2000	2250602	
183	2	1531003	3	126062	4000	2250602	2250603
184	2	1121003	1	126063			
185	2	1121003	2	126064	2000	2250602	
186	2	1121003	3	126064	4000	2250602	2250603
187	2	1221002	1	126065			
188	2	1221002	2	126066	2000	2250602	
189	2	1221002	3	126066	4000	2250602	2250603
190	2	1131003	1	126067			
191	2	1131003	2	126068	2000	2250602	
192	2	1131003	3	126068	4000	2250602	2250603
193	2	1541003	1	126069			
194	2	1541003	2	126070	2000	2250602	
195	2	1541003	3	126070	4000	2250602	2250603
196	2	1031004	1	126071			
197	2	1031004	2	126072	2000	2250602	
198	2	1031004	3	126072	4000	2250602	2250603
199	2	1531004	1	126073			
200	2	1531004	2	126074	2000	2250602	
201	2	1531004	3	126074	4000	2250602	2250603
202	2	1551003	1	126075			
203	2	1551003	2	126076	2000	2250602	
204	2	1551003	3	126076	4000	2250602	2250603
205	2	1051004	1	126077			
206	2	1051004	2	126078	2000	2250602	
207	2	1051004	3	126078	4000	2250602	2250603
208	2	1561003	1	126079			
209	2	1561003	2	126080	2000	2250602	
210	2	1561003	3	126080	4000	2250602	2250603
211	2	1071004	1	126081			
212	2	1071004	2	126082	2000	2250602	
213	2	1071004	3	126082	4000	2250602	2250603
214	2	1571003	1	126083			
215	2	1571003	2	126084	2000	2250602	
216	2	1571003	3	126084	4000	2250602	2250603
217	2	1231002	1	126085			
218	2	1231002	2	126086	2000	2250602	
219	2	1231002	3	126086	4000	2250602	2250603
220	2	1011004	1	126087			
221	2	1011004	2	126088	2000	2250602	
222	2	1011004	3	126088	4000	2250602	2250603
223	2	1091003	1	126089			
224	2	1091003	2	126090	2000	2250602	
225	2	1091003	3	126090	4000	2250602	2250603
226	1	1021005	1	126091			
227	1	1021005	2	126092	2000	2250602	
228	2	1021005	1	126091			
229	2	1021005	2	126092	2000	2250602	
230	2	1021005	3	126092	4000	2250602	2250603
