Id	DiscountNum	DiscountRate	GroupId[1]	ConditionId[1]	GroupId[2]	ConditionId[2]	GroupId[3]	ConditionId[3]	GroupId[4]	ConditionId[4]	GroupId[5]	ConditionId[5]	GroupId[6]	ConditionId[6]	Desc	EndDesc	EndComfirmText	TitleContent	RoleIcon	RoleName	RoleContent	BgAsset
33	1	75	3	0	1	0	4	0	4	0	3	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
34	1	75	1	0	2	0	4	0	4	0	2	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
41	1	75	4	0	4	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
42	1	75	1	0	2	0	3	0	1	0	2	0	3	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
43	1	75	3	0	1	0	4	0	4	0	3	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
44	1	75	1	0	2	0	4	0	4	0	2	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
51	1	75	4	0	4	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
52	1	75	1	0	2	0	3	0	1	0	2	0	3	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
53	1	75	3	0	1	0	4	0	4	0	3	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
54	1	75	1	0	2	0	4	0	4	0	2	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
61	1	75	4	0	4	0	4	0	4	0	4	0	4	1004036	Tinbread Cookies can also be used to purchase items?	You say goodbye to Shark-speare. And the reality is right in front of you. Go!	Continue Joruney	Shark-speare... Sale?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	Y-you didn't expect to see me here, did you...?	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
62	1	75	1	0	2	0	3	0	1	0	2	0	3	1004036	Tinbread Cookies can also be used to purchase items?	You say goodbye to Shark-speare. And the reality is right in front of you. Go!	Continue Joruney	Shark-speare... Sale?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	Y-you didn't expect to see me here, did you...?	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
63	1	75	3	0	1	0	4	0	4	0	3	0	4	1004036	Tinbread Cookies can also be used to purchase items?	You say goodbye to Shark-speare. And the reality is right in front of you. Go!	Continue Joruney	Shark-speare... Sale?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	Y-you didn't expect to see me here, did you...?	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
64	1	75	1	0	2	0	4	0	4	0	2	0	4	1004036	Tinbread Cookies can also be used to purchase items?	You say goodbye to Shark-speare. And the reality is right in front of you. Go!	Continue Joruney	Shark-speare... Sale?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	Y-you didn't expect to see me here, did you...?	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
15	1	75	4	0	5	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory388.png
25	1	75	4	0	5	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory361.png
35	1	75	4	0	5	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
45	1	75	4	0	5	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
55	1	75	4	0	5	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
65	1	75	4	0	5	0	4	0	4	0	4	0	4	1004036	Tinbread Cookies can also be used to purchase items?	You say goodbye to Shark-speare. And the reality is right in front of you. Go!	Continue Joruney	Shark-speare... Sale?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	Y-you didn't expect to see me here, did you...?	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
