Id	TemplateId	Note	Difficulty	GoldId	ItemBoxId	RecruitTicketId
50051	5142	2700	1	15		
50052	5143	2700	1	16		
50053	5313	2700	1	15		
50054	5415	900	1	16		
50055	5642	500	2	18	2	
50056	5711	300	2	17	2	
50057	5915	200	2	18	2	
50061	5142	2700	1	15		
50062	5143	2700	1	16		
50063	5313	2700	1	15		
50064	5416	900	1	16		
50065	5642	500	2	18	2	
50066	5711	300	2	17	2	
50067	5916	200	2	18	2	
50071	5001	10000	1	19	3	
50072	5002	10000	1	19	3	
60011	6641	5000	2	17	2	
60012	6642	5000	2	18	2	
60021	6641	5000	2	17	2	
60022	6642	5000	2	18	2	
60031	6001	10000	1	19		
70011	7001	10000	1	18	2	
70021	7002	10000	1	18	2	
70031	7003	10000	1	18	203	
70041	7004	10000	1	18	202	
70051	7005	10000	1	18	201	
11011	1111	5000	1	15		
11012	1112	5000	1	16		
11021	1121	3750	1	15		
11022	1122	3750	1	16		
11023	1311	2500	1	15		
11031	1111	10000	1	16		
11041	1111	10000	1	17		
21011	2121	5000	1	15		
21012	2122	5000	1	16		
21021	2121	5000	1	15		
21022	2122	5000	1	16		
21031	2621	5000	2	17	2	
21032	2622	5000	2	18	2	
21041	2121	3000	1	15		
21042	2122	3000	1	16		
21043	2311	3000	1	15		
21044	2621	500	2	17	2	
21045	2622	500	2	18	2	
21051	2121	3000	1	15		
21052	2122	3000	1	16		
21053	2311	3000	1	15		
21054	2621	500	2	17	2	
21055	2622	500	2	18	2	
