Id	Note	TemplateId	StageId	Weight	Mode	ModeParams[1]	ModeParams[2]	ModeParams[3]	ModeParams[4]	ModeParams[5]	TimeLimit	MonsterGroupId[1]	MonsterGroupId[2]	MonsterGroupId[3]	MonsterGroupId[4]	MonsterGroupId[5]	FightEventIds[1]	FightEventIds[2]	FightEventIds[3]	FightEventIds[4]	FightEventIds[5]	SuggestAbility
39117	Chapter 3 - Hard DMG	3917	30062622	100	4	8100000					90	391111					2250508	2250506	2250405			3300
39211	Chapter 3 - Hard DMG - Second Sight Guaranteed	3921	30062622	100	4	3300000					90	391111					2250509	2250506	2250405	2250508		3300
39212	Chapter 3 - Hard DMG - Second Sight Guaranteed	3922	30062622	100	4	4000000					90	391121					2250509	2250507	2250405	2250508		3300
39213	Chapter 3 - Hard DMG - Second Sight Guaranteed	3923	30062622	100	4	4700000					90	391111					2250509	2250506	2250507	2250405	2250508	3300
39214	Chapter 3 - Hard DMG - Second Sight Guaranteed	3924	30062622	100	4	5500000					90	391121					2250509	2250506	2250405	2250508		3300
39215	Chapter 3 - Hard DMG - Second Sight Guaranteed	3925	30062622	100	4	6300000					90	391111					2250509	2250507	2250405	2250508		3300
39216	Chapter 3 - Hard DMG - Second Sight Guaranteed	3926	30062622	100	4	7200000					90	391121					2250509	2250506	2250507	2250405	2250508	3300
39217	Chapter 3 - Hard DMG - Second Sight Guaranteed	3927	30062622	100	4	8100000					90	391111					2250509	2250506	2250405	2250508		3300
41211	Chapter 4 - Normal Enemy Grinding	4121	30062619	100	1	0	30				90	412111	412112				2250508	2250502				3300
41212	Chapter 4 - Normal Enemy Grinding	4121	30062619	100	1	0	30				90	412121	412122				2250508	2250503				3300
41213	Chapter 4 - Normal Enemy Grinding	4121	30062619	100	1	0	30				90	412131	412132				2250508					3300
41221	Chapter 4 - Normal Enemy Grinding	4122	30062606	100	1	0	30				90	412211	412212				2250508	2250502				3300
41222	Chapter 4 - Normal Enemy Grinding	4122	30062606	100	1	0	30				90	412221	412222				2250508	2250503				3300
41223	Chapter 4 - Normal Enemy Grinding	4122	30062606	100	1	0	30				90	412231	412232				2250508					3300
41224	Chapter 4 - Normal Enemy Grinding	4122	30062606	100	1	0	30				90	412241	412242				2250508	2250502				3300
41311	Chapter 4 - Normal Enemy Grinding	4131	30062610	100	1	0	30	60			90	413111	413112	413113			2250508	2250503				3300
41312	Chapter 4 - Normal Enemy Grinding	4131	30062610	100	1	0	30	60			90	413121	413122	413123			2250508					3300
41313	Chapter 4 - Normal Enemy Grinding	4131	30062610	100	1	0	30	60			90	413131	413132	413133			2250508	2250502				3300
41314	Chapter 4 - Normal Enemy Grinding	4131	30062610	100	1	0	30	60			90	413141	413142	413143			2250508	2250503				3300
43111	Chapter 4 - Normal Enemy Elimination	4311	30062619	100	3	20					90	431111					2250508					3300
43112	Chapter 4 - Normal Enemy Elimination	4311	30062619	100	3	20					90	431121					2250508	2250502				3300
43113	Chapter 4 - Normal Enemy Elimination	4311	30062619	100	3	20					90	431131					2250508	2250503				3300
43114	Chapter 4 - Normal Enemy Elimination	4311	30062606	100	3	20					90	431141					2250508					3300
43115	Chapter 4 - Normal Enemy Elimination	4311	30062606	100	3	20					90	431151					2250508	2250502				3300
44111	Chapter 4 - Normal DMG	4411	30062619	100	4	7300000					90	441111					2250508	2250405				3300
44112	Chapter 4 - Normal DMG	4412	30062619	100	4	8900000					90	441121					2250508	2250405				3300
44113	Chapter 4 - Normal DMG	4413	30062606	100	4	10500000					90	441111					2250508	2250405				3300
44114	Chapter 4 - Normal DMG	4414	30062606	100	4	12100000					90	441121					2250508	2250405				3300
44115	Chapter 4 - Normal DMG	4415	30062610	100	4	13700000					90	441111					2250508	2250405				3300
44116	Chapter 4 - Normal DMG	4416	30062610	100	4	15300000					90	441121					2250508	2250405				3300
46311	Chapter 4 - Hard Enemy Grinding	4631	30062619	100	1	0	30	60			90	463111	463112	463113			2250508	2250502				3300
46312	Chapter 4 - Hard Enemy Grinding	4631	30062606	100	1	0	30	60			90	463121	463122	463123			2250508	2250503				3300
46313	Chapter 4 - Hard Enemy Grinding	4631	30062610	100	1	0	30	60			90	463131	463132	463133			2250508	2250502	2250503			3300
46321	Chapter 4 - Hard Enemy Grinding - Second Sight Guaranteed	4632	30062619	100	1	0	30	60			90	463111	463112	463113			2250509	2250502	2250508			3300
46322	Chapter 4 - Hard Enemy Grinding - Second Sight Guaranteed	4632	30062606	100	1	0	30	60			90	463121	463122	463123			2250509	2250503	2250508			3300
46323	Chapter 4 - Hard Enemy Grinding - Second Sight Guaranteed	4632	30062610	100	1	0	30	60			90	463131	463132	463133			2250509	2250502	2250503	2250508		3300
47111	Chapter 4 - Hard Living On	4711	30062619	100	2	100					90	471111					2250508	2250502	2250503			3300
47112	Chapter 4 - Hard Living On	4711	30062606	100	2	100					90	471121					2250508	2250502	2250503			3300
47211	Chapter 4 - Hard Living On - Second Sight Guaranteed	4721	30062619	100	2	100					90	471111					2250509	2250502	2250503	2250508		3300
47212	Chapter 4 - Hard Living On - Second Sight Guaranteed	4721	30062606	100	2	100					90	471121					2250509	2250502	2250503	2250508		3300
49111	Chapter 4 - Hard DMG	4911	30062619	100	4	7300000					90	491111					2250508	2250502	2250405			3300
49112	Chapter 4 - Hard DMG	4912	30062619	100	4	8900000					90	491111					2250508	2250503	2250405			3300
49113	Chapter 4 - Hard DMG	4913	30062606	100	4	10500000					90	491111					2250508	2250502	2250503	2250405		3300
49114	Chapter 4 - Hard DMG	4914	30062606	100	4	12100000					90	491111					2250508	2250502	2250405			3300
49115	Chapter 4 - Hard DMG	4915	30062610	100	4	13700000					90	491111					2250508	2250503	2250405			3300
49116	Chapter 4 - Hard DMG	4916	30062610	100	4	15300000					90	491111					2250508	2250502	2250503	2250405		3300
49211	Chapter 4 - Hard DMG - Second Sight Guaranteed	4921	30062619	100	4	7300000					90	491111					2250509	2250502	2250405	2250508		3300
49212	Chapter 4 - Hard DMG - Second Sight Guaranteed	4922	30062619	100	4	8900000					90	491111					2250509	2250503	2250405	2250508		3300
49213	Chapter 4 - Hard DMG - Second Sight Guaranteed	4923	30062606	100	4	10500000					90	491111					2250509	2250502	2250503	2250405	2250508	3300
49214	Chapter 4 - Hard DMG - Second Sight Guaranteed	4924	30062606	100	4	12100000					90	491111					2250509	2250502	2250405	2250508		3300
49215	Chapter 4 - Hard DMG - Second Sight Guaranteed	4925	30062610	100	4	13700000					90	491111					2250509	2250503	2250405	2250508		3300
49216	Chapter 4 - Hard DMG - Second Sight Guaranteed	4926	30062610	100	4	15300000					90	491111					2250509	2250502	2250503	2250405	2250508	3300
51311	Chapter 5 - Normal Enemy Grinding	5131	30062620	100	1	0	30	60			90	513111	513112	513113			2250508	2250504				3300
51312	Chapter 5 - Normal Enemy Grinding	5131	30062620	100	1	0	30	60			90	513121	513122	513123			2250508	2250505				3300
51313	Chapter 5 - Normal Enemy Grinding	5131	30062620	100	1	0	30	60			90	513131	513132	513133			2250508					3300
51321	Chapter 5 - Normal Enemy Grinding	5132	30062620	100	1	0	30	60			90	513211	513212	513213			2250508	2250504				3300
51322	Chapter 5 - Normal Enemy Grinding	5132	30062620	100	1	0	30	60			90	513221	513222	513223			2250508	2250505				3300
51323	Chapter 5 - Normal Enemy Grinding	5132	30062620	100	1	0	30	60			90	513231	513232	513233			2250508					3300
51411	Chapter 5 - Normal Enemy Grinding	5141	30062620	100	1	0	20	40	60		90	514111	514112	514113	514114		2250508	2250504				3300
51412	Chapter 5 - Normal Enemy Grinding	5141	30062620	100	1	0	20	40	60		90	514121	514122	514123	514124		2250508	2250505				3300
51413	Chapter 5 - Normal Enemy Grinding	5141	30062620	100	1	0	20	40	60		90	514131	514132	514133	514134		2250508					3300
51421	Chapter 5 - Normal Enemy Grinding	5142	30062620	100	1	0	20	40	60		90	514211	514212	514213	514214		2250508	2250504				3300
51422	Chapter 5 - Normal Enemy Grinding	5142	30062620	100	1	0	20	40	60		90	514221	514222	514223	514224		2250508	2250505				3300
51423	Chapter 5 - Normal Enemy Grinding	5142	30062620	100	1	0	20	40	60		90	514231	514232	514233	514234		2250508					3300
51431	Chapter 5 - Normal Enemy Grinding	5143	30062607	100	1	0	20	40	60		90	514311	514312	514313	514314		2250508	2250504				3300
51432	Chapter 5 - Normal Enemy Grinding	5143	30062607	100	1	0	20	40	60		90	514321	514322	514323	514324		2250508	2250505				3300
51433	Chapter 5 - Normal Enemy Grinding	5143	30062607	100	1	0	20	40	60		90	514331	514332	514333	514334		2250508					3300
51441	Chapter 5 - Normal Enemy Grinding	5144	30062607	100	1	0	20	40	60		90	514411	514412	514413	514414		2250508	2250504				3300
51442	Chapter 5 - Normal Enemy Grinding	5144	30062607	100	1	0	20	40	60		90	514421	514422	514423	514424		2250508	2250505				3300
51443	Chapter 5 - Normal Enemy Grinding	5144	30062607	100	1	0	20	40	60		90	514431	514432	514433	514434		2250508					3300
51451	Chapter 5 - Normal Enemy Grinding	5145	30062607	100	1	0	20	40	60		90	514511	514512	514513	514514		2250508	2250504				3300
51452	Chapter 5 - Normal Enemy Grinding	5145	30062607	100	1	0	20	40	60		90	514521	514522	514523	514524		2250508	2250505				3300
51453	Chapter 5 - Normal Enemy Grinding	5145	30062607	100	1	0	20	40	60		90	514531	514532	514533	514534		2250508					3300
53111	Chapter 5 - Normal Enemy Elimination	5311	30062620	100	3	20					90	531111					2250508					3300
53112	Chapter 5 - Normal Enemy Elimination	5311	30062620	100	3	20					90	531121					2250508					3300
53113	Chapter 5 - Normal Enemy Elimination	5311	30062620	100	3	20					90	531131					2250508					3300
53121	Chapter 5 - Normal Enemy Elimination	5312	30062607	100	3	20					90	531211					2250508					3300
53122	Chapter 5 - Normal Enemy Elimination	5312	30062607	100	3	20					90	531221					2250508					3300
53123	Chapter 5 - Normal Enemy Elimination	5312	30062607	100	3	20					90	531231					2250508					3300
53131	Chapter 5 - Normal Enemy Elimination	5313	30062607	100	3	20					90	531311					2250508					3300
53132	Chapter 5 - Normal Enemy Elimination	5313	30062607	100	3	20					90	531321					2250508					3300
53133	Chapter 5 - Normal Enemy Elimination	5313	30062607	100	3	20					90	531331					2250508					3300
53134	Chapter 5 - Normal Enemy Elimination	5313	30062607	100	3	20					90	531341					2250508					3300
54111	Chapter 5 - Normal DMG	5411	30062620	100	4	11100000					90	541111					2250508	2250504	2250405			3300
54112	Chapter 5 - Normal DMG	5412	30062620	100	4	13500000					90	541121					2250508	2250505	2250405			3300
54113	Chapter 5 - Normal DMG	5413	30062620	100	4	15900000					90	541131					2250508	2250405				3300
54114	Chapter 5 - Normal DMG	5414	30062607	100	4	18200000					90	541111					2250508	2250504	2250405			3300
54115	Chapter 5 - Normal DMG	5415	30062607	100	4	20600000					90	541121					2250508	2250505	2250405			3300
54116	Chapter 5 - Normal DMG	5416	30062607	100	4	22900000					90	541131					2250508	2250405				3300
56411	Chapter 5 - Hard Enemy Grinding	5641	30062620	100	1	0	20	40	60		90	564111	564112	564113	564114		2250508	2250504				3300
56412	Chapter 5 - Hard Enemy Grinding	5641	30062620	100	1	0	20	40	60		90	564121	564122	564123	564124		2250508	2250505				3300
56413	Chapter 5 - Hard Enemy Grinding	5641	30062620	100	1	0	20	40	60		90	564131	564132	564133	564134		2250508	2250504	2250505			3300
56421	Chapter 5 - Hard Enemy Grinding	5642	30062607	100	1	0	20	40	60		90	564211	564212	564213	564214		2250509	2250504	2250508			3300
56422	Chapter 5 - Hard Enemy Grinding	5642	30062607	100	1	0	20	40	60		90	564221	564222	564223	564224		2250509	2250505	2250508			3300
56423	Chapter 5 - Hard Enemy Grinding	5642	30062607	100	1	0	20	40	60		90	564231	564232	564233	564234		2250509	2250504	2250505	2250508		3300
57111	Chapter 5 - Hard Living On	5711	30062620	100	2	100					90	571111					2250508	2250504	2250505			3300
57112	Chapter 5 - Hard Living On	5711	30062607	100	2	100					90	571121					2250508	2250504	2250505			3300
57113	Chapter 5 - Hard Living On	5711	30062607	100	2	100					90	571131					2250508	2250504	2250505			3300
57211	Chapter 5 - Hard Living On - Second Sight Guaranteed	5721	30062620	100	2	100					90	571111					2250509	2250504	2250505	2250508		3300
57212	Chapter 5 - Hard Living On - Second Sight Guaranteed	5721	30062607	100	2	100					90	571121					2250509	2250504	2250505	2250508		3300
57213	Chapter 5 - Hard Living On - Second Sight Guaranteed	5721	30062607	100	2	100					90	571131					2250509	2250504	2250505	2250508		3300
59111	Chapter 5 - Hard DMG	5911	30062620	100	4	11100000					90	591111					2250508	2250504	2250405			3300
59112	Chapter 5 - Hard DMG	5912	30062620	100	4	13500000					90	591121					2250508	2250505	2250405			3300
59113	Chapter 5 - Hard DMG	5913	30062620	100	4	15900000					90	591111					2250508	2250504	2250505	2250405		3300
59114	Chapter 5 - Hard DMG	5914	30062607	100	4	18200000					90	591121					2250508	2250504	2250405			3300
59115	Chapter 5 - Hard DMG	5915	30062607	100	4	20600000					90	591111					2250508	2250505	2250405			3300
59116	Chapter 5 - Hard DMG	5916	30062607	100	4	22900000					90	591121					2250508	2250504	2250505	2250405		3300
59211	Chapter 5 - Hard DMG - Second Sight Guaranteed	5921	30062620	100	4	11100000					90	591111					2250509	2250504	2250405	2250508		3300
59212	Chapter 5 - Hard DMG - Second Sight Guaranteed	5922	30062620	100	4	13500000					90	591121					2250509	2250505	2250405	2250508		3300
59213	Chapter 5 - Hard DMG - Second Sight Guaranteed	5923	30062620	100	4	15900000					90	591111					2250509	2250504	2250505	2250405	2250508	3300
59214	Chapter 5 - Hard DMG - Second Sight Guaranteed	5924	30062607	100	4	18200000					90	591121					2250509	2250504	2250405	2250508		3300
59215	Chapter 5 - Hard DMG - Second Sight Guaranteed	5925	30062607	100	4	20600000					90	591111					2250509	2250505	2250405	2250508		3300
59216	Chapter 5 - Hard DMG - Second Sight Guaranteed	5926	30062607	100	4	22900000					90	591121					2250509	2250504	2250505	2250405	2250508	3300
66411	Chapter 6 - Hard Enemy Grinding	6641	30062621	100	1	0	20	40			90	664111	664112	664113			2250508					3300
66412	Chapter 6 - Hard Enemy Grinding	6641	30062621	100	1	0	20	40			90	664121	664122	664123			2250508					3300
66413	Chapter 6 - Hard Enemy Grinding	6641	30062621	100	1	0	20	40			90	664131	664132	664133			2250508					3300
66421	Chapter 6 - Hard Enemy Grinding	6642	30062621	100	1	0	20	40			90	664211	664212	664213			2250508					3300
66422	Chapter 6 - Hard Enemy Grinding	6642	30062621	100	1	0	20	40			90	664221	664222	664223			2250508					3300
66423	Chapter 6 - Hard Enemy Grinding	6642	30062621	100	1	0	20	40			90	664231	664232	664233			2250508					3300
30081	Chapter 3 Boss Fight - Lamia	3001	30062645	100	1	0					90	514531					2250508	2250706	2250406	2250764		3300
50071	Chapter 5 Boss Fight 1 - Siren	5001	30062646	100	1	0					90	514531					2250508	2250707	2250767			3300
50072	Chapter 5 Boss Fight 1 - Red Tide's Daughter	5002	30062647	100	1	0					90	514531					2250508	2250708	2250767			3300
60001	Chapter 6 Boss Fight - Moon Eater	6001	30062648	100	1	0					90	514531					2250508	2250709	2250768			3300
70011	Event Elite Battle - Butler - Chapter 1	7001	30062640	100	1	0					90	514531					2250508	2250701	2250761			3300
70021	Event Elite Battle - Sister - Chapter 2	7002	30062641	100	1	0					90	514531					2250508	2250702	2250762			3300
70031	Event Elite Battle - Musashi - Chapter 3	7003	30062642	100	1	0					90	514531					2250508	2250703	2250763			3300
70041	Event Elite Battle - Gabriel - Chapter 4	7004	30062643	100	1	0					90	514531					2250508	2250704	2250765			3300
70051	Event Elite Battle - Camu - Chapter 5	7005	30062644	100	1	0					90	514531					2250508	2250705	2250766			3300
70061	Event Elite Battle - Twin Shark - Chapter 4	7006	30062650	100	1	0					90	514531					2250508	2250719	2250770			3300
70071	Event Elite Battle - White Shark - Chapter 4	7007	30062651	100	1	0					90	514531					2250508	2250720	2250771			3300
86411	DLC New Ending - Chapter 6 - Destruction 1 - Enemy Grinding Template Used	8641	30062660	100	1	0	30	60			90	864111	864112	864113			2250509	2250716	2250506	2250507	2250508	3300
