Id	GroupId	FightId	Weight	NodeRepeatable	GameRepeatable	ConditionId
250	1103	11031	10000	0	1	
251	1104	11041	10000	0	1	
252	2101	21011	5000	0	1	
253	2101	21012	5000	0	1	
254	2102	21021	5000	0	1	
255	2102	21022	5000	0	1	
256	2103	21031	5000	0	1	
257	2103	21032	5000	0	1	
258	2104	21041	3000	0	1	
259	2104	21042	3000	0	1	
260	2104	21043	3000	0	1	
261	2104	21044	500	0	1	
262	2104	21045	500	0	1	
263	2105	21051	3000	0	1	
264	2105	21052	3000	0	1	
265	2105	21053	3000	0	1	
266	2105	21054	500	0	1	1005048
267	2105	21055	500	0	1	1005048
