Id	MonsterIds[1]	MonsterIds[2]	MonsterIds[3]	MonsterIds[4]	MonsterIds[5]	MonsterIds[6]
514414	5121	5108	5108			
514421	5118	5104	5104			
514422	5118	5104	5104			
514423	5118	5104	5104			
514424	5118	5104	5104			
514431	5115	5113	5113			
514432	5115	5113	5113			
514433	5115	5113	5113			
514434	5115	5113	5113			
514511	5116	5104	5104			
514512	5116	5104	5104			
514513	5116	5104	5104			
514514	5116	5104	5104			
514521	5108	5108	5108	5108	5108	
514522	5108	5108	5108	5108	5108	
514523	5108	5108	5108	5108	5108	
514524	5108	5108	5108	5108	5108	
514531	5109	5109	5109	5109	5109	
514532	5109	5109	5109	5109	5109	
514533	5109	5109	5109	5109	5109	
514534	5109	5109	5109	5109	5109	
531111	5308	5308	5308	5308	5308	5308
531121	5301	5301	5301	5302	5302	5302
531131	5307	5307	5307	5307	5307	5307
531211	5306	5306	5304	5304	5305	5305
531221	5303	5303	5303	5307	5307	5307
531231	5304	5305	5306	5304	5305	5306
531311	5301	5301	5301	5301	5301	5301
531321	5306	5306	5306	5306	5306	5306
531331	5301	5302	5303	5301	5302	5303
531341	5303	5308	5303	5308	5303	5308
541111	5401					
541121	5403					
541131	5404					
564111	5614	5602	5602			
564112	5614	5602	5602			
564113	5614	5602	5602			
564114	5614	5602	5602			
564121	5604	5629	5629			
564122	5604	5629	5629			
564123	5604	5629	5629			
564124	5604	5629	5629			
564131	5605	5627	5627	5627		
564132	5605	5627	5627	5627		
564133	5605	5627	5627	5627		
564134	5605	5627	5627	5627		
564211	5610	5603	5603	5603		
564212	5610	5603	5603	5603		
564213	5610	5603	5603	5603		
564214	5610	5610	5610			
564221	5606	5628	5628	5628		
564222	5606	5628	5628	5628		
564223	5606	5628	5628	5628		
564224	5606	5606	5606			
564231	5607	5630	5630	5630		
564232	5608	5630	5630	5630		
564233	5609	5630	5630	5630		
564234	5607	5608	5609			
571111	5703	5703	5703			
571121	5702	5702	5702			
571131	5705					
591111	5904					
591121	5905					
664111	6607	6601	6601			
664112	6607	6601	6601			
664113	6613	6607	6607			
664121	6608	6602	6602			
664122	6608	6602	6602			
664123	6608	6608	6608			
664131	6609	6603	6603			
664132	6609	6603	6603			
664133	6609	6609	6609			
664211	6610	6604	6604			
664212	6610	6604	6604			
664213	6610	6610	6610			
664221	6611	6605	6605			
664222	6611	6605	6605			
664223	6611	6611	6611			
664231	6612	6606	6606			
664232	6612	6606	6606			
664233	6618	6612	6612			
