Id	GroupId	UsableTimes	TemplateId	Count	Params[0]	Params[1]	Params[2]	Weight	Rare	Priority	RewardType	Note
118	13	1	40201	1				100		940	0	
119	13	3	40301	1				100		930	0	
120	14	1	8950008	1				100	1	980	0	
121	14	1	8950009	1				100	1	990	0	
122	14	1	6903201	1				100	1	1000	0	
123	15	3	12	2				100		920	0	
124	15	3	30013	2				100		910	0	
125	15	4	1	6000				100		900	0	
126	15	3	31204	3				100		890	0	
127	15	3	31104	3				100		880	0	
128	15	3	40100	3				100		870	0	
129	15	3	40104	3				100		860	0	
130	15	3	40103	3				100		850	0	
131	15	1	40110	2				100		840	0	
132	15	1	40114	2				100		830	0	
133	15	1	40113	2				100		820	0	
134	15	3	30111	3				100		970	0	
135	15	1	30113	2				100		960	0	
136	15	3	40200	3				100		950	0	
137	15	1	40201	3				100		940	0	
138	15	7	40301	2				100		930	0	
139	16	5	50000	50				100	1	980	0	
140	16	5	50005	50				100	1	1000	0	
142	17	4	12	2				100		920	0	
143	17	4	30013	2				100		910	0	
144	17	4	1	6000				100		900	0	
145	17	3	31204	3				100		890	0	
146	17	3	31104	3				100		880	0	
147	17	3	40100	3				100		870	0	
148	17	3	40104	3				100		860	0	
149	17	3	40103	3				100		850	0	
150	17	1	40110	2				100		840	0	
151	17	1	40114	2				100		830	0	
152	17	1	40113	2				100		820	0	
153	17	3	30111	3				100		970	0	
154	17	1	30113	2				100		960	0	
155	17	3	40200	3				100		950	0	
156	17	1	40201	3				100		940	0	
157	17	8	40301	2				100		930	0	
158	18	5	50005	50				100	1	980	0	
159	18	1	9010228	1				100	1	1000	0	
161	19	4	12	2				100		920	0	
162	19	4	30013	2				100		910	0	
163	19	4	1	6000				100		900	0	
164	19	3	31204	3				100		890	0	
165	19	3	31104	3				100		880	0	
166	19	3	40100	3				100		870	0	
167	19	3	40104	3				100		860	0	
168	19	3	40103	3				100		850	0	
169	19	1	40110	2				100		840	0	
170	19	1	40114	2				100		830	0	
171	19	1	40113	2				100		820	0	
172	19	3	30111	3				100		970	0	
173	19	1	30113	2				100		960	0	
174	19	3	40200	3				100		950	0	
175	19	1	40201	3				100		940	0	
176	19	8	40301	2				100		930	0	
177	20	5	50003	50				100	1	990	0	
178	20	1	6001305	1				100	1	1000	0	
179	21	3	12	3				100		920	0	
180	21	3	30013	3				100		910	0	
181	21	4	1	6000				100		900	0	
182	21	3	31204	2				100		890	0	
183	21	3	31104	2				100		880	0	
184	21	3	40100	2				100		870	0	
185	21	3	40104	2				100		860	0	
186	21	3	40103	2				100		850	0	
187	21	1	40110	2				100		840	0	
188	21	1	40114	2				100		830	0	
189	21	1	40113	2				100		820	0	
190	21	3	30111	1				100		970	0	
191	21	1	30113	1				100		960	0	
192	21	3	40200	1				100		950	0	
193	21	1	40201	1				100		940	0	
194	21	3	40301	1				100		930	0	
195	22	1	8981601	1				100	1	980	0	
196	22	5	102	40				100	1	1000	0	
197	22	5	50005	50				100	1	990	0	
198	23	3	12	3				100		920	0	
199	23	3	30013	3				100		910	0	
200	23	3	1	6000				100		900	0	
201	23	3	31204	2				100		890	0	
202	23	3	31104	2				100		880	0	
203	23	3	40100	2				100		870	0	
204	23	3	40104	2				100		860	0	
205	23	3	40103	2				100		850	0	
206	23	1	40110	2				100		840	0	
207	23	1	40114	2				100		830	0	
208	23	1	40113	2				100		820	0	
209	23	3	30111	1				100		970	0	
210	23	1	30113	1				100		960	0	
211	23	3	40200	1				100		950	0	
212	23	1	40201	1				100		940	0	
213	23	3	40301	1				100		930	0	
214	24	1	8981602	1				100	1	970	0	
215	24	5	102	40				100	1	990	0	
216	24	5	50003	50				100	1	980	0	
217	24	1	6000106	1				100	1	1000	0	
218	25	3	12	3				100		920	0	
219	25	3	30013	3				100		910	0	
220	25	4	1	6000				100		900	0	
221	25	3	31204	2				100		890	0	
222	25	3	31104	2				100		880	0	
223	25	3	40100	2				100		870	0	
224	25	3	40104	2				100		860	0	
225	25	3	40103	2				100		850	0	
226	25	1	40110	2				100		840	0	
227	25	1	40114	2				100		830	0	
228	25	1	40113	2				100		820	0	
229	25	3	30111	1				100		970	0	
230	25	1	30113	1				100		960	0	
231	25	3	40200	1				100		950	0	
232	25	1	40201	1				100		940	0	
233	25	3	40301	1				100		930	0	
234	26	1	8981603	1				100	1	980	0	
235	26	5	102	40				100	1	1000	0	
236	26	5	50009	50				100	1	990	0	
237	27	3	12	3				100		920	0	
238	27	3	30013	3				100		910	0	
239	27	7	1	6000				100		900	0	
240	27	3	31204	2				100		890	0	
241	27	3	31104	2				100		880	0	
242	27	3	40100	2				100		870	0	
243	27	3	40104	2				100		860	0	
244	27	3	40103	2				100		850	0	
245	27	1	40110	2				100		840	0	
246	27	1	40114	2				100		830	0	
247	27	1	40113	2				100		820	0	
248	27	3	30111	1				100		970	0	
249	27	1	30113	1				100		960	0	
250	27	3	40200	1				100		950	0	
251	27	1	40201	1				100		940	0	
252	27	3	40301	1				100		930	0	
253	28	1	8981604	1				100	1	980	0	
254	28	1	8981605	1				100	1	990	0	
255	28	1	8981606	1				100	1	970	0	
256	28	5	102	40				100	1	1000	0	
257	99	1	250025	1				215	1	2000	0	
258	99	1	50005	2500				322	1	1800	0	
259	99	1	50000	2500				322	1	1600	0	
260	99	1	50003	2500				322	1	1700	0	
261	99	1	260002	1				405	1	1900	0	
262	99	10	1	100000				500		1500	0	
263	99	7	60002	2				500		750	0	
264	99	7	60001	3				600		710	0	
265	99	7	2994001	2				600		700	0	
266	99	7	3914001	2				600		770	0	
267	99	7	30013	2				600		760	0	
268	100	1	250025	1				215	1	2000	0	
269	100	1	50005	2500				322	1	1800	0	
270	100	1	50000	2500				322	1	1600	0	
271	100	1	50003	2500				322	1	1700	0	
272	100	1	260002	1				405	1	1900	0	
273	100	10	1	100000				500		1500	0	
274	100	7	60002	2				500		750	0	
275	100	7	60001	3				600		710	0	
276	100	7	2994001	2				600		700	0	
277	100	7	3914001	2				600		770	0	
278	100	7	30013	2				600		760	0	
1001	100001	1	6310205	1				50	1	1000	0	
1002	100001	1	9010220	1				800	1	990	0	
1003	100001	1	80005	1				250	1	980	0	
1004	100001	1	3015053	1	1	0		1400	1	960	0	
1005	100001	1	3025053	1	1	0		1400	1	950	0	
1006	100001	1	3035053	1	1	0		1400	1	940	0	
1007	100001	1	3045053	1	1	0		1400	1	930	0	
1008	100001	1	3055053	1	1	0		1400	1	920	0	
1009	100001	1	3065053	1	1	0		1400	1	910	0	
1010	100001	1	1031002	1	1	2	1	500	1	970	0	
1011	100002	1	31204	2				1000		840	1	
1012	100002	1	31104	2				1000		850	1	
1013	100002	1	30013	2				250		860	1	
1014	100002	1	40110	2				150		870	1	
1015	100002	1	40114	2				150		880	1	
1016	100002	1	40113	2				150		890	1	
1017	100002	1	90014	2				90		900	1	
1018	100003	1	250025	1				215	1	2000	0	
1019	100003	1	50005	2500				322	1	1800	0	
1020	100003	1	50000	2500				322	1	1600	0	
1021	100003	1	50003	2500				322	1	1700	0	
1022	100003	1	260002	1				405	1	1900	0	
1023	100003	10	1	100000				500		1500	0	
1024	100003	7	60002	2				500		750	0	
1025	100003	7	60001	3				600		710	0	
1026	100003	7	2994001	2				600		700	0	
1027	100003	7	3914001	2				600		770	0	
1028	100003	7	30013	2				600		760	0	
1101	11002	1	250025	1				215	1	2000	0	
1102	11002	1	50005	2500				322	1	1800	0	
1103	11002	1	50000	2500				322	1	1600	0	
1104	11002	1	50003	2500				322	1	1700	0	
1105	11002	1	260002	1				405	1	1900	0	
1106	11002	10	1	100000				500		1500	0	
1107	11002	7	60002	2				500		750	0	
1108	11002	7	60001	3				600		710	0	
1109	11002	7	2994001	2				600		700	0	
1110	11002	7	3914001	2				600		770	0	
1111	11002	7	30013	2				600		760	0	
