Id	Name	Type	SubType	RoundId	Icon	DifficultyId	Desc	TaskId	Percent	RewardId	MailId
169	1st Round Challenge IV - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 12 times in total	85471			
170	1st Round Challenge V - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 15 times in total	85472			
171	1st Round Challenge VI - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 18 times in total	85473			
172	1st Round Challenge VII - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 21 times in total	85474			
173	1st Round Challenge VIII - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 24 times in total	85475			
174	1st Round Challenge IX - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 27 times in total	85476			
175	2nd Round Challenge I - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 3 times in total	85477			
176	2nd Round Challenge II - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 6 times in total	85478			
177	2nd Round Challenge III - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 9 times in total	85479			
178	2nd Round Challenge IV - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 12 times in total	85480			
179	2nd Round Challenge V - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 15 times in total	85481			
180	2nd Round Challenge VI - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 18 times in total	85482			
181	2nd Round Challenge VII - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 21 times in total	85483			
182	2nd Round Challenge VIII - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 24 times in total	85484			
183	2nd Round Challenge IX - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 27 times in total	85485			
184	3rd Round Challenge I - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 3 times in total	85486			
185	3rd Round Challenge II - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 6 times in total	85487			
186	3rd Round Challenge III - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 9 times in total	85488			
187	3rd Round Challenge IV - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 12 times in total	85489			
188	3rd Round Challenge V - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 15 times in total	85490			
189	3rd Round Challenge VI - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 18 times in total	85491			
190	3rd Round Challenge VII - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 21 times in total	85492			
191	3rd Round Challenge VIII - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 24 times in total	85493			
192	3rd Round Challenge IX - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 27 times in total	85494			
193	2nd Round Challenge I - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 3 times in total	85495			
194	2nd Round Challenge II - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 6 times in total	85496			
195	2nd Round Challenge III - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 9 times in total	85497			
196	2nd Round Challenge IV - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 12 times in total	85498			
197	2nd Round Challenge V - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 15 times in total	85499			
198	2nd Round Challenge VI - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 18 times in total	85500			
199	2nd Round Challenge VII - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 21 times in total	85501			
200	2nd Round Challenge VIII - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 24 times in total	85502			
201	2nd Round Challenge IX - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 27 times in total	85503			
202	3rd Round Challenge I - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 3 times in total	85504			
203	3rd Round Challenge II - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 6 times in total	85505			
204	3rd Round Challenge III - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 9 times in total	85506			
205	3rd Round Challenge IV - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 12 times in total	85507			
206	3rd Round Challenge V - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 15 times in total	85508			
207	3rd Round Challenge VI - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 18 times in total	85509			
208	3rd Round Challenge VII - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 21 times in total	85510			
209	3rd Round Challenge VIII - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 24 times in total	85511			
210	3rd Round Challenge IX - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Challenge Guild Expedition 27 times in total	85512			
211	1st Round Points I - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 2,000 Expedition Points	85513			
212	1st Round Points II - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 4,000 Expedition Points	85514			
213	1st Round Points III - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 6,000 Expedition Points	85515			
214	1st Round Points IV - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 8,000 Expedition Points	85516			
215	1st Round Points V - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 10,000 Expedition Points	85517			
216	1st Round Points VI - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 12,000 Expedition Points	85518			
217	2nd Round Points I - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 2,000 Expedition Points	85519			
218	2nd Round Points II - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 4,000 Expedition Points	85520			
219	2nd Round Points III - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 6,000 Expedition Points	85521			
220	2nd Round Points IV - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 8,000 Expedition Points	85522			
221	2nd Round Points V - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 10,000 Expedition Points	85523			
222	2nd Round Points VI - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 12,000 Expedition Points	85524			
223	3rd Round Points I - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 2,000 Expedition Points	85525			
224	3rd Round Points II - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 4,000 Expedition Points	85526			
225	3rd Round Points III - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 6,000 Expedition Points	85527			
226	3rd Round Points IV - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 8,000 Expedition Points	85528			
227	3rd Round Points V - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 10,000 Expedition Points	85529			
228	3rd Round Points VI - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 12,000 Expedition Points	85530			
229	1st Round Points I - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 4,000 Expedition Points	85531			
230	1st Round Points II - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 8,000 Expedition Points	85532			
231	1st Round Points III - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 12,000 Expedition Points	85533			
232	1st Round Points IV - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 16,000 Expedition Points	85534			
233	1st Round Points V - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 20,000 Expedition Points	85535			
234	1st Round Points VI - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 22,000 Expedition Points	85536			
235	1st Round Points VII - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 24,000 Expedition Points	85537			
236	2nd Round Points I - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 4,000 Expedition Points	85538			
237	2nd Round Points II - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 8,000 Expedition Points	85539			
238	2nd Round Points III - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 12,000 Expedition Points	85540			
239	2nd Round Points IV - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 16,000 Expedition Points	85541			
240	2nd Round Points V - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 20,000 Expedition Points	85542			
241	2nd Round Points VI - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 22,000 Expedition Points	85543			
242	2nd Round Points VII - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 24,000 Expedition Points	85544			
243	3rd Round Points I - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 4,000 Expedition Points	85545			
244	3rd Round Points II - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 8,000 Expedition Points	85546			
245	3rd Round Points III - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 12,000 Expedition Points	85547			
246	3rd Round Points IV - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 16,000 Expedition Points	85548			
247	3rd Round Points V - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 20,000 Expedition Points	85549			
248	3rd Round Points VI - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 22,000 Expedition Points	85550			
249	3rd Round Points VII - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Obtain a total of 24,000 Expedition Points	85551			
250	2nd Round Points I - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 6,000 Expedition Points	85552			
251	2nd Round Points II - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 12,000 Expedition Points	85553			
252	2nd Round Points III - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 18,000 Expedition Points	85554			
253	2nd Round Points IV - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 24,000 Expedition Points	85555			
254	2nd Round Points VI - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 30,000 Expedition Points	85556			
255	2nd Round Points VII - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 33,000 Expedition Points	85557			
256	2nd Round Points V - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 36,000 Expedition Points	85558			
257	3rd Round Points I - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 6,000 Expedition Points	85559			
258	3rd Round Points II - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 12,000 Expedition Points	85560			
259	3rd Round Points III - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 18,000 Expedition Points	85561			
260	3rd Round Points IV - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 24,000 Expedition Points	85562			
261	3rd Round Points VI - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 30,000 Expedition Points	85563			
262	3rd Round Points VII - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 33,000 Expedition Points	85564			
263	3rd Round Points V - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Obtain a total of 36,000 Expedition Points	85565			
264	Clear 2 Normal Nodes in the 1st Round - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 2 normal nodes	85566			
265	Clear 4 Normal Nodes in the 1st Round - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 4 normal nodes	85567			
266	Clear 2 Normal Nodes in the 2nd Round - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 2 normal nodes	85568			
267	Clear 4 Normal Nodes in the 2nd Round - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 4 normal nodes	85569			
268	Clear 2 Normal Nodes in the 3rd Round - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 2 normal nodes	85570			
269	Clear 4 Normal Nodes in the 3rd Round - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 4 normal nodes	85571			
270	Clear 2 Normal Nodes in the 1st Round - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 2 normal nodes	85572			
271	Clear 4 Normal Nodes in the 1st Round - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 4 normal nodes	85573			
272	Clear 6 Normal Nodes in the 1st Round - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 6 normal nodes	85574			
273	Clear 8 Normal Nodes in the 1st Round - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 8 normal nodes	85575			
274	Clear 10 Normal Nodes in the 1st Round - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 10 normal nodes	85576			
275	Clear 2 Normal Nodes in the 2nd Round - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 2 normal nodes	85577			
276	Clear 4 Normal Nodes in the 2nd Round - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 4 normal nodes	85578			
277	Clear 6 Normal Nodes in the 2nd Round - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 6 normal nodes	85579			
278	Clear 8 Normal Nodes in the 2nd Round - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 8 normal nodes	85580			
279	Clear 10 Normal Nodes in the 2nd Round - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 10 normal nodes	85581			
280	Clear 2 Normal Nodes in the 3rd Round - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 2 normal nodes	85582			
281	Clear 4 Normal Nodes in the 3rd Round - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 4 normal nodes	85583			
282	Clear 6 Normal Nodes in the 3rd Round - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 6 normal nodes	85584			
283	Clear 8 Normal Nodes in the 3rd Round - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 8 normal nodes	85585			
284	Clear 10 Normal Nodes in the 3rd Round - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear a total of 10 normal nodes	85586			
285	Clear 2 Normal Nodes in the 2nd Round - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 2 normal nodes	85587			
286	Clear 4 Normal Nodes in the 2nd Round - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 4 normal nodes	85588			
287	Clear 6 Normal Nodes in the 2nd Round - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 6 normal nodes	85589			
288	Clear 8 Normal Nodes in the 2nd Round - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 8 normal nodes	85590			
289	Clear 10 Normal Nodes in the 2nd Round - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 10 normal nodes	85591			
290	Clear 12 Normal Nodes in the 2nd Round - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 12 normal nodes	85592			
291	Clear 2 Normal Nodes in the 3rd Round - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 2 normal nodes	85593			
292	Clear 4 Normal Nodes in the 3rd Round - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 4 normal nodes	85594			
293	Clear 6 Normal Nodes in the 3rd Round - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 6 normal nodes	85595			
294	Clear 8 Normal Nodes in the 3rd Round - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 8 normal nodes	85596			
295	Clear 10 Normal Nodes in the 3rd Round - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 10 normal nodes	85597			
296	Clear 12 Normal Nodes in the 3rd Round - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear a total of 12 normal nodes	85598			
297	Clear 1 Buff Node in the 1st Round - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear 1 a total of buff node	85599			
298	Clear 1 Buff Node in the 2nd Round - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear 1 a total of buff node	85600			
299	Clear 1 Buff Node in the 3rd Round - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear 1 a total of buff node	85601			
300	Clear 1 Buff Node in the 1st Round - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear 1 a total of buff node	85602			
301	Clear 2 Buff Nodes in the 1st Round - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear 2 a total of 2 buff nodes	85603			
302	Clear 1 Buff Node in the 2nd Round - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear 1 a total of buff node	85604			
303	Clear 2 Buff Nodes in the 2nd Round - Dangerous	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear 2 a total of 2 buff nodes	85605			
304	Clear 1 Buff Node in the 3rd Round - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear 1 a total of buff node	85606			
305	Clear 2 Buff Nodes in the 3rd Round - Dangerous	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Clear 2 a total of 2 buff nodes	85607			
306	Clear 1 Buff Node in the 2nd Round - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear 1 a total of buff node	85608			
307	Clear 2 Buff Nodes in the 2nd Round - Rugged	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear 2 a total of 2 buff nodes	85609			
308	Clear 3 Buff Nodes in the 3rd Round - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear 1 a total of buff node	85610			
309	Clear 2 Buff Nodes in the 3rd Round - Rugged	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	3	Clear 2 a total of 2 buff nodes	85611			
310	1st Round Base HP No Less Than 30% - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 30%	85612			
311	1st Round Base HP No Less Than 50% - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 50%	85613			
312	1st Round Base HP No Less Than 70% - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 70%	85614			
313	1st Round Base HP No Less Than 100% - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 100%	85615			
314	2nd Round Base HP No Less Than 30% - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 30%	85616			
315	2nd Round Base HP No Less Than 50% - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 50%	85617			
316	2nd Round Base HP No Less Than 70% - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 70%	85618			
317	2nd Round Base HP No Less Than 100% - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 100%	85619			
318	3rd Round Base HP No Less Than 30% - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 30%	85620			
319	3rd Round Base HP No Less Than 50% - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 50%	85621			
320	3rd Round Base HP No Less Than 70% - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 70%	85622			
321	3rd Round Base HP No Less Than 100% - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Base HP no less than 100%	85623			
322	1st Round Base HP No Less Than 30% - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Base HP no less than 30%	85624			
323	1st Round Base HP No Less Than 50% - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Base HP no less than 50%	85625			
