Id	MonsterId	Num	Level	FightEventIds[1]	FightEventIds[2]	FightEventIds[3]	Desc
22110	90990	1	318	779811			Trailblazing Surfer, 2-1
22200	90770	1	231	779812			Squid, 2-2
22201	90970	1	216	779809			Medic Bot, 2-2
22202	90760	1	355	779788			Rabbit, 2-2
22210	90750	1	340	779784			Aerial 7, 2-2
22300	90460	1	231	779790			Ambusher, 2-3
22301	93010	1	659	779792			Sanitizer, 2-3
22302	90720	1	163	779805			Martini, 2-3
22303	90760	1	355	779806			Rabbit, 2-3
22310	90950	1	220	779782			Recycle Prisoner, 2-3
22400	93020	1	231				SSG，2-4
22401	93010	1	659				Sanitizer, 2-4
22402	90750	1	340				Aerial 7, 2-4
22403	90770	1	231				Squid, 2-4
22404	90970	1	216				Medic Bot, 2-4
22410	90980	1	311				Sheriff, 2-4
31100	90490	1	564	779825			Heteromer Aerial Monitor, 1-1
31101	90620	1	564	779812			Fire Unit, 1-1
31102	90600	1	564	779812			Deconstruct Unit, 1-1
31110	90630	1	564	779790			Hetero Explore!, 1-1
31200	90480	1	370	779826			Heteromer Gun, 1-2
31201	90610	1	370	779825			Repair Unit, 1-2
31202	90620	1	370	779825			Fire Unit, 1-2
31203	90470	1	370	779826			Heteromer Hydraulic, 1-2
31210	90630	1	370	779782			Hetero Explore, 1-2
31300	90860	1	564	779789			Popper, 1-3
31301	90490	1	564	779789			Heteromer Aerial Monitor, 1-3
31302	90480	1	564	779789			Heteromer Gun, 1-3
31303	90090	1	564	779782			Ground Monitor, 1-3
31304	90490	1	564	779789			Heteromer Aerial Monitor, 1-3
31310	90870	1	564	779789			Beth!, 1-3
31400	90960	1	405				Blair, 1-4
31401	90890	1	405				Corrupted Construct, 1-4
31402	90970	1	405				Medic Bot, 1-4
31410	90980	1	405				Sheriff PK43, 1-4
32100	90730	1	333	779803			Mr. White, 2-1
32101	90710	1	333	779803			Cathy, 2-1
32102	90720	1	333	779803			Martini, 2-1
32110	90750	1	333	779803			Aerial 7, 2-1
32200	90760	1	564	779790			Rabbit, 2-2
32201	90970	1	564	779825			Medic Bot, 2-2
32202	90770	1	564	779790			Squid, 2-2
32210	90440	1	564	779782			Terrapod!, 2-2
32300	90460	1	366	779789			Ambusher, 2-3
32301	93010	1	366	779811			Sanitizer, 2-3
32302	90720	1	366	779811			Martini, 2-3
32303	90760	1	366	779790			Rabbit, 2-3
32310	90780	1	366	779790			Polar Bear!, 2-3
32400	90750	1	400				Aerial 7, 2-4
32401	93010	1	400				Sanitizer, 2-4
32402	93020	1	400				SSG，2-4
32403	90770	1	400				Squid, 2-4
32404	90970	1	400				Medic Bot, 2-4
32410	90450	1	400				Polar Soldier!, 2-4
33100	90650	1	293	779827			Ballwheel, 3-1
33101	90250	1	293	779804			Ronin, 3-1
33102	90640	1	293	779825			Blubber, 3-1
33110	90800	1	293	779825			Moyuan, 3-1
33200	90670	1	282	779785			Kemuri, 3-2
33201	90690	1	282	779805			Phecda, 3-2
33202	90250	1	282	779804			Ronin, 3-2
33210	90700	1	282	779800			Prime, 3-2
33300	90810	1	319	779790			Tai'E, 3-3
33301	90650	1	319	779805			Ballwheel, 3-3
33302	90250	1	319	779807			Ronin, 3-3
33303	90640	1	319	779790			Blubber, 3-3
33310	90680	1	319	779790			Yazi, 3-3
33400	90690	1	290				Phecda, 3-4
33401	90660	1	290				Hanged Man, 3-4
33402	90670	1	290				Kemuri, 3-4
33403	90250	1	290				Ronin, 3-4
33410	90790	1	290				Guardian, 3-4
11500	90120	1	102	779788			Protector, Route 1 - Elite
11501	95790	1	163	779793	779873		Guardian (Extreme, With Speed Attacks), Route 1 - Elite, Four Trials
21500	90710	1	210	779788			Cathy, Route 1 - Elite
21501	93075	1	333	779814	779874		Sanctuary Guard (Extreme, With Speed Attacks), Route 3 - Elite, Return to 1 (Through Mission Logic to Player)
22500	90460	1	231	779806			Ambusher, Route 2 - Elite
22501	95220	1	149	779815	779875		Excavator - Gun (Extreme, With Speed Attacks), Route 2 - Elite, Freeze Force Field (Enemies ignore Matrix. Matrix causes more DMG.)
31500	90120	1	317	779789			Protector, Route 1 - Elite
31501	95790	1	508	779832	779873		Guardian (Extreme, With Speed Attacks), Route 1 - Elite, Four Trials
32500	90460	1	366	779790			Ambusher, Route 2 - Elite
32501	95220	1	236	779833	779875		Excavator - Gun (Extreme, With Speed Attacks), Route 2 - Elite, Freeze Force Field (Enemies ignore Matrix. Matrix causes more DMG.)
33500	90710	1	333	779792			Cathy, Route 3 - Elite
33501	93075	1	528	779834	779874		Sanctuary Guard (Extreme, With Speed Attacks), Route 3 - Elite, Return to 1 (Through Mission Logic to Player)
