Id	UiName	ModelName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
52	UiFavorabilityLineRoomCharacter	R2SufeiyaMd019011	0	0.1	0	0	0	0	0	0	0
53	UiMain	R2SufeiyaMd019011	0	0.1	0	0	0	0	0	0	0
54	UiFavorabilityNew	R2SufeiyaMd019011	0	0.1	0	0	0	0	0	0	0
55	UiBattleRoomRoleDetail	R2SufeiyaMd019011	0	0.1	0	0	0	0	0	0	0
56	UiBabelTowerRoomCharacter	R2SufeiyaMd019231	0	0.1	0	0	0	0	0	0	0
57	UiRoomCharacter	R2SufeiyaMd019231	0	0.1	0	0	0	0	0	0	0
58	UiBfrtRoomCharacter	R2SufeiyaMd019231	0	0.1	0	0	0	0	0	0	0
59	UiMainLineRoomCharacter	R2SufeiyaMd019231	0	0.1	0	0	0	0	0	0	0
60	UiFavorabilityLineRoomCharacter	R2SufeiyaMd019231	0	0.1	0	0	0	0	0	0	0
61	UiMain	R2SufeiyaMd019231	0	0.1	0	0	0	0	0	0	0
62	UiFavorabilityNew	R2SufeiyaMd019231	0	0.1	0	0	0	0	0	0	0
63	UiBattleRoomRoleDetail	R2SufeiyaMd019231	0	0.1	0	0	0	0	0	0	0
64	UiArchiveMonsterDetail	Mo1XiulijigongMd000001	0	0	0	0	0	0	0	0	0
65	UiArchiveMonsterDetail	Mo1DimianjianshiqiMd000001	0	0	0	0	0	0	0	0	0
66	UiArchiveMonsterDetail	Mo1BaohuzheMd000001	0	0	0	0	0	0	0.9	0.9	0.9
67	UiArchiveMonsterDetail	Mo1KongzhongjianshiqiMd000001	0	-0.3	0	164	180	180	0.9	0.9	0.9
68	UiArchiveMonsterDetail	Mo1BudaozheMd000001	0	0	0	0	0	0	1.3	1.3	1.3
69	UiArchiveMonsterDetail	Mo1ZhixingzheMd000001	0	0	0	0	0	0	1.3	1.3	1.3
70	UiArchiveMonsterDetail	Mo1HeizhizhuMd000001	0	0	0	0	0	0	1.5	1.5	1.5
71	UiArchiveMonsterDetail	Mo1LiebianyuanchongMd000001	0	0	0	0	0	0	1.5	1.5	1.5
72	UiArchiveMonsterDetail	Mo1YeyaMd000001	0	0	0	0	25	0	0	0	0
73	UiArchiveMonsterDetail	Mo1ShaojiejipaoMd000001	0	0	0	0	0	0	1.3	1.3	1.3
74	UiArchiveMonsterDetail	Mo1ShouhuzheMd000001	0	0	0	0	-30	0	1.1	1.1	1.1
75	UiArchiveMonsterDetail	Mo1KuroMd1001	0	0	0	0	0	0	2.2	2.2	2.2
76	UiArchiveMonsterDetail	Mo1YijushaojiejipaoMd000001	0	0	0	0	0	0	1.3	1.3	1.3
77	UiArchiveMonsterDetail	Mo1YijukongzhongjianshiqiMd000001	0	-0.3	0	164	180	180	0.9	0.9	0.9
78	UiArchiveMonsterDetail	Mo1YijuyeyaMd000001	0	0	0	0	25	0	0	0	0
79	UiArchiveMonsterDetail	Me1YihefenjiedanyuanMd000001	0	0	0	0	0	0	0	0	0
80	UiArchiveMonsterDetail	Me1YihehuolidanyuanMd000001	0	0	0	0	0	0	0	0	0
81	UiArchiveMonsterDetail	Me1YihexiufudanyuanMd000001	0	0	0	0	0	0	0	0	0
82	UiArchiveMonsterDetail	Me1XunjingzheMd000001	0	0	0	0	0	0	0.9	0.9	0.9
83	UiArchiveMonsterDetail	Me1XunshoushiMd000001	0	0	0	0	0	0	0.9	0.9	0.9
84	UiArchiveMonsterDetail	Me1YuandingMd000001	0	0	0	0	0	0	1.1	1.1	1.1
85	UiArchiveMonsterDetail	Me1ShenhaiqianfuzheMd000003	0	0	0	0	0	0	1.1	1.1	1.1
86	UiArchiveMonsterDetail	Mo1LangrensixingMd000001	0	0	0	0	25	0	1.1	1.1	1.1
87	UiArchiveMonsterDetail	Mo1FangshengrongyuanMd000001	0	0	0	0	10	0	0.9	0.9	0.9
88	UiArchiveMonsterDetail	Me1XinshiMd000001	0	0	0	0	0	0	0.85	0.85	0.85
89	UiArchiveMonsterDetail	Me1XiaofangweishiMd000001	0	0	0	0	0	0	0.7	0.7	0.7
90	UiArchiveMonsterDetail	Me1FenjiezheMd000001	0	0	0	0	0	0	1.2	1.2	1.2
91	UiArchiveMonsterDetail	Me1YijikantanzheMd000001	0	0	0	0	0	0	1.1	1.1	1.1
92	UiArchiveMonsterDetail	Me1YijiwajuezheMd000001	0	0	0	0	0	0	1.1	1.1	1.1
93	UiArchiveMonsterDetail	Me1FangshengdouniuMd000001	0	0.1	0	0	10	0	0.6	0.6	0.6
94	UiArchiveMonsterDetail	Me1SuanyegongyiMd000001	0	0	0	0	0	0	0.55	0.55	0.55
95	UiArchiveMonsterDetail	Me1ZilujingweiMd000001	0	0	0	0	0	0	0.75	0.75	0.75
96	UiArchiveMonsterDetail	Me1JinweiMd000001	0	-0.18	0	0	0	0	0.75	0.75	0.75
97	UiArchiveMonsterDetail	Me1GouzaotiMd10001	0	0	0	0	0	0	1.2	1.2	1.2
98	UiArchiveMonsterDetail	Me1WuzangliuxingMd000001	0	0	0	0	0	0	0.8	0.8	0.8
99	UiArchiveMonsterDetail	Me1JidijibingMd000001	0	0	0	0	0	0	0.85	0.85	0.85
100	UiArchiveMonsterDetail	Me1YihekantandanyuanMd000001	0	0	0	0	0	0	0.5	0.5	0.5
101	UiArchiveMonsterDetail	Me1SwordMd002001	0	0	0	0	0	0	0.8	0.8	0.8
102	UiArchiveMonsterDetail	Mb1RobotarmorMd030001	0	0	0	0	0	0	0	0	0
103	UiArchiveMonsterDetail	Mb1TankarmorMd030001	-0.3	0	0	0	0	0	0.3	0.3	0.3
104	UiArchiveMonsterDetail	Mb1SwordMd030001	0	0	0	0	-20	0	1.15	1.15	1.15
105	UiArchiveMonsterDetail	Mb1LadyMd10001	0	-0.3	0	0	0	0	1.1	1.1	1.1
106	UiArchiveMonsterDetail	Mb1LadybabyMd10001	0	0.3	0	0	0	0	1.2	1.2	1.2
107	UiArchiveMonsterDetail	Mb1RobotarmorMd030001	0	0	0	0	0	0	0.4	0.4	0.4
108	UiArchiveMonsterDetail	Mb1OrphanMd030001	0	0	0	0	0	0	0.55	0.55	0.55
109	UiArchiveMonsterDetail	Mb1VirginbioMd030001	0	0	0	0	0	0	0.85	0.85	0.85
110	UiArchiveMonsterDetail	Mb1SandwormMd030001	0	0	0	0	0	0	0.35	0.35	0.35
111	UiArchiveMonsterDetail	Mb1LuxiyaMd000003	0	0	0	0	0	0	1.3	1.3	1.3
112	UiArchiveMonsterDetail	Mb1BraveMd010011	0	0	0	0	0	0	0.5	0.5	0.5
113	UiArchiveMonsterDetail	Mb1OsirisMd000001	0	0	0	0	0	0	1.1	1.1	1.1
114	UiArchiveMonsterDetail	Mb1LuolanMd010001	0	0	0	0	0	0	1.3	1.3	1.3
115	UiArchiveMonsterDetail	Mb1LuosaitamaMd000001	0	0	0	0	0	0	1.1	1.1	1.1
116	UiArchiveMonsterDetail	Mb1CubejiaoMd000001	0	-1	0	0	0	0	0.4	0.4	0.4
117	UiArchiveMonsterDetail	Mb1TrackalienMd010001	0	1	0	0	0	0	0.045	0.045	0.045
118	UiArchiveMonsterDetail	Me1SwordMd002001	0	0	0	0	0	0	0.8	0.8	0.8
119	UiArchiveMonsterDetail	Mb1TankarmorMd030002	0	0	0	0	0	0	0.4	0.4	0.4
120	UiArchiveMonsterDetail	Mb1LuosaitarenMd000001	0	-0.5	0	0	0	0	1.1	1.1	1.1
121	UiArchiveMonsterDetail	Mb1XiuMd010003	0	0	0	0	0	0	1.3	1.3	1.3
122	UiPanelBossDetail	Mb1LuosaitarenMd000001	0.18	-0.6	0.21	0	-2	0	0.9	0.9	0.9
123	UiArchiveMonsterDetail	Mo1LishiliuxingMd000001	0	0	0	0	0	0	0.8	0.8	0.8
124	UiArchiveMonsterDetail	Mo1WulunsixingMd000001	0	0	0	0	0	0	1.3	1.3	1.3
125	UiArchiveMonsterDetail	Mo1DiaorensanxingMd000001	0	0	0	0	0	0	0.92	0.92	0.92
126	UiArchiveMonsterDetail	Mo1YanfenyixingMd000001	0	0	0	0	0	0	1.25	1.25	1.25
127	UiArchiveMonsterDetail	Me1JiulongzhongyaziMd000001	0	-0.15	0	0	0	0	1.25	1.25	1.25
128	UiRogueLikeRoomCharacter	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
129	UiArchiveMonsterDetail	Me1YijuzhongduanMd000001	0	-0.65	0	0	0	0	0.75	0.75	0.75
130	UiArchiveMonsterDetail	Mb1MelodyhuaxuMd10001	0	-0.6	0	0	0	0	1.1	1.1	1.1
131	UiArchiveMonsterDetail	Mb1MelodyMd010001	0	0	0	0	-15	0	1.3	1.3	1.3
132	UiPanelBossDetail	Mb1SwordMd030001	-0.01	0	0	0	22.42	0	0.89	0.89	0.89
133	UiArchiveMonsterDetail	Mb1CubeMd050001	0	0	0	0	-15	0	0.35	0.35	0.35
134	UiArchiveMonsterDetail	Mo1LucunMd000001	0	0	0	0	-30	0	1.2	1.2	1.2
135	UiArchiveMonsterDetail	Me1ZhizunMd000001	0	0	0	0	-30	0	1	1	1
136	UiArchiveMonsterDetail	Mb1JiabailieMd000001	0	-0.05	0	0	-45	0	0.8	0.8	0.8
137	UiPanelBossDetail	Mb1MelodyhuaxuMd10001	0.06	-1	0	0	0	0	1	1	1
138	UiArchiveMonsterDetail	Mo1BiaoyanyirenMd000001	0	0	0	0	0	0	1	1	1
139	UiArchiveMonsterDetail	Mo1TiaojiushiMd000001	0	0	0	0	0	0	1	1	1
140	UiArchiveMonsterDetail	Mo1YouyongjiaoguanMd000001	0	0	0	0	0	0	1.2	1.2	1.2
141	UiArchiveMonsterDetail	Me1XiguajunMd000002	0	0	0	0	0	0	1	1	1
142	UiArchiveMonsterDetail	Mb1AolajiangMd010001	0	0	0	0	-15	0	0.8	0.8	0.8
143	UiArchiveMonsterDetail	Mb1AolajiangMd010002	0	0	0	0	-15	0	0.8	0.8	0.8
144	UiPanelBossDetail	Mb1JiabailieMd000001	0.24	0	0	0	0	0	0.6	0.6	0.6
145	UiArchiveMonsterDetail	Mb1JiabailieMd000002	0	0	0	0	0	0	0.75	0.75	0.75
146	UiArchiveMonsterDetail	Mb1XuexiaoMd000002	0	0	0	0	0	0	1	1	1
147	UiArchiveMonsterDetail	Mo1TuziMd000002	0	0	0	0	0	0	1	1	1
148	UiArchiveMonsterDetail	Mo1ZhangyuMd000002	0	0	0	0	0	0	1.2	1.2	1.2
149	UiArchiveMonsterDetail	Me1XiongrenMd000002	0	0	0	0	0	0	0.9	0.9	0.9
150	UiArchiveMonsterDetail	Mb1BaiyangnvMd010001	0	0	0	0	0	0	0.55	0.55	0.55
151	UiArchiveMonsterDetail	Me1YunluMd000003UI	0	0	0	0	0	0	1.2	1.2	1.2
152	UiArchiveMonsterDetail	Mb1TaiayixingMd010001UI	0	0	0	0	-15	0	1.1	1.1	1.1
153	UiArchiveMonsterDetail	Mb1LunaMd010001UI	0	-0.15	0	0	-30	0	1.3	1.3	1.3
154	UiArchiveMonsterDetail	Me1DiaorenyixingMd000001UI	0	0	0	0	-15	0	1	1	1
155	UiArchiveMonsterDetail	Mb1HadisiMd010001UI	0	0.7	0	0	0	0	0.013	0.013	0.013
156	UiArchiveMonsterDetail	Mb1XigeluenMd010002UI	0	0	0	0	-15	0	0.9	0.9	0.9
157	UiArchiveMonsterDetail	Mo1MifengMd010001UI	0	0	0	0	0	0	0.8	0.8	0.8
158	UiArchiveMonsterDetail	Mo1QiuqiujiaoMd010001	0	0.12	0	0	0	0	1.1	1.1	1.1
159	UiArchiveMonsterDetail	Mo1ShirenhuaMd010002UI	0	0.03	0	0	10	0	1.2	1.2	1.2
160	UiPanelBossDetail	Mb1BaiyangnvMd010001	-0.2	-0.2	0	0	36.03	0	0.54	0.54	0.54
161	UiPanelBossDetail	Mb1AolajiangMd010001	0	0	0	0	0	0	0.65	0.65	0.65
162	UiPokemonMonster	Me1SwordMd002001	0	0	0	0	0	0	0.66	0.66	0.66
163	UiPokemonMonster	Mb1SwordMd030001	0	0	0	0	0	0	1	1	1
164	UiPokemonMonster	Mb1BraveMd010011	0	0	0	0	0	0	0.32	0.32	0.32
165	UiPokemonMonster	Mb1XiuMd010001	0	0	0	0	0	0	1	1	1
166	UiPokemonMonster	Mo1ShouhuzheMd000001	0	0	0	0	-30	0	0.82	0.82	0.82
167	UiPokemonMonster	Me1XunshoushiMd000001	0	0	0	0	0	0	0.74	0.74	0.74
168	UiPokemonMonster	Me1YuandingMd000001	0	0	0	0	0	0	0.86	0.86	0.86
169	UiPokemonMonster	Mo1WulunsixingMd000001	0	0	0	0	0	0	0.94	0.94	0.94
170	UiPokemonMonster	Me1JidijibingMd000001	0	0	0	0	0	0	0.57	0.57	0.57
171	UiPokemonMonster	Mo1XiulijigongMd000001	0	0	0	0	0	0	0.85	0.85	0.85
172	UiPokemonMonster	Mo1LangrensixingMd000001	0	0	0	0	25	0	0.92	0.92	0.92
173	UiPokemonMonster	Mo1LishiliuxingMd000001	0	0	0	0	0	0	0.5	0.5	0.5
174	UiPokemonMonster	Me1YijiwajuezheMd000001	0	0	0	0	0	0	1	1	1
175	UiPokemonMonster	Me1ZhizunMd000001	0	0	0	0	0	0	0.91	0.91	0.91
176	UiPokemonMonster	Mo1DimianjianshiqiMd000001	0	0	0	0	0	0	1	1	1
177	UiPokemonMonster	Me1YihehuolidanyuanMd000001	0	0	0	0	0	0	0.93	0.93	0.93
178	UiPokemonMonster	Me1YijikantanzheMd000001	0	0	0	0	0	0	0.92	0.92	0.92
179	UiPokemonMonster	Mo1FangshengrongyuanMd000001	0	0	0	0	0	0	0.83	0.83	0.83
180	UiPokemonMonster	Me1ZilujingweiMd000001	0	0	0	0	0	0	0.53	0.53	0.53
181	UiPokemonMonster	Mo1YeyaMd000001	0	0	0	0	0	0	0.73	0.73	0.73
182	UiPokemonMonster	Mo1ZhixingzheMd000001	0	0	0	0	0	0	1	1	1
183	UiPokemonMonster	Me1JinweiMd000001	0	0	0	0	0	0	0.56	0.56	0.56
184	UiPokemonMonster	Me1FenjiezheMd000001	0	0	0	0	0	0	0.87	0.87	0.87
185	UiPokemonMonster	Me1XinshiMd000001	0	0	0	0	0	0	0.69	0.69	0.69
186	UiArchiveMonsterDetail	Me1NianMd010001UI	0	0	-0.64	0	0	0	0.5	0.5	0.5
187	UiArchiveMonsterDetail	Me1YasibeiersiMd010001UI	0	0	0	0	0	0	0.7	0.7	0.7
188	UiArchiveMonsterDetail	Mb1MajiyaweiliMd010001UI	0	0	0	0	-29.8	0	0.7	0.7	0.7
189	UiArchiveMonsterDetail	Mb1MajiyaweiliMd010002UI	0	0	0	0	-29.8	0	0.7	0.7	0.7
190	UiArchiveMonsterDetail	Me1UnknownMd010001UI	0	0	0	0	0	0	0.8	0.8	0.8
191	UiArchiveMonsterDetail	Mb1SirenMd010001UI	0	0	0	0	0	0	0.55	0.55	0.55
192	UiArchiveMonsterDetail	Mb1SirenMd010002UI	0	0	0	0	0	0	0.55	0.55	0.55
193	UiPanelBossDetail	Mb1MajiyaweiliMd010001UI	0.13	0	0	0	0	0	0.6	0.6	0.6
194	UiPanelBossDetail	Mb1XigeluenMd010002UI	0.07	0	0	0	0	0	0.7	0.7	0.7
195	UiArchiveMonsterDetail	Me1JiegouqiutuMd010001UI	0	0	0	0	0	0	0.8	0.8	0.8
196	UiArchiveMonsterDetail	Mb1MotherMd010001UI	0.22	-3.68	-0.68	0	0	0	0.45	0.45	0.45
197	UiPanelBossDetail	Mb1SirenMd010001UI	0	0	0	0	0	0	0.45	0.45	0.45
198	UiPanelBossDetail	Mb1MelodyMd010001	0	0.1	0	0	0	0	1	1	1
199	UiPartnerMain	Pet3HeonMd010011	0	0	0	0	0	0	1.2	1.2	1.2
200	UiPartnerMain	Pet3XiaoonMd010011	0	0	0	0	0	0	1.3	1.3	1.3
201	UiReform	Mo1XiulijigongMd000001	0	0	0	0	0	0	1	1	1
202	UiReform	Mo1LangrensixingMd000001	0.1	-0.06	0	0	0	0	1	1	1
203	UiReform	Me1YihehuolidanyuanMd000001	0	0	0	0	0	0	1	1	1
204	UiReform	Mo1LishiliuxingMd000001	-0.18	0.05	0	0	0	0	0.8	0.8	0.8
205	UiReform	Mo1BiaoyanyirenMd000001	0	0	0	0	0	0	0.9	0.9	0.9
206	UiReform	Me1XiongrenMd000002UI	0.1	0	0	0	0	0	0.8	0.8	0.8
207	UiReform	Mo1BopuerMd010001	0	0	0	0	0	0	1	1	1
208	UiReform	Mo1HaiqiaoMd010001	0	0	0	0	0	0	1.1	1.1	1.1
209	UiReform	Mo1UngouzaotiMd010001UI	0	-0.06	0	0	0	0	1.05	1.05	1.05
210	UiReform	Me1GouzaotiMd10001	0	-0.03	0	0	0	0	1.1	1.1	1.1
211	UiDrawShow	Pet3HeoffMd010011	0	0	0	0	26	0	1	1	1
212	UiDrawShow	Pet3HeonMd010011	0	0	0	0	26	0	1	1	1
213	UiArchiveMonsterDetail	Mo1BeiyaMd010001UI	0	0	0	0	-32	0	1.5	1.5	1.5
214	UiArchiveMonsterDetail	Mo1ModelmMd010001UI	0	0	0	0	0	0	1.2	1.2	1.2
215	UiArchiveMonsterDetail	Me1PoliceMd010001UI	0	0	0	0	-29.1	0	0.6	0.6	0.6
216	UiArchiveMonsterDetail	Mb1VoodooMd010001UI	0	0	0	0	0	0	0.55	0.55	0.55
217	UiArchiveMonsterDetail	Mo1QingjiejiqiMd010001UI	0	0	0	0	0	0	1	1	1
218	UiArchiveMonsterDetail	Mo1ShuixiyiMd010001UI	0	0	0	0	0	0	1.2	1.2	1.2
219	UiArchiveMonsterDetail	Me1SkaterboyMd010001UI	0	0	0	0	0	0	0.9	0.9	0.9
220	UiArchiveMonsterDetail	Mb1LamiyaMd010001UI	0	0	0	0	0	0	0.7	0.7	0.7
221	UiDrawShow	Pet3MaoffMd010011	0	0	-1.559	0	30	0	1	1	1
222	UiDrawShow	Pet3MaonMd010011	0	0	-1.559	0	30	0	1	1	1
223	UiDrawShow	Pet2BeioffMd010011	0	0	-1.161	0	20	0	1	1	1
224	UiDrawShow	Pet2BeionMd010011	0	0	-1.161	0	20	0	1	1	1
225	UiDrawShow	Pet2BeioffMd010010	0	0	-1.161	0	20	0	1	1	1
226	UiDrawShow	Pet2BeionMd010010	0	0	-1.161	0	20	0	1	1	1
227	UiSameColorGameBoss	Mb1SwordMd030001SameColor	0	0	0	0	0	0	1	1	1
228	UiSameColorGameBoss	Mb1LuolanMd010001SameColor	0	-0.042	0	1.40129	0	0	1	1	1
229	UiSameColorGameBoss	Mb1XiuMd010001SameColor	0	0	0	0	0	0	1	1	1
230	UiSameColorGameBoss	Mb1MelodyMd010001SameColor	0	0	0	0	0	0	1	1	1
231	UiSameColorGameBoss	Mb1LunaMd010001SameColor	0	0	0	0	0	0	1	1	1
232	UiSameColorGameBoss	Mb1BraveMd010011SameColor	0	0	0	0	0	0	1	1	1
233	UiSameColorGameBoss	R2YongyechaoMd010011SameColor	0	0	0	0	0	0	1	1	1
234	UiSameColorGameBoss	R2LiangMd010011SameColor	-0.035	0.113	-0.035	0	15	0	0.94	0.94	0.94
235	UiSameColorGameBoss	R2DubianMd010011SameColor	0	0.223	0	0	0	0	0.84	0.84	0.84
236	UiSameColorGameBoss	R4LuxiyaMd010011SameColor	-0.014	0.243	-0.051	0	-2.86	0	0.9	0.9	0.9
237	UiSameColorGameBoss	R3WeilaMd010011SameColor	0	0.19	0	0	0	0	0.9	0.9	0.9
238	UiPartnerMain	Pet3MaoonMd010011	0	0	0	0	0	0	1.5	1.5	1.5
239	UiArchiveMonsterDetail	Mb1LamiyaMd010002UI	0	0	0	0	0	0	0.7	0.7	0.7
240	UiArchiveMonsterDetail	Mo1SemifiniMd010001UI	0	0	0	0	0	0	1.4	1.4	1.4
241	UiArchiveMonsterDetail	Mb1OniisanMd010003UI	0	0	0	0	0	0	0.9	0.9	0.9
242	UiDrawShow	R2LuolanMd010011	0	0	0	0	0	0	0.95	0.95	0.95
243	UiPartnerMain	Pet2YangonMd010011	0	0	0	0	0	0	1.5	1.5	1.5
244	UiDrawShow	R2DubianMd010011	0	0	0	0	0	0	0.95	0.95	0.95
245	UiDrawShow	R2KamuMd010011	0	0	0	0	0	0	0.95	0.95	0.95
246	UiDrawShow	R2BiankaMd010011	0	0	0	0	0	0	0.94	0.94	0.94
247	UiDrawShow	R2ShenweiMd010011	0	0	0	0	0	0	1	1	1
248	UiDrawShow	R3DubianMd010011	0	0	0	0	0	0	0.95	0.95	0.95
249	UiDrawShow	R3ShenweiMd010011	0	0	0	0	0	0	0.94	0.94	0.94
250	UiReform	Me1XunjingzheMd000001	0.2	-0.1	0	0	0	0	1	1	1
251	UiReform	Mo1ShaojiejipaoMd000001	-1.2	0.3	2	0	0	0	1	1	1
252	UiReform	Me1YihekantandanyuanMd000001	3.05	-0.52	-4.86	0	0	0	1	1	1
253	UiReform	Me1JiegouqiutuMd010001UI	1.65	-0.37	-2.4	0	0	0	1	1	1
254	UiReform	Mb1LuolanMd010001	-0.54	0.1	1.02	0	0	0	1	1	1
255	UiReform	Mb1LuosaitamaMd000001	0.2	0	0	0	-5	0	1	1	1
256	UiReform	Mb1LuxiyaMd000003	-0.58	0.12	1.03	0	0	0	1	1	1
257	UiReform	Mb1MajiyaweiliMd010001UI	2.1	-0.5	-3.3	0	-20	0	1	1	1
258	UiReform	Mb1OrphanMd030001	4.27	-0.97	-7.07	0	0	0	1	1	1
259	UiReform	R1LuxiyaMd010011RPG	-0.51	0.09	0.88	0	0	0	1	1	1
260	UiReform	Mb1JiabailieMd000001	2.4	-0.45	-3.5	0	0	0	1	1	1
261	UiPanelBossDetail	Mb1LunaMd010001UI	0.1	-0.15	0	0	0	0	1.05	1.05	1.05
262	UiMain	R2PulaoMd010011	0	0.08	0	0	0	0	1	1	1
263	UiMain	R2PulaoMd010021	0	0.08	0	0	0	0	1	1	1
264	UiMain	R2PulaoMd010031	0	0.08	0	0	0	0	1	1	1
265	UiMain	R2PulaoMd019311	0	0.08	0	0	0	0	1	1	1
266	UiMain	R2PulaoMd019091	0	0.08	0	0	0	0	1	1	1
267	UiMain	R4LifuMd010011	0	0.12	0	0	0	0	1	1	1
268	UiMain	R4LifuMd010021	0	0.12	0	0	0	0	1	1	1
269	UiMain	R4LifuMd010031	0	0.12	0	0	0	0	1	1	1
270	UiMain	R4LifuMd019291	0	0.12	0	0	0	0	1	1	1
271	UiMain	R4LifuMd019331	0	0.12	0	0	0	0	1	1	1
272	UiMain	R3KuluomuMd010011	0.08	0	0	0	0	0	1	1	1
273	UiMain	R3KuluomuMd010021	0.08	0	0	0	0	0	1	1	1
274	UiMain	R3KuluomuMd010031	0.08	0	0	0	0	0	1	1	1
