Id	UiName	ModelName	CameraName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ
54	UiRoomCharacter	R4YongyechaobotMd010021	NearCamera	0.22	1.25	-26	0.856	0	0
55	UiRoomCharacter	R4YongyechaobotMd010031	NearCamera	0.22	1.25	-26	0.856	0	0
56	UiRoomCharacter	R4YongyechaobotMd019321	NearCamera	0.22	1.25	-26	0.856	0	0
57	UiBattleRoomRoleDetail	R4YongyechaobotMd010011	FarCamera	0.22	1.25	-26	0.856	0	0
58	UiBattleRoomRoleDetail	R4YongyechaobotMd010021	FarCamera	0.22	1.25	-26	0.856	0	0
59	UiBattleRoomRoleDetail	R4YongyechaobotMd010031	FarCamera	0.22	1.25	-26	0.856	0	0
60	UiBattleRoomRoleDetail	R4YongyechaobotMd019321	FarCamera	0.22	1.25	-26	0.856	0	0
61	UiBattleRoomRoleDetail	R4YongyechaobotMd010011	NearCamera	0.22	1.25	-26	0.856	0	0
62	UiBattleRoomRoleDetail	R4YongyechaobotMd010021	NearCamera	0.22	1.25	-26	0.856	0	0
63	UiBattleRoomRoleDetail	R4YongyechaobotMd010031	NearCamera	0.22	1.25	-26	0.856	0	0
64	UiBattleRoomRoleDetail	R4YongyechaobotMd019321	NearCamera	0.22	1.25	-26	0.856	0	0
65	UiBattleRoleRoom	R4YongyechaobotMd010011	FarCamera	0.22	1.25	-26	0.856	0	0
66	UiBattleRoleRoom	R4YongyechaobotMd010021	FarCamera	0.22	1.25	-26	0.856	0	0
67	UiBattleRoleRoom	R4YongyechaobotMd010031	FarCamera	0.22	1.25	-26	0.856	0	0
68	UiBattleRoleRoom	R4YongyechaobotMd019321	FarCamera	0.22	1.25	-26	0.856	0	0
69	UiBattleRoleRoom	R4YongyechaobotMd010011	NearCamera	0.22	1.25	-26	0.856	0	0
70	UiBattleRoleRoom	R4YongyechaobotMd010021	NearCamera	0.22	1.25	-26	0.856	0	0
71	UiBattleRoleRoom	R4YongyechaobotMd010031	NearCamera	0.22	1.25	-26	0.856	0	0
72	UiBattleRoleRoom	R4YongyechaobotMd019321	NearCamera	0.22	1.25	-26	0.856	0	0
73	UiFashion	R4YongyechaobotMd010011	FashionCamNearMain	0.55	1.25	-27.54	2.25	0	0
74	UiFashion	R4YongyechaobotMd010021	FashionCamNearMain	0.55	1.25	-27.54	2.25	0	0
75	UiFashion	R4YongyechaobotMd010031	FashionCamNearMain	0.55	1.25	-27.54	2.25	0	0
76	UiFashion	R4YongyechaobotMd019321	FashionCamNearMain	0.55	1.25	-27.54	2.25	0	0
77	UiFashion	R4YongyechaobotMd010011	FashionCamNearest	0.3	1.52	-24	0	0	0
78	UiFashion	R4YongyechaobotMd010021	FashionCamNearest	0.3	1.52	-24	0	0	0
79	UiFashion	R4YongyechaobotMd010031	FashionCamNearest	0.3	1.52	-24	0	0	0
80	UiFashion	R4YongyechaobotMd019321	FashionCamNearest	0.3	1.52	-24	0	0	0
81	UiFavorabilityLineRoomCharacter	R4YongyechaobotMd010011	NearCamera	0.22	1.25	-26	0.856	0	0
82	UiFavorabilityLineRoomCharacter	R4YongyechaobotMd010021	NearCamera	0.22	1.25	-26	0.856	0	0
83	UiFavorabilityLineRoomCharacter	R4YongyechaobotMd010031	NearCamera	0.22	1.25	-26	0.856	0	0
84	UiFavorabilityLineRoomCharacter	R4YongyechaobotMd019321	NearCamera	0.22	1.25	-26	0.856	0	0
85	UiCharacter	R3WeilaMd019331	CamFarMain	0.1	0.55	-23.86	0	0	0
86	UiCharacter	R3WeilaMd019331	CamNearMain	0	1.83	-24.86	14.31	0.68	0
87	UiCharacter	R3WeilaMd019331	UiCamFarLv	0.1	0.55	-23.86	0	0	0
88	UiCharacter	R3WeilaMd019331	UiCamNearLv	0	1.6	-23.94	14.31	2.7	0
89	UiCharacter	R3WeilaMd019331	UiCamFarGrade	-1.33	0.7	-23.76	1.714	20.649	0.302
90	UiCharacter	R3WeilaMd019331	UiCamNearGrade	-1.33	0.7	-23.76	1.714	20.649	0.302
91	UiCharacter	R3WeilaMd019331	UiCamFarQuality	1	1.01	-24.01	6.32	-11.7	0
92	UiCharacter	R3WeilaMd019331	UiCamNearQuality	1	1.01	-24.01	6.32	-11.7	0
93	UiCharacter	R3WeilaMd019331	UiCamFarSkill	1.97	0.56	-23.43	0	-27.08	0
94	UiCharacter	R3WeilaMd019331	UiCamNearSkill	1.97	0.56	-23.43	0	-27.08	0
95	UiCharacter	R3WeilaMd019331	UiCamFarrExchange	-0.285	1.8	-24.84	14.074	-9.957	-2.5
96	UiCharacter	R3WeilaMd019331	UiCamNearrExchange	-0.285	1.8	-24.84	14.074	-9.957	-2.5
97	UiRoomCharacter	R3WeilaMd019331	FarCamera	0.1	1.3	-23.85	0.856	0	0
98	UiRoomCharacter	R3WeilaMd019331	NearCamera	0.07	1.7	-24.2	13.268	0	0
99	UiBattleRoomRoleDetail	R3WeilaMd019331	FarCamera	0.1	1.3	-23.85	0.856	0	0
100	UiBattleRoomRoleDetail	R3WeilaMd019331	NearCamera	0.07	1.7	-24.2	13.268	0	0
101	UiFashion	R3WeilaMd019331	FashionCamNearMain	0	1.6	-24.35	14.31	2.7	0
102	UiFashion	R3WeilaMd019331	FashionCamNearest	0	1.5	-22	14.31	2.7	0
103	UiFavorabilityLineRoomCharacter	R3WeilaMd019331	NearCamera	-0.23	1.6	-24.35	14.31	2.7	0
104	UiDoubleTowersRoom	R3WeilaMd019331	UiNearCamera	0.2	1.6	-23.94	14.31	2.7	0
105	UiDoubleTowersRoom	R3WeilaMd019331	UiFarCamera	0.2	1.6	-23.94	14.31	2.7	0
106	UiFashionDetail	R3WeilaMd019331	FashionCamNearMain	0.25	1.83	-24.84	14.31	0.68	0
107	UiFashionDetail	R3WeilaMd019331	UiFarCamera	0	1.3	-22	14.31	2.7	0
108	UiCharacter	R3KuluomuMd019011	CamNearMain	0.35	1	-25.1	2.82	-1.71	0.58
109	UiCharacter	R3KuluomuMd019011	UiCamNearLv	0.48	1	-24.1	2.82	-1.71	0.58
110	UiCharacter	R3KuluomuMd019011	UiCamNearGrade	1.2	1.6	-22.79	13.56	-19.4	0.58
111	UiCharacter	R3KuluomuMd019011	UiCamNearQuality	2.3	0.6	-23.69	-0.7	-27.19	0.58
112	UiCharacter	R3KuluomuMd019011	UiCamNearSkill	-0.92	1.96	-23.8	16.04	16.65	0.58
113	UiCharacter	R3KuluomuMd019011	UiCamNearrExchange	1.04	1	-25.1	2.82	-22.92	0.58
114	UiRoomCharacter	R3KuluomuMd019011	NearCamera	0.82	1	-25	2.82	-8.11	0.58
115	UiBattleRoomRoleDetail	R3KuluomuMd019011	NearCamera	0.82	1	-25	2.82	-8.11	0.58
116	UiFashion	R3KuluomuMd019011	FashionCamNearMain	0.48	1	-25.1	2.82	-1.71	0.58
117	UiFashion	R3KuluomuMd019011	FashionCamNearest	0.34	1.48	-23.1	2.82	-1.71	0.58
118	UiFavorabilityLineRoomCharacter	R3KuluomuMd019011	NearCamera	0.49	1	-25.1	2.82	-4.54	0.58
119	UiDoubleTowersRoom	R3KuluomuMd019011	UiNearCamera	0.48	1	-25.1	2.82	-1.71	0.58
120	UiFashionDetail	R3KuluomuMd019011	FashionCamNearMain	0.48	1	-25.1	2.82	-1.71	0.58
