Key	PrefabUrl
BtnAutoPC	Assets/Product/Ui/ComponentPrefab/UiPc/BtnAutoPC.prefab
BtnClosePC	Assets/Product/Ui/ComponentPrefab/UiPc/BtnClosePC.prefab
BtnConfirmPC	Assets/Product/Ui/ComponentPrefab/UiPc/BtnConfirmPC.prefab
BtnPcBack	Assets/Product/Ui/ComponentPrefab/UiPc/BtnPcBack.prefab
BtnPcBackSpe	Assets/Product/Ui/ComponentPrefab/UiPc/BtnPcBackSpe.prefab
BtnPcBackWhite	Assets/Product/Ui/ComponentPrefab/UiPc/BtnPcBackWhite.prefab
BtnPcMainUi	Assets/Product/Ui/ComponentPrefab/UiPc/BtnPcMainUi.prefab
BtnPcMainUiSpe	Assets/Product/Ui/ComponentPrefab/UiPc/BtnPcMainUiSpe.prefab
BtnPcMainUiWhite	Assets/Product/Ui/ComponentPrefab/UiPc/BtnPcMainUiWhite.prefab
BtnReviewPC	Assets/Product/Ui/ComponentPrefab/UiPc/BtnReviewPC.prefab
BtnSkipPC	Assets/Product/Ui/ComponentPrefab/UiPc/BtnSkipPC.prefab
UiMoviePanelDialogPc	Assets/Product/Ui/ComponentPrefab/UiPc/UiMoviePanelDialogPc.prefab
UiMovieReviewBtnClosePC	Assets/Product/Ui/ComponentPrefab/UiPc/UiMovieReviewBtnClosePC.prefab
UiMovieReviewScrollbarPC	Assets/Product/Ui/ComponentPrefab/UiPc/UiMovieReviewScrollbarPC.prefab
