UiName	ParentUiName	LoadWithParent	UiType	UiResType	PrefabUrl	SceneUrl	ModelUrl	CacheTime	Recycle	HideSetPosition	FightingStay
UiExpeditionEquipDetailChild	UiExpeditionEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipDetailChild.prefab			5000			0
UiExpeditionRoleDetails	UiExpeditionRecruit		Normal	Bundle	Assets/Product/Ui/Prefab/UiExpeditionRoleDetails.prefab			5000			0
UiExpeditionLevelTips	UiExpeditionRecruit		Normal	Bundle	Assets/Product/Ui/Prefab/UiExpeditionLevelTips.prefab			5000			0
UiExpeditionRoleListCharaInfo	UiExpeditionRoleList	1		Bundle	Assets/Product/Ui/Prefab/UiExpeditionRoleListCharaInfo.prefab			5000			0
UiExpeditionViewRole	UiExpeditionRoleList			Bundle	Assets/Product/Ui/Prefab/UiExpeditionViewRole.prefab			5000			0
UiFightJoystick	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightJoystick.prefab			30000			0
UiFightLeadHead	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightLeadHead.prefab			30000			0
UiFightNpcPortrait	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightNpcPortrait.prefab			30000			0
UiGuideFight	UiFight			Bundle	Assets/Product/Ui/Prefab/UiGuideFight.prefab			30000			0
UiFightAffix	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightAffix.prefab			30000			0
UiFightAccumulativeBuff	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightAccumulativeBuff.prefab			30000			0
UiFightComponent	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightComponent.prefab			30000			0
UiFightTips	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightTips.prefab			30000			0
UiFightVideoPlayer	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightVideoPlayer.prefab			30000			0
UiFightReboot	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightReboot.prefab			30000			0
UiFightQteContainer	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightQteContainer.prefab			30000			0
UiFightQteGameContainer	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightQteGameContainer.prefab			30000			0
UiFightCapture	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightCapture.prefab			30000			0
UiFightOnlineMsg	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightOnlineMsg.prefab			30000			0
UiFightQuartet	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightQuartet.prefab			30000			0
UiHookRope	UiFight			Bundle	Assets/Product/Ui/Prefab/UiHookRope.prefab			30000			0
UiFightTeaching	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightTeaching.prefab			30000			0
UiFightPassword	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightPassword.prefab			30000			0
UiFightPassword2	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightPassword2.prefab			30000			0
UiHacker	UiFight			Bundle	Assets/Product/Ui/Prefab/UiHacker.prefab			30000			0
UiFightSuperTowerEnhancerSelect	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightSuperTowerEnhancerSelect.prefab			30000			0
UiFightSuperTowerPluginSelect	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightSuperTowerPluginSelect.prefab			30000			0
UiFightTalkOption	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightTalkOption.prefab			30000			0
UiEpisodeFight	UiFight			Bundle	Assets/Product/Ui/Prefab/UiEpisodeFight.prefab			30000			0
UiSpecialTrainMusicFight	UiFight			Bundle	Assets/Product/Ui/Prefab/UiSpecialTrainMusicFight.prefab			30000			0
UiFightRollingNum	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightRollingNum.prefab			30000			0
UiFightPivotCombat	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightPivotCombat.prefab			30000			0
UiFightYuanxiao	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightYuanxiao.prefab			30000			0
UiMultiDimFight	UiFight			Bundle	Assets/Product/Ui/Prefab/UiMultiDimFight.prefab			30000			0
UiFightTaikoMaster	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightTaikoMaster.prefab			30000			0
UiFightParkour	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightParkour.prefab			30000			0
UiFightSpecialTrainBreakthrough	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightSpecialTrainBreakthrough.prefab			30000			0
UiFightNewspaper	UiFight			Bundle	Assets/Product/Ui/Prefab/UiFightNewspaper.prefab			30000			0
UiFubenActivityBanner	UiFuben			Bundle	Assets/Product/Ui/Prefab/UiFubenActivityBanner.prefab			5000			0
UiFubenChallengeBanner	UiFuben			Bundle	Assets/Product/Ui/Prefab/UiFubenChallengeBanner.prefab			5000			0
UiFubenDailyBanner	UiFuben			Bundle	Assets/Product/Ui/Prefab/UiFubenDailyBanner.prefab			5000			0
UiFubenMainLineBanner	UiFuben			Bundle	Assets/Product/Ui/Prefab/UiFubenMainLineBanner.prefab			5000			0
UiFubenActivityPuzzlePassword	UiFubenActivityPuzzle		Normal	Bundle	Assets/Product/Ui/Prefab/UiFubenActivityPuzzlePassword.prefab			5000			0
UiFubenChallengeEMEX	UiFubenChallengeMap			Bundle	Assets/Product/Ui/Prefab/UiFubenChallengeEMEX.prefab			5000			0
UiFubenChallengeMapEmex	UiFubenChallengeMap			Bundle	Assets/Product/Ui/Prefab/UiFubenChallengeMapEmex.prefab			5000			0
UiFubenChallengeUrgent	UiFubenChallengeMap			Bundle	Assets/Product/Ui/Prefab/UiFubenChallengeUrgent.prefab			5000			0
UiFubenChallengeYSHTX	UiFubenChallengeMap			Bundle	Assets/Product/Ui/Prefab/UiFubenChallengeYSHTX.prefab			5000			0
UiStoryChristmasStageDetail	UiFubenChristmasMainLineChapter			Bundle	Assets/Product/Ui/Prefab/UiStoryChristmasStageDetail.prefab			5000			0
UiFubenChristmasStageDetail	UiFubenChristmasMainLineChapter			Bundle	Assets/Product/Ui/Prefab/UiFubenChristmasStageDetail.prefab			5000			0
UiFashionStoryStageFightDetail	UiFubenFashionStory		Normal	Bundle	Assets/Product/Ui/Prefab/UiFashionStoryStageFightDetail.prefab			5000			0
UiFashionStoryStageStoryDetail	UiFubenFashionStory		Normal	Bundle	Assets/Product/Ui/Prefab/UiFashionStoryStageStoryDetail.prefab			5000			0
UiFashionStoryStageTrialDetail	UiFubenFashionStory		Normal	Bundle	Assets/Product/Ui/Prefab/UiFashionStoryStageTrialDetail.prefab			5000			0
UiFubenHackSection	UiFubenHack			Bundle	Assets/Product/Ui/Prefab/UiFubenHackSection.prefab			5000			0
UiMainLine3DStoryDetail	UiFubenMainLine3D		Normal	Bundle	Assets/Product/Ui/Prefab/UiFubenMainLineDetailLivStory.prefab			5000			0
UiMainLine3DFightDetail	UiFubenMainLine3D		Normal	Bundle	Assets/Product/Ui/Prefab/UiFubenMainLineDetailLivFight.prefab			5000			0
UiBfrtStageDetail	UiFubenMainLineChapter			Bundle	Assets/Product/Ui/Prefab/UiBfrtStageDetail.prefab			5000			0
UiFubenMainLineDetail	UiFubenMainLineChapter			Bundle	Assets/Product/Ui/Prefab/UiFubenMainLineDetail.prefab			5000			0
UiStoryStageDetail	UiFubenMainLineChapter			Bundle	Assets/Product/Ui/Prefab/UiStoryStageDetail.prefab			5000			0
UiFubenMainLineDetailDP	UiFubenMainLineChapterDP			Bundle	Assets/Product/Ui/Prefab/UiFubenMainLineDetailDP.prefab			5000			0
UiStoryStageDetailDP	UiFubenMainLineChapterDP			Bundle	Assets/Product/Ui/Prefab/UiStoryStageDetailDP.prefab			5000			0
UiFubenMainLineDetailFw	UiFubenMainLineChapterFw			Bundle	Assets/Product/Ui/Prefab/UiFubenMainLineDetailFw.prefab			5000			0
UiStoryStageDetailFw	UiFubenMainLineChapterFw			Bundle	Assets/Product/Ui/Prefab/UiStoryStageDetailFw.prefab			5000			0
UiFubenMaverickPopup	UiFubenMaverickChapter			Bundle	Assets/Product/Ui/Prefab/UiFubenMaverickPopup.prefab			5000			0
UiPracticeSingleDetail	UiFubenPractice	1		Bundle	Assets/Product/Ui/Prefab/UiPracticeSingleDetail.prefab			5000			0
UiPracticeBossDetail	UiFubenPractice	1		Bundle	Assets/Product/Ui/Prefab/UiPracticeBossDetail.prefab			5000			0
UiFubenPracticeCharacterDetail			Normal	Bundle	Assets/Product/Ui/Prefab/UiFubenPracticeCharacterDetail.prefab			5000			0
UiPracticeCharacterDetail	UiFubenPracticeCharacterDetail	1		Bundle	Assets/Product/Ui/Prefab/UiPracticeCharacterDetail.prefab			5000			0
UiFubenRepeatChallengeStageDetail	UiFubenRepeatchallenge			Bundle	Assets/Product/Ui/Prefab/UiFubenRepeatChallengeStageDetail.prefab			5000			0
UiFubenSpringFestivalStageDetail	UiFubenSpringFestivalChapter		Normal	Bundle	Assets/Product/Ui/Prefab/UiFubenSpringFestivalStageDetail.prefab			5000			0
UiStorySpringFestivalStageDetail	UiFubenSpringFestivalChapter		Normal	Bundle	Assets/Product/Ui/Prefab/UiStorySpringFestivalStageDetail.prefab			5000			0
UiFunbenKoroTutoriaTeachingDetail	UiFunbenWeiLaTutorial			Bundle	Assets/Product/Ui/Prefab/UiFunbenKoroTutoriaTeachingDetail.prefab			5000			0
UiFunbenKoroTutoriaChallengeDetail	UiFunbenWeiLaTutorial			Bundle	Assets/Product/Ui/Prefab/UiFunbenKoroTutoriaChallengeDetail.prefab			5000			0
UiGuildBossCurSubLevelInfo	UiGuildBossStage		Normal	Bundle	Assets/Product/Ui/Prefab/UiGuildBossCurSubLevelInfo.prefab			5000			0
UiGuildBossMainLevelInfo	UiGuildBossStage		Normal	Bundle	Assets/Product/Ui/Prefab/UiGuildBossMainLevelInfo.prefab			5000			0
UiGuildBossOtherSubLevelInfo	UiGuildBossStage		Normal	Bundle	Assets/Product/Ui/Prefab/UiGuildBossOtherSubLevelInfo.prefab			5000			0
UiLottoShow	UiLotto			Bundle	Assets/Product/Ui/Prefab/UiLottoShow.prefab	Assets/Product/Ui/Scene3DPrefab/UiDraw.prefab	Assets/Product/Ui/UiModel/UiLotto/UiLottoShow.prefab	5000			0
UiMemorySaveDetail	UiMemorySave			Bundle	Assets/Product/Ui/Prefab/UiFubenChristmasStageDetail.prefab			5000			0
UiMovieReview	UiMovie		Popup	Bundle	Assets/Product/Ui/Prefab/UiMovieReview.prefab			5000			0
UiDrawPreview	UiNewDrawMain			Bundle	Assets/Product/Ui/Prefab/UiDrawPreview.prefab			5000			0
UiDrawSuitPreview	UiNewDrawMain			Bundle	Assets/Product/Ui/Prefab/UiDrawSuitPreview.prefab			5000			0
UiDrawPurchaseLB	UiNewDrawMain			Bundle	Assets/Product/Ui/Prefab/UiDrawPurchaseLB.prefab			5000			0
UiAssignStageDetail	UiPanelAssignStage			Bundle	Assets/Product/Ui/Prefab/UiAssignStageDetail.prefab						0
UiPartnerOwnedInfo	UiPartnerMain			Bundle	Assets/Product/Ui/Prefab/UiPartnerOwnedInfo.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab	Assets/Product/Ui/UiModel/UiCharacter3d/UiPartnerMain.prefab	5000			0
UiPartnerCompose	UiPartnerMain			Bundle	Assets/Product/Ui/Prefab/UiPartnerCompose.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab	Assets/Product/Ui/UiModel/UiCharacter3d/UiPartnerMain.prefab	5000			0
UiPartnerProperty	UiPartnerMain			Bundle	Assets/Product/Ui/Prefab/UiPartnerProperty.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab	Assets/Product/Ui/UiModel/UiCharacter3d/UiPartnerMain.prefab	5000			0
UiPartnerTeachingFightDetail	UiPartnerTeachingChapter		Normal	Bundle	Assets/Product/Ui/Prefab/UiPartnerTeachingFightDetail.prefab			5000			0
UiPartnerTeachingStoryDetail	UiPartnerTeachingChapter		Normal	Bundle	Assets/Product/Ui/Prefab/UiPartnerTeachingStoryDetail.prefab			5000			0
UiPivotCombatTask	UiPivotCombatMain			Bundle	Assets/Product/Ui/Prefab/UiFubenMaverickTask.prefab			5000			0
UiPivotCombatEffect	UiPivotCombatMain			Bundle	Assets/Product/Ui/Prefab/UiPivotCombatEffectArea.prefab			5000			0
UiPivotCombatNormalDetail	UiPivotCombatMain			Bundle	Assets/Product/Ui/Prefab/UiPivotCombatNormalDetail.prefab			5000			0
UiPivotCombatSecondaryDetail	UiPivotCombatSecondary			Bundle	Assets/Product/Ui/Prefab/UiPivotCombatSecondaryDetail.prefab			5000			0
UiPivotCombatEffectArea	UiPivotCombatSecondary			Bundle	Assets/Product/Ui/Prefab/UiPivotCombatEffectArea.prefab			5000			0
UiPanelAchieve	UiPlayer			Bundle	Assets/Product/Ui/Prefab/UiPanelAchieve.prefab			5000			0
UiPanelPlayerInfo	UiPlayer			Bundle	Assets/Product/Ui/Prefab/UiPanelPlayerInfo.prefab			5000			0
UiPanelSetting	UiPlayer			Bundle	Assets/Product/Ui/Prefab/UiPanelSetting.prefab			5000			0
UiPanelMedal	UiPlayer			Bundle	Assets/Product/Ui/Prefab/UiPanelMedal.prefab			5000			0
UiPrequelLineDetail	UiPrequel	1		Bundle	Assets/Product/Ui/Prefab/UiPrequelLineDetail.prefab			5000			0
UiReformCharacterInfo	UiReformRoleList	1		Bundle	Assets/Product/Ui/Prefab/UiCharacterOwnedInfo.prefab			5000			
UiReformCharacterDetailInfo	UiReformRoleList			Bundle	Assets/Product/Ui/Prefab/UiPanelCharProperty.prefab			5000			
UiRegressionTask	UiRegression			Bundle	Assets/Product/Ui/Prefab/UiRegressionTask.prefab			5000			0
UiRogueLikeTrialOpens	UiRogueLikeMain			Bundle	Assets/Product/Ui/Prefab/UiRogueLikeTrialOpens.prefab			5000			0
UiRogueLikeClearance	UiRogueLikeMain			Bundle	Assets/Product/Ui/Prefab/UiRogueLikeClearance.prefab			5000			0
UiSimulatedCombatEquipDetailChild	UiSimulatedCombatEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipDetailChild.prefab			5000			0
UiSimulatedCombatStageDetail	UiSimulatedCombatMain		Normal	Bundle	Assets/Product/Ui/Prefab/UiSimulatedCombatStageDetail.prefab			5000			0
UiSimulatedCombatStarReward	UiSimulatedCombatMain			Bundle	Assets/Product/Ui/Prefab/UiSimulatedCombatStarReward.prefab			5000			0
UiSimulatedCombatTaskReward	UiSimulatedCombatMain			Bundle	Assets/Product/Ui/Prefab/UiSimulatedCombatTaskReward.prefab			5000			0
UiSimulatedCombatListCharaInfo	UiSimulatedCombatRoleList	1		Bundle	Assets/Product/Ui/Prefab/UiSimulatedCombatListCharaInfo.prefab			5000			0
UiSimulatedCombatViewRole	UiSimulatedCombatRoleList			Bundle	Assets/Product/Ui/Prefab/UiSimulatedCombatViewRole.prefab			5000			0
UiStrongholdDetail	UiStrongholdFightMain			Bundle	Assets/Product/Ui/Prefab/UiStrongholdDetail.prefab			5000			0
UiSummerStageDetail	UiSummerEpisode			Bundle	Assets/Product/Ui/Prefab/UiSummerStageDetail.prefab			5000			0
UiSummerOnlineSection	UiSummerEpisode			Bundle	Assets/Product/Ui/Prefab/UiSummerOnlineSection.prefab			5000			0
UiSummerStarReward	UiSummerEpisode			Bundle	Assets/Product/Ui/Prefab/UiSummerStarReward.prefab			5000			0
UiSummerTaskReward	UiSummerEpisodeNew			Bundle	Assets/Product/Ui/Prefab/UiSummerTaskReward.prefab			5000			0
UiTRPGTalenTree	UiTRPGYingDi			Bundle	Assets/Product/Ui/Prefab/UiTRPGTalenTree.prefab			5000			0
UiActivityBase			Normal	Bundle	Assets/Product/Ui/Prefab/UiActivityBase.prefab			5000			0
UiActivityBossSingle			Normal	Bundle	Assets/Product/Ui/Prefab/UiActivityBossSingle.prefab	Assets/Product/Ui/Scene3DPrefab/UiActivityBossSingle3d.prefab	Assets/Product/Ui/UiModel/UiActivityBossSingle3d/UiActivityBossSingle.prefab	5000			0
UiActivityBossSingleDetail			Normal	Bundle	Assets/Product/Ui/Prefab/UiActivityBossSingleDetail.prefab	Assets/Product/Ui/Scene3DPrefab/UiActivityBossSingle3d.prefab	Assets/Product/Ui/UiModel/UiActivityBossSingle3d/UiActivityBossSingleDetail.prefab	5000			0
UiActivityBranch			Normal	Bundle	Assets/Product/Ui/Prefab/UiActivityBranch.prefab			5000			0
UiActivityBranchReward			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiActivityBranchReward.prefab			5000			0
UiFubenRepeatchallenge			Normal	Bundle	Assets/Product/Ui/Prefab/UiFubenRepeatchallenge.prefab			5000			0
UiFubenRepeatchallengeLevelDes			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiFubenRepeatchallengeLevelDes.prefab			5000			0
UiRepeatChallengeEnter			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiRepeatChallengeEnter.prefab			5000			0
UiFubenRepeatChallengeNewChapter			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiFubenRepeatChallengeNewChapter.prefab			5000			0
UiArena			Normal	Bundle	Assets/Product/Ui/Prefab/UiArena.prefab			5000			0
UiArenaContributeTips			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiArenaContributeTips.prefab			5000			0
UiArenaRank			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaRank.prefab			5000			0
UiArenaActivityResult			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiArenaActivityResult.prefab			5000			0
UiArenaFightResult			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaFightResult.prefab			5000			0
UiArenaLevelDetail			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiArenaLevelDetail.prefab			5000			0
UiArenaStage			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaStage.prefab			5000			0
UiArenaTask			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaTask.prefab			5000			0
UiArenaTeam			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaTeam.prefab			5000			0
UiArenaTeamRank			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaTeamRank.prefab			5000			0
UiArenaWarZone			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaWarZone.prefab			5000			0
UiArenaOnlineChapter			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaOnlineChapter.prefab			5000			0
UiArenaOnlineSection			Normal	Bundle	Assets/Product/Ui/Prefab/UiArenaOnlineSection.prefab			5000			0
UiArenaOnlineInvitation			Popup	Bundle	Assets/Product/Ui/Prefab/UiArenaOnlineInvitation.prefab			5000			0
UiAutoFightDialog			Dialog	Bundle	Assets/Product/Ui/Prefab/UiAutoFightDialog.prefab			5000			0
UiAutoFightList			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiAutoFightList.prefab			5000			0
UiAutoFightReward			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiAutoFightReward.prefab			5000			0
UiAutoFightTip			Tips	Bundle	Assets/Product/Ui/Prefab/UiAutoFightTip.prefab			5000			0
UiAutoWindow			Tips	Bundle	Assets/Product/Ui/Prefab/UiAutoWindow.prefab			5000			0
UiBag			Normal	Bundle	Assets/Product/Ui/Prefab/UiBag.prefab			5000			0
UiBagItemInfoPanel			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiBagItemInfoPanel.prefab			5000			0
UiRecyclingSettings			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiRecyclingSettings.prefab			5000			0
UiBfrtDeploy			Normal	Bundle	Assets/Product/Ui/Prefab/UiBfrtDeploy.prefab			5000			0
UiBfrtInfo			Dialog	Bundle	Assets/Product/Ui/Prefab/UiBfrtInfo.prefab			5000			0
UiBfrtPostWarCount			Normal	Bundle	Assets/Product/Ui/Prefab/UiBfrtPostWarCount.prefab			5000			0
UiBfrtRoomCharacter			Normal	Bundle	Assets/Product/Ui/Prefab/UiBfrtRoomCharacter.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab	Assets/Product/Ui/UiModel/UiCharacter3d/UiBfrtRoomCharacter.prefab	5000			0
UiTipBfrtLogisticSkill			Dialog	Bundle	Assets/Product/Ui/Prefab/UiTipBfrtLogisticSkill.prefab			5000			0
UiBuyAsset			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiBuyAsset.prefab			5000			0
UiUnlockShow			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiUnlockShow.prefab			5000			0
UiLeftPopupTip			Tips	Bundle	Assets/Product/Ui/Prefab/UiLeftPopupTip.prefab			5000			0
UiCharacter			Normal	Bundle	Assets/Product/Ui/Prefab/UiCharacter.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab	Assets/Product/Ui/UiModel/UiCharacter3d/UiCharacter.prefab	5000			0
UiCharacterElementDetail			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiCharacterElementDetail.prefab			5000			0
UiCharacterCarerrTips			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiCharacterCarerrTips.prefab			5000			0
UiPanelQualityPreview	UiCharacter		NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiPanelQualityPreview.prefab			5000			0
UiPanelSkillTeach			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiPanelSkillTeach.prefab			5000			0
UiCharacterDetail			Normal	Bundle	Assets/Product/Ui/Prefab/UiCharacterDetail.prefab			5000			0
UiChatServeMain			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiChatServeMain.prefab			5000			0
UiTipLayer			Tips	Bundle	Assets/Product/Ui/Prefab/UiTipLayer.prefab			5000			0
UiDialog			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiDialog.prefab			5000			0
UiBlackScreen			Top	Bundle	Assets/Product/Ui/Prefab/UiBlackScreen.prefab			5000			0
UiFurnitureBuild			Normal	Bundle	Assets/Product/Ui/Prefab/UiFurnitureBuild.prefab			5000			0
UiFurnitureReform			Normal	Bundle	Assets/Product/Ui/Prefab/UiFurnitureReform.prefab			5000			0
UiChessPursuitFightTips			Normal	Bundle	Assets/Product/Ui/Prefab/UiChessPursuitFightTips.prefab			5000			0
UiChessPursuitBuffTips			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiChessPursuitBuffTips.prefab			5000			0
UiChessPursuitFightResult			Normal	Bundle	Assets/Product/Ui/Prefab/UiChessPursuitFightResult.prefab			5000			0
UiChessPursuitMain			Normal	Bundle	Assets/Product/Ui/Prefab/UiChessPursuitMain.prefab			5000			0
UiDormBag			Normal	Bundle	Assets/Product/Ui/Prefab/UiDormBag.prefab			5000			0
UiDormBagRecycle			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiDormBagRecycle.prefab			5000			0
UiDormCharacterLikeInfo			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiDormCharacterLikeInfo.prefab			5000			0
UiDormCharacterDetail			Normal	Bundle	Assets/Product/Ui/Prefab/UiDormCharacterDetail.prefab	Assets/Product/Ui/Scene3DPrefab/UiCharacter3d.prefab	Assets/Product/Ui/UiModel/UiCharacter3d/UiDormCharacterDetail.prefab	5000			0
UiDormComponent			Hud	Bundle	Assets/Product/Ui/Prefab/UiDormComponent.prefab			5000			0
UiDormFieldGuideDes			NormalPopup	Bundle	Assets/Product/Ui/Prefab/UiDormFieldGuideDes.prefab			5000			0
UiDormFieldGuide			Normal	Bundle	Assets/Product/Ui/Prefab/UiDormFieldGuide.prefab			5000			0
UiDormMain			Normal	Bundle	Assets/Product/Ui/Prefab/UiDormMain.prefab			5000			0
