Id	Name	SkipId	TimeId	BtnInitMethodName	desc
49	Virtual Horizon	11734	9201	RefreshExpedition	BtnActivityUiExpedition -- Virtual Horizon
50	3-Ping	82010	12101	RefreshSameColor	BtnActivitySameColorGame -- 3-Ping
51	Server Final Battle	20102		RefreshAreaWar	BtnActivityAreaWar — Server Final Battle
52	Ultimate Brawl	20104	15111	RefreshSuperSmashBros	BtnActivitySuperSmashBros — Ultimate Brawl
53	Tutorial Stage Coating Trial	89012	15701	RefreshTeachingSkin	BtnFubenActivityTrial — Tutorial Stage Coating Trial (Story)
54	Shooting Mode	89011	15011	RefreshMaverick	BtnActivityMaverickMain — Shooting Mode: Lone Lancer
55	Memory Rescue	82040	14401	RefreshMemorySave	BtnActivityMemorySave--Memory Rescue
56	Roguelike Mode	82020		RefreshTheatre	BtnActivityTheatre -- Roguelike Mode/
57	Management Sim	82050		RefreshDoomsDay	BtnActivityDoomsday--Management Sim
58	SP characters	82070	12403	RefreshPivotCombat	BtnActivitySp - Sp Battle Power Verification
59	Limited Time Escape	82080		RefreshEscape	BtnActivityEscape - Limited Time Escape
60	Story Collection	20167	-1	RefreshFubenShortStory	BtnActivityFubenShortStory - Story Collection
61	Tower Defense	82100	7401	RefreshDoubleTower	BtnFubenActivityTaFang — Tower Defense
62	Secondary Panel Event Shop			RefreshFubenShortStory	BtnActivityShopSecond — Secondary Panel Event Shop
63	Secondary Panel Jump	20125	-1	RefreshSecondActivityPanel	BtnFubenActivityChunJie — Secondary Panel Event Jump
64	Guild War	15001	7526	RefreshGuildWar	BtnActivityGongHui — Guild War
65	Miner	20122	13401	RefreshGoldenMiner	BtnActivityKuangGong — Gold Miner
66	福禄献礼	83010	7007	RefreshNormal	BtnFubenQiguan –福禄献礼
67	Music Mini-game	84010	8701	RefreshTaiKoMaster	BtnActivityTaikoMaster -- Music Mini-game
68	Multidimensional Challenge	84020	8105	RefreshMultiDim	BtnActivityMultiDim -- Multidimensional Challenge
69	Event Story	20147	12403	RefreshActivityFestival	BtnActivityFestival --Holiday Story V1.29: Dragon Boat Festival Event
70	Simulated Siege	84040	9601	RefreshGuildBoss	BtnGuildBoss - Simulated Siege
71	Yin-Yang Tower	85013	10501	RefreshTwoSideTower	BtnTwoSideTower - Yin-Yang Tower
72	Special Training	11727	11102	RefreshActivitySpecialTrain	BtnActivityBigWar -- Summer Event Training 2022 (Photo Taking 2.0)
73	Double Seventh Festival Event	11761	11701	RefreshActivityFestival	BtnActivityFestival — Holiday Story V1.30: Double Seventh Festival Event
74	Roguelike 2.0 (Cursed Waves)	85015	11912	RefreshBiancaTheatre	BtnActivityTheatre -- Roguelike Mode 2.0/Cursed Waves
75	Mid-Autumn Event Story	20166	12003	RefreshActivityFestival	BtnActivityFestival --Holiday Story V1.31: Mid-Autumn Event
76	Arcade Anima	11772	-1	RefreshActivityCharacterTower	Character Tower/Arcade Anima
77	Deep Blue 2.0 - Punishing: Gray Raven The Mythic Paradise	88003	13301	RefreshActivityRift	The Mythic Paradise of Punishing: Gray Raven
78	Palette Clash	88004	14002	RefreshColorTable	BtnActivityColorTable -- Palette Clash
79	Blazing Trails	89001	14601	RefreshBrilliantWalk	BtnActivityBrilliantWalk -- Blazing Trails
80	Memory Pact	11775	-1	RefreshFubenAwareness	BtnFubenAwareness -- Memory Pact (Crisis Pact)
81	Punishing: Gray Raven Restaurant	89008	15304	RefreshRestaurant	Spring Festival Kitchen/Punishing: Gray Raven Kitchen (Spring Festival Restaurant/Punishing: Gray Raven Restaurant)
82	Special Training	89007	15201	RefreshActivitySpecialTrain	 — 2023 Lantern Festival Special Training
83	Spring Festival Story	20184	15003	RefreshActivityFestival	BtnActivityFestival --Holiday Story V2.0: Spring Festival Event
