Id	Name	Type	Prefab	Score	StartMoveDirection	MoveType	MoveRange	MoveSpeed	BornDelay	DestoryTime	Weight	CarryStoneId	CatchEffect
209	2001 — Red Packet Dingchun 1	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	750	250			6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
210	2001 — Red Packet Dingchun 2	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	750	230			6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
211	2001 — Hourglass Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	800	260			6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
212	2002 — Red Packet Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	860	250			6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
213	2003 — Diamond Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	700	270			6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
214	2003 — Colorful Diamond Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	850	255			6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
215	2004 — Normal Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	1240	265			6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
216	2004 — Diamond Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	520	290			6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
217	2005 — Diamond Dingchun 1	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	800	265			6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
218	2005 — Diamond Dingchun 2	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	800	265			6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
219	2005 — Colorful Diamond Dingchun 1	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	650	295			6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
220	2005 — Colorful Diamond Dingchun 2	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	650	295			6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
221	2007 — Normal Dingchun 1	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	700	255			6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
222	2007 — Normal Dingchun 2	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	700	275			6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
223	2007 — Red Packet Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	735	260			6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
224	2007 — Item Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	735	285			6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
225	2007 — Diamond Dingchun 1	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	650	250			6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
226	2007 — Diamond Dingchun 2	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	650	290			6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
227	2008 — Colorful Diamond Dingchun 1	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	866	275			6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
228	2008 — Shooting Star Colorful Diamond Dingchun 1	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	123	5	22	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
229	2008 — Shooting Star Colorful Diamond Dingchun 2	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	123	18	22	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
230	2009 — Shooting Star Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	203	1	13	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
231	2009 — Shooting Star Hourglass Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	183	11	14	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
232	2009 — Shooting Star Item Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	183	18	14	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
233	2010 — Shooting Star Dingchun 1	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	50	1	53	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
234	2010 — Shooting Star Dingchun 2	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	60	3	44	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
235	2010 — Shooting Star Dingchun 3	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	70	5	38	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
236	2010 — Shooting Star Dingchun 4	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	80	7	33	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
237	2010 — Shooting Star Diamond Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	90	9	29	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
238	2010 — Shooting Star Colorful Diamond Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	100	11	26	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
300	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	1	2680	161	19	16	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
301	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	1	2680	159	2	16	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
302	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	1	1	2680	236	0	11	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
303	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	1	2680	161	18	16	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
304	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	1	2680	169	25	15	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
305	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	1	2680	203	21	13	50		
306	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	1	2680	193	39	13	200		
307	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	1	2680	192	0	13	300		
308	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	259	39	10	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
309	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	264	41	10	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
310	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	295	36	9	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
311	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	255	29	10	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
312	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	294	38	9	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
313	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	243	30	11	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
314	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	1	2680	223	11	12	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
315	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	1	2680	235	18	11	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
316	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	1	1	2680	161	5	16	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
317	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	1	2680	255	15	10	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
318	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	1	2680	241	19	11	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
319	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	1	2680	224	16	11	50		
320	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	1	2680	171	9	15	200		
321	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	1	2680	203	2	13	300		
322	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	300	32	9	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
323	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	264	31	10	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
324	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	268	49	10	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
325	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	275	26	9	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
326	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	282	25	9	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
327	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	296	50	9	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
328	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	-1	1	2680	208	17	12	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
329	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	-1	1	2680	193	0	13	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
330	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	-1	1	2680	231	19	11	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
331	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	-1	1	2680	163	21	16	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
332	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	-1	1	2680	214	20	12	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
333	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	-1	1	2680	228	42	11	50		
334	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	-1	1	2680	229	0	11	200		
335	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	-1	1	2680	202	42	13	300		
336	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	202	49	13	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
337	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	244	29	11	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
338	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	284	23	9	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
339	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	254	45	10	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
340	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	271	45	10	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
341	Cat + Red Packet	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	240	45	11	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
342	Gold Mine (S)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	-1	1	2680	238	16	11	10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
343	Gold Mine (M)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	-1	1	2680	164	13	16	100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
344	Gold Mine (L)	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	-1	1	2680	193	1	13	300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
345	Diamond (Normal)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	-1	1	2680	251	40	10	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
346	Diamond (Super)	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	-1	1	2680	171	38	15	5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
347	Rock (S)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	-1	1	2680	186	23	14	50		
348	Rock (M)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	-1	1	2680	217	7	12	200		
349	Rock (L)	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	-1	1	2680	173	34	15	300		
350	Cat	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	276	26	9	6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
351	Cat + Small Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	240	46	11	6	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
352	Cat + Large Diamond	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	273	22	9	6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
353	Cat + Hourglass	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	253	44	10	6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
354	Cat + Item Crate	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	250	30	10	6	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
