RoleId	Name	RoleStoryIcon	Race	Age	Height	Weight	Wepon	Team	FacePosX	FacePosY
500015	Tifa	RoleStory.TifaNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500016	Iron Ball	RoleStory.TieqiuNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500017	Sister	RoleStory.XiunvNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500018	Nozzle	RoleStory.XixiNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500019	Common Construct	RoleStory.Tongyonggouzaoti01Nomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500020	Tyrant	RoleStory.AnbaoNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500021	Liv - Rank 2	RoleStory.R2LifuNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500022	Father	RoleStory.SnowNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500023	Male Researcher	RoleStory.BoshiNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500024	Sister Bianca	RoleStory.BankaNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	503.3	-353.7
500025	丽芙三阶	RoleStory.R3LifuNormal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500026	里三阶	RoleStory.R3LiangNormal01	Construct｜09	16	155	43	Levi-Gun	Gray Raven	482.5	-268.5
500027	Koya	RoleStory.KeyaNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500028	Construct Leader	RoleStory.Tongyonggouzaoti02Nomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500029	露西亚二阶	RoleStory.R2LuxiyaNormal01	Construct|01	17	165	48	Tachi	Gray Raven	545.8	-421.7
500030	Karenina Side Story	RoleStory.KalieqianzhuanNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	492.7	-389.9
500031	Little Luna	RoleStory.LunaNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	500	-439.2
500032	Little Lucia Unarmed	RoleStory.LuxiyaNomal03	Construct|03	18	160	45	Hand Cannon	Purifying Force	501.9	-452.7
500033	Grandpa Side Story	RoleStory.KaliegrandNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500034	Katie Side Story	RoleStory.KittyNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500035	Tom Side Story	RoleStory.TomNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500036	Liv Side Story Lady	RoleStory.Lifuqianzhuan2Nomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500037	Murray Side Story	RoleStory.MoruiNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500038	Nanami Side Story	RoleStory.QishiqianzhuanNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500039	Little Nanami	RoleStory.Qishiqianzhuan2Nomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500040	Nanami Side Story Corrupted	RoleStory.Qishiqianzhuan3Nomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500041	Lee Side Story 1	RoleStory.LiqianzhuanNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500042	Female Researcher	RoleStory.GongzuonvNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500043	Male Researcher 2	RoleStory.BoshiNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500044	Lee - Rank 3 Backside	RoleStory.R3LiangNormal02	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500045	Nithart	RoleStory.NiteNomal	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500046	Plush Sheep	RoleStory.ItemYang	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500047	Frog Plushie	RoleStory.ItemQingwa	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500048	Tifa - Rank 2	RoleStory.TifaNomal	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500049	Little Liv	RoleStory.LifulittleNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500050	Liv's Father	RoleStory.LifubabaNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500051	Liv's Mother	RoleStory.LifujimuNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500052	Liv's Sister	RoleStory.LifujiejieNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500053	Liv's Brother	RoleStory.LifugegeNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500054	Medic Liv	RoleStory.Lifuqianzhuan2Nomal02	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500055	Sister Side Story	RoleStory.XiunvqianzhuanNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500056	Little Lucia hugging plush toy	RoleStory.LuxiyaNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500057	Little Lucia holding knife	RoleStory.LuxiyaNomal02	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500058	Masked Male Researcher	RoleStory.BoshiNomal02	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500059	Masked Female Researcher	RoleStory.YanjiuyuanNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500060	Lee Suit Side Story	RoleStory.LiqianzhuanNomal02	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500061	Black Graffiti Machine	RoleStory.XixiNomal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500062	Bruce	RoleStory.BulusiNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500063	Watanabe Side Story	RoleStory.DubianNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500064	Watanabe Instructor	RoleStory.JiaoguanNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500065	神威三阶	RoleStory.R3ShenweiNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500066	Lucia - Rank 3 - Black	RoleStory.R3LuxiyaNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500067	Common Corrupted 2	RoleStory.TongyongganrantiNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500068	Common Corrupted 3	RoleStory.TongyongganrantiNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500069	Sister 2	RoleStory.XiunvNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500070	Einsteina	RoleStory.AiyinsitannaNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500071	Becky	RoleStory.BeiqiNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500072	Condelina	RoleStory.KangdelinaNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500073	Guinevere	RoleStory.GuiniNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500074	Athmail	RoleStory.AsimaiNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500075	Heisen	RoleStory.HaisenNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500076	Shakespeare	RoleStory.ShashibiyaNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500077	Catherine	RoleStory.KaiselinNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500078	Aife	RoleStory.AifuNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500079	Cottie	RoleStory.AdaifuNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500080	渡边三阶	RoleStory.R3DubianNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	539	-253.5
500081	Bruce	RoleStory.BulusiNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500082	Serum Full	RoleStory.ItemXueqing1	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500083	Serum Empty	RoleStory.ItemXueqing2	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500084	Archer	RoleStory.IceArchernomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500085	Harbor Boy	RoleStory.IceboyNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	484	-464.5
500086	Harbor Fisher	RoleStory.IcefishmanNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500087	Sailor	RoleStory.IcesailorNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500088	Diana	RoleStory.IceguideNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	513.8	-355.5
500090	Corrupted Father	RoleStory.SnowNomal02	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500091	七实三阶	RoleStory.R3Yongyechaonormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	464.8	-345.6
500092	Nanami 3 Side Story Girl	RoleStory.QishiqianzhuanNpc01	Construct|03	18	160	45	Hand Cannon	Purifying Force	486.6	-293
500093	Nanami 3 Side Story Old Man	RoleStory.QishiqianzhuanNpc02	Construct|03	18	160	45	Hand Cannon	Purifying Force	519.5	-235
500094	Music Box Broken	RoleStory.ItemBayinhe1	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500095	Music Box Good	RoleStory.ItemBayinhe2	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500096	Fortress	RoleStory.bossonline01	Construct|03	18	160	45	Hand Cannon	Purifying Force	567.3	-247.1
500097	Roseblade	RoleStory.BalaswordNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500098	Rosetta	RoleStory.LuosaitaNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	819.5	-314.5
500099	Lucia - Rank 3 - White Hair	RoleStory.R3LuxiyaNormal02	Construct|03	18	160	45	Hand Cannon	Purifying Force	562.6	-404
500100	Lucia - Rank 3	RoleStory.R3LuxiyaNormal03	Construct|03	18	160	45	Hand Cannon	Purifying Force	505.6	-365
500101	Gabriel	RoleStory.JiabailieNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500102	Christmas Gift	RoleStory.ItemShengdanliwu1	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500103	Christmas Tree	RoleStory.ItemShengdanshu1	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500104	Nanami 3 Side Story Robert	RoleStory.QishiqianzhuanNPC03	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500105	Luna	RoleStory.LunaNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500106	Cyril	RoleStory.XilierNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500107	Space Painting	RoleStory.ItemHua	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
500108	Selena	RoleStory.SailinnaNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	498.5	-319.9
500109	Selena Shattered	RoleStory.SailinnaNormal02	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500110	Ayla	RoleStory.R2ErrorNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	493.5	-328.5
500111	Allen	RoleStory.AilunNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	526	-252.5
500112	Heteromer Terminal	RoleStory.YijuzhongduanNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500113	Heteromer Aerial Monitor	RoleStory.YijukongzhongjianshiqiNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500114	Female Glasses Otaku	RoleStory.YanjingzhainvNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500115	Black Ayla	RoleStory.R2ErrorNormal02	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500116	Operator	RoleStory.CaozuoyuanNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500117	Black Jamilah	RoleStory.JiamilaNormal02	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500119	Black Iron Ball	RoleStory.TieqiuNormal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500120	Teenage Ayla	RoleStory.R2ErrorNormal03	Construct|03	18	160	45	Hand Cannon	Purifying Force	507	-395
500121	Black Sophia	RoleStory.SufeiyaNormal02	Construct|03	18	160	45	Hand Cannon	Purifying Force	477.5	-411
500122	Human Soldier A	RoleStory.TongyongrenleibingNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500123	Human Soldier B	RoleStory.TongyongrenleibingNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500124	Changyu	RoleStory.ChangyuNormal01	Construct|04	18	160	45	Hand Cannon	Purifying Force	500	-388.5
500125	Jamilah	RoleStory.JiamilaNormal01	Construct|05	18	160	45	Hand Cannon	Purifying Force	495	-446
500126	Aston	RoleStory.AsidunNormal01	Construct|06	18	160	45	Hand Cannon	Purifying Force	469.5	-264
500127	Sophia	RoleStory.R2SufeiyaNormal01	Construct|07	18	160	45	Hand Cannon	Purifying Force	489	-376
500128	Bianca - Rank 3	RoleStory.R3BiankaNormal01	Construct|08	18	160	45	Hand Cannon	Purifying Force	471.5	-319.5
500129	Aristocrat	RoleStory.GuizuNormal01	Construct|09	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500130	Wen	RoleStory.WenNormal01	Construct|10	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500131	Toby	RoleStory.TuobiNormal01	Construct|11	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500132	Teenage Sophia	RoleStory.R2SufeiyaNormal03	Construct|12	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500133	Sister A Shaded	RoleStory.XiunvNormal01	Construct|13	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500134	Sister B Shaded	RoleStory.XiunvNormal01	Construct|14	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500135	Sister C Shaded	RoleStory.XiunvNormal01	Construct|15	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500136	Scavenger	RoleStory.ShihuangzhenanNormal01	Construct|16	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500137	Man in Suit	RoleStory.XizhuangnanNormal01	Construct|17	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500138	Man in Suit 2	RoleStory.XizhuangnanNormal02	Construct|18	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500139	Fisher	RoleStory.YufunanNormal01	Construct|19	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500140	Fisher 2	RoleStory.YufunanNormal02	Construct|20	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500141	Toby Shaded	RoleStory.TuobiNormal02	Construct|21	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500142	Ronin IV	RoleStory.LangrenNormal01	Construct|22	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500143	Yazi	RoleStory.YaziNormal01	Construct|23	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500144	Chaofeng	RoleStory.ChaofengNormal01	Construct|24	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500145	Pulao	RoleStory.PulaoNormal01	Construct|25	18	160	45	Hand Cannon	Purifying Force	507.5	-478.5
500146	Murray	RoleStory.MoruiNormal01	Construct|26	18	160	45	Hand Cannon	Purifying Force	497.5	-248.3
500147	Kamui in Women's Dress	RoleStory.NvzhuangshenweiNormal01	Construct|27	18	160	45	Hand Cannon	Purifying Force	480	-248.5
500148	Chinese Merchant	RoleStory.ZhongguochuanshangrenNormal01	Construct|28	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500149	Chrome's Father	RoleStory.KuluomufuqinNormal01	Construct|29	18	160	45	Hand Cannon	Purifying Force	491.5	-331.5
500150	Qu	RoleStory.QuNormal01	Construct|30	18	160	45	Hand Cannon	Purifying Force	507.5	-392.5
500151	Lucia in Chinese Style	RoleStory.R4LuxiyaNormal01	Construct|31	18	160	45	Hand Cannon	Purifying Force	474	-405.3
500152	Battle Ready Lucia in Chinese Style	RoleStory.R4LuxiyaNormal02	Construct|32	18	160	45	Hand Cannon	Purifying Force	507.5	-392.5
500153	Teenage Chrome	RoleStory.R2KuluomuNormal02	Construct|33	18	160	45	Hand Cannon	Purifying Force	473	-280.5
500155	Chrome - Rank 2	RoleStory.R2KuluomuNormal01	Construct|34	18	160	45	Hand Cannon	Purifying Force	473	-280.5
500162	Little Robot	RoleStory.XiaojiqirenNormal01	Construct|35	18	160	45	Hand Cannon	Purifying Force	473	-280.5
