Id	MapId	Type	X	Y	BrokenType
83	1304	3	8	7	
84	1305	3	2	4	
85	1305	3	2	5	
86	1305	3	3	3	
87	1305	3	3	4	
88	1305	3	3	5	
89	1305	3	3	6	
90	1305	3	4	2	
91	1305	3	4	3	
92	1305	3	4	5	
93	1305	3	5	2	
94	1305	3	5	3	
95	1305	3	5	4	
96	1305	3	5	5	
97	1305	3	6	3	
98	1305	3	6	4	
99	1305	3	6	5	
100	1305	3	6	6	
101	1305	3	7	4	
102	1305	3	7	5	
103	1305	3	1	1	
104	1305	3	1	2	
105	1305	3	1	3	
106	1305	3	1	4	
107	1305	3	1	5	
108	1305	3	1	6	
109	1305	3	1	7	
110	1305	3	1	8	
111	1305	3	2	1	
112	1305	3	2	8	
113	1305	3	3	1	
114	1305	3	3	8	
115	1305	3	4	1	
116	1305	3	4	8	
117	1305	3	5	1	
118	1305	3	5	8	
119	1305	3	6	1	
120	1305	3	6	8	
121	1305	3	7	1	
122	1305	3	7	8	
123	1305	3	8	1	
124	1305	3	8	2	
125	1305	3	8	3	
126	1305	3	8	4	
127	1305	3	8	5	
128	1305	3	8	6	
129	1305	3	8	7	
130	1305	3	8	8	
131	1306	3	1	4	
132	1306	3	1	5	
133	1306	3	2	3	
134	1306	3	2	5	
135	1306	3	2	6	
136	1306	3	3	3	
137	1306	3	3	4	
138	1306	3	3	5	
139	1306	3	3	6	
140	1306	3	3	7	
141	1306	3	3	8	
142	1306	3	4	3	
143	1306	3	4	5	
144	1306	3	4	7	
145	1306	3	5	1	
146	1306	3	5	2	
147	1306	3	5	3	
148	1306	3	5	4	
149	1306	3	5	5	
150	1306	3	5	6	
151	1306	3	5	7	
152	1306	3	6	3	
153	1306	3	6	5	
154	1306	3	6	7	
155	1306	3	7	3	
156	1306	3	7	7	
157	1306	2	3	3	
158	1306	2	3	4	
159	1306	2	3	5	
160	1306	2	4	3	
161	1306	2	4	6	
162	1307	1	4	2	
163	1307	1	4	3	
164	1307	1	4	4	
165	1307	2	2	2	
166	1307	2	2	3	
167	1307	2	2	4	
168	1307	2	2	5	
169	1307	2	2	6	
170	1307	2	2	7	
171	1307	2	4	5	
172	1307	2	4	6	
173	1307	2	5	5	
174	1307	2	7	5	
175	1307	3	1	5	
176	1307	3	1	6	
177	1307	3	2	2	
178	1307	3	2	3	
179	1307	3	2	4	
180	1307	3	2	5	
181	1307	3	2	6	
182	1307	3	2	7	
183	1307	3	2	8	
184	1307	3	3	5	
185	1307	3	3	7	
186	1307	3	4	1	
187	1307	3	4	2	
188	1307	3	4	3	
189	1307	3	4	4	
190	1307	3	4	5	
191	1307	3	4	6	
192	1307	3	4	7	
193	1307	3	5	4	
194	1307	3	5	5	
195	1307	3	5	6	
196	1307	3	5	7	
197	1307	3	5	8	
198	1307	3	6	2	
199	1307	3	6	3	
200	1307	3	6	4	
201	1307	3	6	5	
202	1307	3	6	7	
203	1307	3	7	2	
204	1307	3	7	6	
205	1307	3	7	7	
206	1308	1	7	3	
207	1308	1	7	4	
208	1308	1	8	5	
209	1308	3	1	5	
210	1308	3	2	3	
211	1308	3	2	5	
212	1308	3	3	3	
213	1308	3	3	4	
214	1308	3	3	5	
215	1308	3	3	6	
216	1308	3	3	7	
217	1308	3	3	8	
218	1308	3	4	2	
219	1308	3	4	5	
220	1308	3	4	8	
221	1308	3	5	2	
222	1308	3	5	3	
223	1308	3	5	4	
224	1308	3	5	5	
225	1308	3	5	6	
226	1308	3	5	7	
227	1308	3	5	8	
228	1308	3	6	5	
229	1308	3	6	8	
230	1308	3	7	3	
231	1308	3	7	4	
232	1308	3	7	5	
233	1308	3	7	8	
234	1308	3	8	5	
235	1309	3	2	4	
236	1309	3	2	5	
237	1309	3	2	6	
238	1310	1	1	1	
239	1310	1	1	3	
240	1310	1	1	4	
241	1310	1	1	5	
242	1310	1	1	6	
243	1310	1	1	7	
244	1310	1	1	8	
245	1310	1	2	1	
246	1310	1	3	1	
247	1310	3	2	7	
248	1310	3	2	8	
249	1310	3	5	2	
250	1310	3	4	2	
251	1401	4	2	4	1
252	1401	4	6	4	1
253	1402	4	3	5	1
254	1402	4	5	2	1
255	1403	1	1	1	
256	1403	1	2	1	
257	1403	1	3	1	
258	1403	1	6	7	
259	1403	1	7	7	
260	1403	4	4	4	1
261	1403	4	6	4	1
262	1404	4	3	3	1
263	1404	4	5	2	1
264	1405	4	4	5	1
265	1405	4	4	7	1
266	1406	3	4	2	
267	1407	3	4	3	
268	1408	1	5	5	
269	1408	1	5	8	
270	1408	3	4	4	
271	1408	3	3	4	
272	1409	3	5	4	
273	1409	3	5	5	
274	1409	3	5	6	
275	1410	3	2	4	
276	1410	3	3	3	
277	1410	3	4	5	
278	1410	3	5	2	
279	1410	3	6	6	
280	1410	3	6	4	
281	1505	4	2	4	1
282	1506	4	2	3	1
283	1506	4	5	6	2
284	1506	4	6	2	2
285	1507	4	2	5	2
286	1507	4	5	3	2
287	1508	1	5	4	
288	1509	4	4	6	2
289	1509	1	2	3	
290	1509	1	2	6	
291	1509	1	3	2	
292	1509	1	3	3	
293	1509	1	3	6	
294	1509	1	3	7	
295	1509	1	6	2	
296	1509	1	6	3	
297	1509	1	6	6	
298	1509	1	6	7	
299	1509	1	7	3	
300	1509	1	7	6	
