Id	MapId	X	Y	Direction	Desc
156	1409	4	7	4	
157	1409	5	7	4	
158	1409	2	6	1	
159	1501	4	2	2	
160	1501	4	3	2	
161	1501	4	4	2	
162	1501	4	5	2	
163	1501	4	6	2	
164	1502	1	5	4	
165	1502	2	5	4	
166	1502	3	5	4	
167	1502	4	8	4	
168	1502	5	8	4	
169	1502	6	8	4	
170	1502	7	4	2	
171	1503	3	3	4	
172	1503	3	3	1	
173	1503	3	4	1	
174	1503	3	5	1	
175	1503	4	5	3	
176	1503	5	5	3	
177	1503	5	3	4	
178	1503	6	5	2	
179	1504	4	4	4	
180	1505	6	7	2	
181	1506	5	5	2	
182	1506	5	6	2	
183	1507	4	5	2	
184	1507	6	7	4	
185	1507	8	5	4	
186	1508	1	3	2	
187	1508	1	4	2	
188	1508	1	5	2	
189	1508	3	1	1	
190	1508	3	4	1	
191	1508	3	4	3	
192	1508	4	2	1	
193	1508	4	2	4	
194	1508	5	2	4	
195	1508	6	2	4	
196	1508	6	7	4	
197	1508	7	6	2	
198	1508	7	7	2	
199	1508	7	7	3	
200	1509	1	5	4	
201	1509	5	7	2	
202	1510	2	4	2	
203	1510	2	5	2	
204	1510	5	2	4	
205	1510	5	8	2	
206	1510	6	4	4	
207	1510	7	4	3	
208	2102	1	3	2	
209	2102	1	2	2	
210	2103	3	7	4	
211	2103	2	7	4	
212	2105	5	7	2	
213	2105	4	4	4	
214	2105	1	3	2	
215	2105	1	2	2	
216	2106	6	6	2	
217	2106	6	5	2	
218	2106	8	4	4	
219	2106	7	4	4	
220	2106	2	6	2	
221	2106	2	5	2	
222	2106	5	4	4	
223	2106	4	4	4	
224	2106	3	4	4	
225	2107	5	6	2	
226	2107	5	5	2	
227	2107	5	4	2	
228	2107	5	3	2	
229	2107	3	6	2	
230	2107	3	5	2	
231	2107	3	4	2	
232	2107	3	3	2	
233	2108	3	7	2	
234	2108	4	4	4	
235	2108	6	2	2	
236	2109	3	6	3	
237	2109	4	6	3	
238	2109	4	6	2	
239	2109	6	2	4	
240	2110	7	3	4	
241	2110	8	3	4	
242	2202	5	5	4	
243	2202	6	5	4	
244	2203	2	6	2	
245	2203	6	8	4	
246	2203	7	7	4	
247	2203	6	4	4	
248	2203	7	4	4	
249	2204	2	7	4	
250	2204	3	7	4	
251	2204	4	4	4	
252	2205	3	2	2	
253	2205	3	3	2	
254	2205	7	4	2	
255	2205	7	5	2	
256	2205	7	5	3	
257	2206	3	3	3	
258	2206	4	3	4	
259	2206	4	6	4	
260	2207	3	7	4	
261	2207	4	7	4	
262	2207	4	3	2	
263	2208	1	6	4	
264	2208	2	2	2	
265	2208	3	1	2	
266	2208	4	3	2	
267	2208	4	5	2	
268	2209	3	7	4	
269	2209	4	7	4	
270	2209	4	3	1	
271	2209	4	3	4	
272	2210	2	6	1	
273	2210	2	7	2	
274	2210	3	4	4	
275	2210	4	7	4	
276	2301	2	4	4	
277	2301	3	4	4	
278	2302	3	5	4	
279	2302	4	5	4	
280	2302	4	7	1	
281	2302	5	2	4	
282	2302	6	2	4	
283	2302	7	2	4	
284	2303	3	2	1	
285	2303	3	3	1	
286	2304	3	4	1	
287	2304	3	4	4	
288	2304	4	4	4	
289	2304	5	2	2	
290	2305	3	7	1	
291	2305	4	2	4	
292	2305	5	2	4	
293	2305	5	5	2	
294	2305	5	5	3	
295	2305	6	6	2	
296	2305	6	6	3	
297	2306	3	5	2	
298	2306	5	2	4	
299	2306	6	2	4	
300	2306	7	4	4	
301	2308	3	7	1	
302	2308	3	7	3	
303	2309	1	7	4	
304	2309	1	3	3	
305	2309	1	3	2	
306	2309	1	2	2	
307	2309	2	2	4	
308	2309	3	2	4	
309	2309	4	6	3	
310	2309	4	6	2	
311	2309	5	5	1	
312	2309	5	5	4	
313	2309	6	4	1	
314	2309	6	3	1	
315	2310	2	1	1	
316	2310	3	4	1	
317	2310	3	6	1	
318	2310	3	7	1	
319	2310	4	8	4	
320	2310	6	3	1	
321	2310	6	3	4	
322	2310	7	3	4	
323	2401	2	5	3	
324	2401	3	5	4	
325	2401	4	5	4	
326	2401	4	6	2	
327	2401	4	7	2	
328	2402	3	3	3	
329	2402	5	3	3	
330	2402	5	6	1	
331	2404	3	3	1	
332	2404	3	3	3	
333	2405	3	3	4	
334	2405	4	3	4	
335	2406	3	6	1	
336	2406	3	6	3	
337	2406	5	6	2	
338	2406	6	4	2	
339	2407	2	6	4	
340	2407	2	4	2	
341	2407	2	2	1	
342	2407	2	2	4	
343	2407	4	7	2	
344	2407	4	7	4	
345	2407	4	5	4	
346	2407	4	3	2	
347	2407	4	3	4	
348	2407	5	4	3	
349	2407	5	4	2	
350	2407	6	2	4	
351	2407	7	6	1	
352	2407	7	6	3	
353	2407	7	3	2	
354	2407	7	2	2	
355	2407	7	2	4	
356	2408	2	1	2	
357	2408	2	5	2	
358	2408	4	3	2	
359	2409	3	4	4	
360	2409	4	4	4	
361	2409	6	6	4	
362	2409	7	6	4	
363	2410	1	8	2	
364	2410	1	7	2	
365	2410	1	6	2	
366	2410	2	2	4	
367	2410	3	5	4	
368	2410	4	4	4	
369	2410	6	5	4	
370	2410	7	5	4	
371	2410	8	5	4	
372	2501	5	4	4	
373	2501	6	4	4	
374	2501	7	4	4	
375	2502	1	7	2	
376	2502	1	6	4	
377	2502	2	6	4	
378	2502	3	6	4	
379	2502	4	6	4	
380	2502	4	6	2	
381	2502	7	7	3	
382	2502	7	7	2	
383	2503	3	5	1	
384	2503	4	5	3	
385	2503	5	4	1	
386	2503	5	3	1	
387	2503	5	3	4	
388	2503	7	8	1	
389	2503	7	7	1	
390	2503	7	6	1	
391	2503	7	5	1	
392	2504	4	7	1	
393	2504	4	6	1	
394	2504	4	5	1	
395	2504	4	4	1	
396	2505	5	5	1	
397	2506	2	6	2	
398	2506	2	5	2	
399	2506	6	7	2	
400	2506	6	6	2	
401	2507	2	6	4	
402	2507	3	2	2	
403	2507	4	6	4	
404	2507	5	6	4	
405	2507	6	6	4	
406	2507	6	3	2	
407	2508	5	4	2	
408	2510	2	2	1	
409	2510	4	3	4	
410	2510	5	6	4	
411	2510	6	5	2	
412	2510	6	6	2	
413	2510	6	6	3	
414	3102	3	3	1	1 is the line on the left of the grid, 2 is the line on the right, 3 is the line on the top, and 4 is the line on the bottom
415	3102	3	3	4	
416	3102	5	5	2	
417	3102	5	5	4	
418	3103	8	6	1	
419	3103	8	6	4	
420	3104	3	6	1	
421	3104	3	7	1	
422	3105	6	1	1	
423	3105	6	2	1	
424	3105	6	3	1	
425	3106	3	3	4	
426	3106	4	3	4	
427	3107	6	4	1	
428	3108	2	4	1	
429	3108	2	4	4	
430	3201	3	4	4	
431	3201	4	4	4	
432	3201	5	4	4	
433	3201	6	4	4	
434	3201	3	6	4	
435	3201	4	6	4	
436	3201	5	6	4	
437	3201	6	6	4	
438	3202	4	6	4	
439	3202	5	6	4	
440	3203	5	6	1	
441	3203	5	7	1	
442	3204	3	3	1	
443	3204	3	3	4	
444	3204	5	4	1	
445	3205	5	3	1	
446	3205	5	4	1	
447	3205	1	6	4	
448	3205	2	6	4	
449	3205	2	8	4	
450	3205	3	8	4	
451	3205	4	8	4	
452	3206	3	4	1	
453	3206	3	5	1	
454	3206	4	5	3	
455	3206	5	4	4	
456	3206	6	7	4	
457	3206	6	7	2	
458	3206	6	6	4	
459	3206	7	6	4	
460	3207	2	3	1	
461	3207	2	3	4	
462	3207	2	5	1	
463	3208	4	2	1	
464	3208	4	2	4	
465	3208	3	4	3	
466	3208	4	4	3	
467	3208	5	4	3	
468	3208	5	4	1	
469	3208	6	4	3	
470	3208	6	8	4	
471	3208	7	8	4	
472	3302	2	6	4	
473	3302	3	6	4	
474	3302	4	6	4	
475	3302	4	7	2	
476	3303	5	4	1	
477	3303	5	5	1	
478	3304	3	1	1	
479	3304	8	2	1	
480	3304	8	3	1	
481	3305	2	7	4	
482	3305	3	7	4	
483	3306	4	4	1	
484	3306	4	4	3	
485	3306	2	5	4	
486	3306	4	5	4	
487	3306	5	5	4	
488	3307	2	5	4	
489	3307	3	5	4	
490	3307	4	7	2	
491	3307	4	8	2	
492	3307	5	5	3	
493	3307	6	5	3	
494	3307	7	7	3	
495	3307	8	5	1	
496	3307	8	6	1	
497	3308	3	5	1	
498	3308	3	5	4	
499	3308	4	5	4	
500	3402	4	4	2	
501	3402	4	4	3	
502	3403	2	3	4	
503	3404	6	4	1	
504	3404	6	4	3	
505	3406	4	3	1	
506	3406	4	3	4	
507	3406	4	4	1	
508	3406	5	3	4	
509	3406	4	8	4	
510	3406	5	8	4	
511	3408	6	3	1	
512	3408	6	3	4	
513	3408	7	3	4	
514	3408	4	6	4	
