Id	MapId	Type	SkillType	Desc	X	Y	Direction	ViewFront	ViewBack	ViewLeft	ViewRight	TriggerEnd	PatrolId[1]	PatrolId[2]	PatrolId[3]	PatrolId[4]	Prefab	SentryFront	SentryBack	SentryLeft	SentryRight	SentryStopRound
120711	1207	1	1		2	2	4					1					Mo1KuroMd1001DW					
120712	1207	1			4	5	4										Mo1KuroMd1001DW					
120721	1207	2			3	5	1	1									QR1GuanjiaMd010011DW	1	1			5
120811	1208	1			4	8	4										Mo1KuroMd1001DW					
120812	1208	1			4	6	4										Mo1KuroMd1001DW					
120813	1208	1			7	4	4					1					Mo1KuroMd1001DW					
120911	1209	1	1		2	1	4										Mo1KuroMd1001DW					
120912	1209	1			2	3	4										Mo1KuroMd1001DW					
120913	1209	1	1		5	5	4					1					Mo1KuroMd1001DW					
120914	1209	1			6	2	4										Mo1KuroMd1001DW					
121011	1210	1			1	2	4										Mo1KuroMd1001DW					
121012	1210	1			2	5	4										Mo1KuroMd1001DW					
121013	1210	1	1		3	6	4					1					Mo1KuroMd1001DW					
121014	1210	1			7	1	4										Mo1KuroMd1001DW					
121021	1210	2			7	7	4	1									QR1GuanjiaMd010011DW	1	1			5
130111	1301	1	2		5	3	4					1					Mo1KuroMd1001DW					
130211	1302	1			4	5	4										Mo1KuroMd1001DW					
130212	1302	1	2		5	3	4					1					Mo1KuroMd1001DW					
130311	1303	1	2		7	6	4					1					Mo1KuroMd1001DW					
130411	1304	1	2		5	7	4					1					Mo1KuroMd1001DW					
130412	1304	1			1	2	4										Mo1KuroMd1001DW					
130413	1304	1			6	1	4										Mo1KuroMd1001DW					
130511	1305	1			4	4	4					1					Mo1KuroMd1001DW					
130611	1306	1			4	2	4										Mo1KuroMd1001DW					
130612	1306	1			6	4	4										Mo1KuroMd1001DW					
130613	1306	1			7	5	4					1					Mo1KuroMd1001DW					
130711	1307	1	1		7	5	4					1					Mo1KuroMd1001DW					
130712	1307	1			2	1	4										Mo1KuroMd1001DW					
130811	1308	1	2		7	2	4					1					Mo1KuroMd1001DW					
130821	1308	2			1	6	2	1									QR1GuanjiaMd010011DW	1	1			5
130911	1309	1			3	6	4										Mo1KuroMd1001DW					
130912	1309	1	2		6	2	4					1					Mo1KuroMd1001DW					
131011	1310	1	2		2	3	4					1					Mo1KuroMd1001DW					
131012	1310	1			5	6	4										Mo1KuroMd1001DW					
140111	1401	1	3		3	4	4					1					Mo1KuroMd1001DW					
140112	1401	1			3	7	4										Mo1KuroMd1001DW					
140211	1402	1	3		5	5	4					1					Mo1KuroMd1001DW					
140212	1402	1			6	5	4										Mo1KuroMd1001DW					
140311	1403	1			2	2	4										Mo1KuroMd1001DW					
140312	1403	1	3		6	6	4					1					Mo1KuroMd1001DW					
140313	1403	1			5	7	4										Mo1KuroMd1001DW					
140411	1404	1			1	3	4										Mo1KuroMd1001DW					
140412	1404	1			2	8	4										Mo1KuroMd1001DW					
140413	1404	1			6	8	4										Mo1KuroMd1001DW					
140414	1404	1	3		7	4	4					1					Mo1KuroMd1001DW					
140511	1405	1	3		5	3	4										Mo1KuroMd1001DW					
140512	1405	1	3		7	6	4					1					Mo1KuroMd1001DW					
140611	1406	1	3		4	3	4					1					Mo1KuroMd1001DW					
140621	1406	2			5	4	4	1					1406211				QR0TaieMd010011DW					
140711	1407	1	3		4	6	4					1					Mo1KuroMd1001DW					
140721	1407	2			1	2	2	1					1407211				QR0TaieMd010011DW					
140811	1408	1			3	3	4										Mo1KuroMd1001DW					
140812	1408	1	3		4	6	4					1					Mo1KuroMd1001DW					
140911	1409	1	3		4	7	4					1					Mo1KuroMd1001DW					
140912	1409	1			5	8	4										Mo1KuroMd1001DW					
140921	1409	2			4	6	4	1									QR1GuanjiaMd010011DW	1	1			5
141011	1410	1	3		4	4	4					1					Mo1KuroMd1001DW					
141021	1410	2			1	2	3	1					1410211				QR0TaieMd010011DW					
141022	1410	2			7	1	1	1					1410221				QR0TaieMd010011DW					
141023	1410	2			2	7	2	1					1410231				QR0TaieMd010011DW					
141024	1410	2			8	7	4	1					1410241				QR0TaieMd010011DW					
150111	1501	1	4		5	2	4					1					Mo1KuroMd1001DW					
150211	1502	1	4		4	3	4					1					Mo1KuroMd1001DW					
150212	1502	1			8	6	4										Mo1KuroMd1001DW					
150311	1503	1			1	6	4										Mo1KuroMd1001DW					
150312	1503	1	4		3	4	4					1					Mo1KuroMd1001DW					
150411	1504	1			3	6	4										Mo1KuroMd1001DW					
150412	1504	1	4		6	4	4					1					Mo1KuroMd1001DW					
150511	1505	1	3		4	4	4					1					Mo1KuroMd1001DW					
150512	1505	1			5	3	4										Mo1KuroMd1001DW					
150611	1506	1	4		3	3	4					1					Mo1KuroMd1001DW					
150612	1506	1			4	2	4										Mo1KuroMd1001DW					
150613	1506	1			6	5	4										Mo1KuroMd1001DW					
150621	1506	2			2	6	2	1									QR1GuanjiaMd010011DW	1	1			5
150711	1507	1			5	4	4										Mo1KuroMd1001DW					
150712	1507	1	4		5	6	4					1					Mo1KuroMd1001DW					
150811	1508	1			4	4	4										Mo1KuroMd1001DW					
150812	1508	1	4		5	3	4					1					Mo1KuroMd1001DW					
150911	1509	1			1	1	4										Mo1KuroMd1001DW					
150912	1509	1			1	8	4										Mo1KuroMd1001DW					
150913	1509	1			8	1	4										Mo1KuroMd1001DW					
150914	1509	1			8	8	4										Mo1KuroMd1001DW					
150915	1509	1			5	5	4					1					Mo1KuroMd1001DW					
151011	1510	1			1	5	4										Mo1KuroMd1001DW					
151012	1510	1	4		4	6	4					1					Mo1KuroMd1001DW					
210111	2101	1			7	3	4					1					Mo1KuroMd1001DW					
210211	2102	1			7	4	1										Mo1KuroMd1001DW					
210212	2102	1			1	6	4					1					Mo1KuroMd1001DW					
210311	2103	1			4	6	4										Mo1KuroMd1001DW					
210312	2103	1			6	4	4					1					Mo1KuroMd1001DW					
210411	2104	1			2	7	4										Mo1KuroMd1001DW					
210412	2104	1			3	5	4										Mo1KuroMd1001DW					
210413	2104	1			4	5	4					1					Mo1KuroMd1001DW					
210511	2105	1			2	3	4										Mo1KuroMd1001DW					
210512	2105	1			5	4	4					1					Mo1KuroMd1001DW					
210611	2106	1			3	5	4										Mo1KuroMd1001DW					
210612	2106	1			4	2	4					1					Mo1KuroMd1001DW					
210613	2106	1			7	4	4										Mo1KuroMd1001DW					
210711	2107	1			7	2	4										Mo1KuroMd1001DW					
210712	2107	1			5	7	4					1					Mo1KuroMd1001DW					
210721	2107	2			3	5	4	1									QR1AolajiangMd010011DW					
210722	2107	2			5	6	4	1					2107221				QR0TaieMd010011DW					
210811	2108	1			3	4	4										Mo1KuroMd1001DW					
210812	2108	1			6	7	4					1					Mo1KuroMd1001DW					
210821	2108	2			4	6	3	1									QR1AolajiangMd010011DW					
210822	2108	2			6	5	4	1									QR1AolajiangMd010011DW					
210911	2109	1			1	2	4										Mo1KuroMd1001DW					
210912	2109	1			5	8	4					1					Mo1KuroMd1001DW					
210921	2109	2			2	1	1	1									QR1AolajiangMd010011DW					
210922	2109	2			2	5	2	1									QR1AolajiangMd010011DW					
211011	2110	1			4	2	4					1					Mo1KuroMd1001DW					
211012	2110	1			8	8	4										Mo1KuroMd1001DW					
211021	2110	2			4	4	2	1					2110211				QR0TaieMd010011DW					
211022	2110	2			5	5	1	1					2110221				QR0TaieMd010011DW					
220111	2201	1			7	4	4										Mo1KuroMd1001DW					
220112	2201	1			6	3	4					1					Mo1KuroMd1001DW					
220211	2202	1			3	2	4					1					Mo1KuroMd1001DW					
220212	2202	1			7	5	4										Mo1KuroMd1001DW					
220311	2203	1			1	1	4										Mo1KuroMd1001DW					
220312	2203	1			1	7	4					1					Mo1KuroMd1001DW					
220411	2204	1			2	3	4					1					Mo1KuroMd1001DW					
220412	2204	1			7	6	4										Mo1KuroMd1001DW					
220511	2205	1			3	3	4					1					Mo1KuroMd1001DW					
220512	2205	1			4	5	4										Mo1KuroMd1001DW					
220513	2205	1			6	2	4										Mo1KuroMd1001DW					
220611	2206	1			8	7	4					1					Mo1KuroMd1001DW					
220711	2207	1			1	3	4										Mo1KuroMd1001DW					
220712	2207	1			5	5	4					1					Mo1KuroMd1001DW					
220811	2208	1			2	6	4					1					Mo1KuroMd1001DW					
220812	2208	1			3	3	4										Mo1KuroMd1001DW					
220813	2208	1			5	4	4										Mo1KuroMd1001DW					
220911	2209	1			1	7	4										Mo1KuroMd1001DW					
220912	2209	1			4	4	4					1					Mo1KuroMd1001DW					
220913	2209	1			6	5	4										Mo1KuroMd1001DW					
220921	2209	2			2	6	1	1									QR1AolajiangMd010011DW					
220922	2209	2			7	2	1	1									QR1AolajiangMd010011DW					
221011	2210	1			6	3	4					1					Mo1KuroMd1001DW					
221012	2210	1			6	7	4										Mo1KuroMd1001DW					
221021	2210	2			2	7	4	1									QR1AolajiangMd010011DW					
230111	2301	1			4	4	4					1					Mo1KuroMd1001DW					
230112	2301	1			7	5	4										Mo1KuroMd1001DW					
230211	2302	1			2	3	4										Mo1KuroMd1001DW					
230212	2302	1			4	5	4					1					Mo1KuroMd1001DW					
230213	2302	1			6	2	4										Mo1KuroMd1001DW					
230311	2303	1			1	5	4										Mo1KuroMd1001DW					
230312	2303	1			3	3	4					1					Mo1KuroMd1001DW					
230313	2303	1			6	7	4										Mo1KuroMd1001DW					
230411	2304	1			6	4	4					1					Mo1KuroMd1001DW					
230412	2304	1			8	7	1										Mo1KuroMd1001DW					
230511	2305	1			1	3	4										Mo1KuroMd1001DW					
230512	2305	1			3	2	4					1					Mo1KuroMd1001DW					
230513	2305	1			5	7	4										Mo1KuroMd1001DW					
230611	2306	1			2	4	4										Mo1KuroMd1001DW					
230612	2306	1			5	6	4					1					Mo1KuroMd1001DW					
230613	2306	1			6	2	4										Mo1KuroMd1001DW					
230614	2306	1			7	3	4										Mo1KuroMd1001DW					
230711	2307	1			2	6	4										Mo1KuroMd1001DW					
230712	2307	1			4	3	4					1					Mo1KuroMd1001DW					
230713	2307	1			6	6	4										Mo1KuroMd1001DW					
230714	2307	1			7	3	4										Mo1KuroMd1001DW					
230811	2308	1			5	3	4					1					Mo1KuroMd1001DW					
230812	2308	1			5	7	4										Mo1KuroMd1001DW					
230813	2308	1			7	5	4										Mo1KuroMd1001DW					
230911	2309	1			3	2	4										Mo1KuroMd1001DW					
230912	2309	1			3	7	4					1					Mo1KuroMd1001DW					
231011	2310	1			3	2	4					1					Mo1KuroMd1001DW					
231012	2310	1			6	5	4										Mo1KuroMd1001DW					
231013	2310	1			8	5	4										Mo1KuroMd1001DW					
240111	2401	1			3	3	4										Mo1KuroMd1001DW					
240112	2401	1			5	5	4					1					Mo1KuroMd1001DW					
240131	2401	3			3	5	4										QR1SailikaMd010011DW					
240132	2401	3			7	4	4										QR1SailikaMd010011DW					
240211	2402	1			1	3	4										Mo1KuroMd1001DW					
240212	2402	1			4	3	4					1					Mo1KuroMd1001DW					
240213	2402	1			4	8	4										Mo1KuroMd1001DW					
240231	2402	3			3	3	4										QR1SailikaMd010011DW					
240311	2403	1			5	4	4					1					Mo1KuroMd1001DW					
240321	2403	2			4	5	4	1									QR1AolajiangMd010011DW					
240331	2403	3			6	4	4										QR1SailikaMd010011DW					
240411	2404	1			1	5	4										Mo1KuroMd1001DW					
240412	2404	1			2	6	4					1					Mo1KuroMd1001DW					
240413	2404	1			7	5	1										Mo1KuroMd1001DW					
240414	2404	1			7	3	1										Mo1KuroMd1001DW					
240431	2404	3			4	1	1										QR1SailikaMd010011DW					
240511	2405	1			4	5	4					1					Mo1KuroMd1001DW					
240512	2405	1			5	6	4										Mo1KuroMd1001DW					
240531	2405	3			2	6	4										QR1SailikaMd010011DW					
240611	2406	1			4	1	4					1					Mo1KuroMd1001DW					
240612	2406	1			4	8	4										Mo1KuroMd1001DW					
240631	2406	3			3	4	4										QR1SailikaMd010011DW					
240632	2406	3			5	3	4										QR1SailikaMd010011DW					
240711	2407	1			3	5	4					1					Mo1KuroMd1001DW					
240712	2407	1			7	3	4										Mo1KuroMd1001DW					
240811	2408	1			1	3	4										Mo1KuroMd1001DW					
240812	2408	1			2	2	4										Mo1KuroMd1001DW					
240813	2408	1			4	6	4										Mo1KuroMd1001DW					
240814	2408	1			7	4	4					1					Mo1KuroMd1001DW					
240911	2409	1			3	4	4										Mo1KuroMd1001DW					
240912	2409	1			3	5	4					1					Mo1KuroMd1001DW					
240931	2409	3			2	3	4										QR1SailikaMd010011DW					
240932	2409	3			4	8	4										QR1SailikaMd010011DW					
241011	2410	1			2	1	4										Mo1KuroMd1001DW					
241012	2410	1			4	7	4					1					Mo1KuroMd1001DW					
241013	2410	1			6	4	4										Mo1KuroMd1001DW					
241021	2410	2			5	4	4	1					2410211				QR0TaieMd010011DW					
241031	2410	3			1	3	4										QR1SailikaMd010011DW					
241032	2410	3			1	5	4										QR1SailikaMd010011DW					
250111	2501	1			2	2	3										Mo1KuroMd1001DW					
250112	2501	1			2	6	4					1					Mo1KuroMd1001DW					
250121	2501	2			6	7	4	1									QR1GuanjiaMd010011DW	1	1			5
250211	2502	1			2	4	4					1					Mo1KuroMd1001DW					
250212	2502	1			4	2	4										Mo1KuroMd1001DW					
250221	2502	2			5	7	1	1									QR1GuanjiaMd010011DW	1	1			5
250311	2503	1			1	3	4										Mo1KuroMd1001DW					
250312	2503	1			3	4	4										Mo1KuroMd1001DW					
250313	2503	1			7	6	4					1					Mo1KuroMd1001DW					
250321	2503	2			8	4	4	1									QR1AolajiangMd010011DW					
250322	2503	2			7	3	1	1									QR1GuanjiaMd010011DW	1	1			5
250331	2503	3			2	8	4										QR1SailikaMd010011DW					
250411	2504	1			4	2	4					1					Mo1KuroMd1001DW					
250421	2504	2			7	5	1	1									QR1GuanjiaMd010011DW	1	1			5
250511	2505	1			3	1	3					1					Mo1KuroMd1001DW					
250512	2505	1			6	3	4										Mo1KuroMd1001DW					
250521	2505	2			2	2	2	1									QR1GuanjiaMd010011DW	1	1			5
250611	2506	1			1	3	4										Mo1KuroMd1001DW					
250612	2506	1			6	8	4					1					Mo1KuroMd1001DW					
250613	2506	1			8	2	1										Mo1KuroMd1001DW					
250621	2506	2			6	1	3	1									QR1AolajiangMd010011DW					
250622	2506	2			3	5	2	1									QR1GuanjiaMd010011DW	1	1			5
250711	2507	1			3	8	4										Mo1KuroMd1001DW					
250712	2507	1			4	6	4					1					Mo1KuroMd1001DW					
250721	2507	2			2	5	4	1									QR1GuanjiaMd010011DW	1	1			5
250722	2507	2			8	1	1	1									QR1GuanjiaMd010011DW	1	1			5
250811	2508	1			2	7	4					1					Mo1KuroMd1001DW					
250812	2508	1			3	1	4										Mo1KuroMd1001DW					
250911	2509	1			2	2	4					1					Mo1KuroMd1001DW					
250912	2509	1			2	7	4										Mo1KuroMd1001DW					
250913	2509	1			6	2	4										Mo1KuroMd1001DW					
250914	2509	1			6	7	4										Mo1KuroMd1001DW					
251011	2510	1			2	3	4					1					Mo1KuroMd1001DW					
251012	2510	1			2	8	4										Mo1KuroMd1001DW					
251021	2510	2			2	5	3	1									QR1GuanjiaMd010011DW	1	1			5
251031	2510	3			4	6	4										QR1SailikaMd010011DW					
310111	3101	1			5	7	4					1					Mo1KuroMd1001DW					
310211	3102	1			3	4	4										Mo1KuroMd1001DW					
310212	3102	1			7	7	4					1					Mo1KuroMd1001DW					
310311	3103	1			2	4	4					1					Mo1KuroMd1001DW					
310312	3103	1			4	6	4										Mo1KuroMd1001DW					
310411	3104	1			3	5	4										Mo1KuroMd1001DW					
310412	3104	1			5	3	4					1					Mo1KuroMd1001DW					
310413	3104	1			6	4	4										Mo1KuroMd1001DW					
310511	3105	1			3	5	4					1					Mo1KuroMd1001DW					
310512	3105	1			6	8	4										Mo1KuroMd1001DW					
310611	3106	1			4	5	4					1					Mo1KuroMd1001DW					
310612	3106	1			5	6	4										Mo1KuroMd1001DW					
310711	3107	1			3	1	4										Mo1KuroMd1001DW					
310712	3107	1			4	7	4					1					Mo1KuroMd1001DW					
310811	3108	1			4	8	4										Mo1KuroMd1001DW					
310812	3108	1			6	6	4					1					Mo1KuroMd1001DW					
320111	3201	1			7	7	4					1					Mo1KuroMd1001DW					
320121	3201	2			4	3	2	1									QR1AolajiangMd010011DW					
320122	3201	2			5	5	1	1									QR1AolajiangMd010011DW					
320211	3202	1			3	7	4					1					Mo1KuroMd1001DW					
320221	3202	2			3	3	2	1									QR1AolajiangMd010011DW					
320222	3202	2			4	5	2	1									QR1AolajiangMd010011DW					
320311	3203	1			5	5	4					1					Mo1KuroMd1001DW					
320321	3203	2			4	4	2	1									QR1AolajiangMd010011DW					
320322	3203	2			5	7	4	1									QR1AolajiangMd010011DW					
320411	3204	1			6	7	4					1					Mo1KuroMd1001DW					
320421	3204	2			3	5	2	1					3204211				QR0TaieMd010011DW					
320511	3205	1			2	7	4					1					Mo1KuroMd1001DW					
320521	3205	2			4	5	1	1					3205211				QR0TaieMd010011DW					
320522	3205	2			8	8	1	1					3205221				QR0TaieMd010011DW					
320611	3206	1			6	1	4					1					Mo1KuroMd1001DW					
320621	3206	2			4	6	2	1					3206211				QR0TaieMd010011DW					
320622	3206	2			6	4	1	1					3206221	3206222			QR0TaieMd010011DW					
320711	3207	1			4	7	4					1					Mo1KuroMd1001DW					
320721	3207	2			3	5	2	1					3207211	3207212			QR0TaieMd010011DW					
320722	3207	2			7	4	4	1									QR1AolajiangMd010011DW					
320811	3208	1			2	2	4										Mo1KuroMd1001DW					
320812	3208	1			8	3	4					1					Mo1KuroMd1001DW					
320821	3208	2			2	6	2	1					3208211				QR0TaieMd010011DW					
330111	3301	1			4	2	4					1					Mo1KuroMd1001DW					
330211	3302	1			3	6	4										Mo1KuroMd1001DW					
330212	3302	1			7	5	4					1					Mo1KuroMd1001DW					
330311	3303	1			3	5	4										Mo1KuroMd1001DW					
330312	3303	1			7	4	4					1					Mo1KuroMd1001DW					
330411	3304	1			2	3	4					1					Mo1KuroMd1001DW					
330412	3304	1			7	3	4										Mo1KuroMd1001DW					
330421	3304	2			1	2	2	1									QR1AolajiangMd010011DW					
330422	3304	2			1	6	2	1									QR1AolajiangMd010011DW					
330423	3304	2			8	6	1	1									QR1AolajiangMd010011DW					
330511	3305	1			1	6	4										Mo1KuroMd1001DW					
330512	3305	1			7	2	4					1					Mo1KuroMd1001DW					
330521	3305	2			8	5	1	1					3305211				QR0TaieMd010011DW					
330611	3306	1			5	1	4					1					Mo1KuroMd1001DW					
330612	3306	1			7	8	4										Mo1KuroMd1001DW					
330621	3306	2			1	5	2	1					3306211				QR0TaieMd010011DW					
330622	3306	2			6	2	4	1									QR1AolajiangMd010011DW					
330711	3307	1			2	5	4										Mo1KuroMd1001DW					
330712	3307	1			6	1	4										Mo1KuroMd1001DW					
330713	3307	1			8	3	4					1					Mo1KuroMd1001DW					
330721	3307	2			8	8	1	1									QR1AolajiangMd010011DW					
330811	3308	1			3	2	4										Mo1KuroMd1001DW					
330812	3308	1			4	7	4										Mo1KuroMd1001DW					
330813	3308	1			2	1	4					1					Mo1KuroMd1001DW					
340111	3401	1			7	2	4					1					Mo1KuroMd1001DW					
340211	3402	1			3	2	4										Mo1KuroMd1001DW					
340212	3402	1			3	7	4					1					Mo1KuroMd1001DW					
340311	3403	1			2	3	4					1					Mo1KuroMd1001DW					
340312	3403	1			6	2	4										Mo1KuroMd1001DW					
340411	3404	1			3	5	4					1					Mo1KuroMd1001DW					
340412	3404	1			7	2	4										Mo1KuroMd1001DW					
340421	3404	2			8	3	3	1									QR1AolajiangMd010011DW					
340511	3405	1			3	7	4										Mo1KuroMd1001DW					
340512	3405	1			6	3	4					1					Mo1KuroMd1001DW					
340521	3405	2			5	5	3	1									QR1AolajiangMd010011DW					
340611	3406	1			2	8	4					1					Mo1KuroMd1001DW					
340621	3406	2			4	5	1	1					3406211	3406212			QR0TaieMd010011DW					
340622	3406	2			4	4	2	1					3406221				QR0TaieMd010011DW					
340711	3407	1			2	4	4					1					Mo1KuroMd1001DW					
340712	3407	1			4	6	4										Mo1KuroMd1001DW					
340811	3408	1			2	6	4										Mo1KuroMd1001DW					
340812	3408	1			5	2	4					1					Mo1KuroMd1001DW					
340821	3408	2			2	1	3	1					3408211				QR0TaieMd010011DW					
340822	3408	2			1	7	2	1					3408221				QR0TaieMd010011DW					
