Id	StageId	Star	Reward	StepCount	MonsterCount	MonsterBossCount	ConditionDesc
117	1409	1	25	15			Clear within 15 turns
118	1410	1	25		1	4	Eliminate all enemies
119	1410	1	25	25			Clear within 25 turns
120	1410	1	25	15			Clear within 15 turns
121	1501	1	25	10			Clear within 10 turns
122	1501	1	25	8			Clear within 8 turns
123	1501	1	25	4			Clear within 4 turns
124	1502	1	25		2		Eliminate all Kuroro
125	1502	1	25	9			Clear within 9 turns
126	1502	1	25	6			Clear within 6 turns
127	1503	1	25		2		Eliminate all Kuroro
128	1503	1	25	10			Clear within 10 turns
129	1503	1	25	6			Clear within 6 turns
130	1504	1	25	10			Clear within 10 turns
131	1504	1	25		2		Eliminate all Kuroro
132	1504	1	25	6			Clear within 6 turns
133	1505	1	25	6			Clear within 6 turns
134	1505	1	25		2		Eliminate all Kuroro
135	1505	1	25	3			Clear within 3 turns
136	1506	1	25	15			Clear within 15 turns
137	1506	1	25		3		Eliminate all Kuroro
138	1506	1	25	8			Clear within 8 turns
139	1507	1	25	11			Clear within 11 turns
140	1507	1	25		2		Eliminate all Kuroro
141	1507	1	25	5			Clear within 5 turns
142	1508	1	25	20			Clear within 20 turns
143	1508	1	25		2		Eliminate all Kuroro
144	1508	1	25	12			Clear within 12 turns
145	1509	1	25	16			Clear within 16 turns
146	1509	1	25		5		Eliminate all Kuroro
147	1509	1	25	12			Clear within 12 turns
148	1510	1	25		2		Eliminate all Kuroro
149	1510	1	25	20			Clear within 20 turns
150	1510	1	25	15			Clear within 15 turns
151	2101	1	25	10			Clear within 10 turns
152	2101	1	25	7			Clear within 7 turns
153	2101	1	25	4			Clear within 4 turns
154	2102	1	25	10			Clear within 10 turns
155	2102	1	25		2		Eliminate all Kuroro
156	2102	1	25	8			Clear within 8 turns
157	2103	1	25	10			Clear within 10 turns
158	2103	1	25		2		Eliminate all Kuroro
159	2103	1	25	5			Clear within 5 turns
160	2104	1	25	10			Clear within 10 turns
161	2104	1	25		3		Eliminate all Kuroro
162	2104	1	25	6			Clear within 6 turns
163	2105	1	25	12			Clear within 12 turns
164	2105	1	25		2		Eliminate all Kuroro
165	2105	1	25	7			Clear within 7 turns
166	2106	1	25	15			Clear within 15 turns
167	2106	1	25		3		Eliminate all Kuroro
168	2106	1	25	9			Clear within 9 turns
169	2107	1	25	10			Clear within 10 turns
170	2107	1	25		2		Eliminate all Kuroro
171	2107	1	25	5			Clear within 5 turns
172	2108	1	25	15			Clear within 15 turns
173	2108	1	25		2		Eliminate all Kuroro
174	2108	1	25	10			Clear within 10 turns
175	2109	1	25		2	2	Eliminate all enemies
176	2109	1	25		2		Eliminate all Kuroro
177	2109	1	25	11			Clear within 11 turns
178	2110	1	25		2	2	Eliminate all enemies
179	2110	1	25		2		Eliminate all Kuroro
180	2110	1	25	11			Clear within 11 turns
181	2201	1	25	10			Clear within 10 turns
182	2201	1	25		2		Eliminate all Kuroro
183	2201	1	25	5			Clear within 5 turns
184	2202	1	25	10			Clear within 10 turns
185	2202	1	25		2		Eliminate all Kuroro
186	2202	1	25	6			Clear within 6 turns
187	2203	1	25	15			Clear within 15 turns
188	2203	1	25		2		Eliminate all Kuroro
189	2203	1	25	9			Clear within 9 turns
190	2204	1	25	10			Clear within 10 turns
191	2204	1	25		2		Eliminate all Kuroro
192	2204	1	25	7			Clear within 7 turns
193	2205	1	25	15			Clear within 15 turns
194	2205	1	25		3		Eliminate all Kuroro
195	2205	1	25	11			Clear within 11 turns
196	2206	1	25	20			Clear within 20 turns
197	2206	1	25	18			Clear within 18 turns
198	2206	1	25	15			Clear within 15 turns
199	2207	1	25	20			Clear within 20 turns
200	2207	1	25		2		Eliminate all Kuroro
201	2207	1	25	10			Clear within 10 turns
202	2208	1	25		2	1	Eliminate all enemies while clearing the stage
203	2208	1	25		2		Eliminate all Kuroro
204	2208	1	25	18			Clear within 18 turns
205	2209	1	25	15			Clear within 15 turns
206	2209	1	25		3		Eliminate all Kuroro
207	2209	1	25	9			Clear within 9 turns
208	2210	1	25	25			Clear within 25 turns
209	2210	1	25		3		Eliminate all Kuroro
210	2210	1	25	17			Clear within 17 turns
211	2301	1	25	12			Clear within 12 turns
212	2301	1	25		2		Eliminate all Kuroro
213	2301	1	25	7			Clear within 7 turns
214	2302	1	25	12			Clear within 12 turns
215	2302	1	25		3		Eliminate all Kuroro
216	2302	1	25	7			Clear within 7 turns
217	2303	1	25	20			Clear within 20 turns
218	2303	1	25		3		Eliminate all Kuroro
219	2303	1	25	12			Clear within 12 turns
220	2304	1	25	20			Clear within 20 turns
221	2304	1	25		2		Eliminate all Kuroro
222	2304	1	25	12			Clear within 12 turns
223	2305	1	25	20			Clear within 20 turns
224	2305	1	25		3		Eliminate all Kuroro
225	2305	1	25	13			Clear within 13 turns
226	2306	1	25	20			Clear within 20 turns
227	2306	1	25		4		Eliminate all Kuroro
228	2306	1	25	11			Clear within 11 turns
229	2307	1	25	20			Clear within 20 turns
230	2307	1	25		4		Eliminate all Kuroro
231	2307	1	25	11			Clear within 11 turns
232	2308	1	25	15			Clear within 15 turns
233	2308	1	25		3		Eliminate all Kuroro
234	2308	1	25	9			Clear within 9 turns
235	2309	1	25	15			Clear within 15 turns
236	2309	1	25		2		Eliminate all Kuroro
237	2309	1	25	8			Clear within 8 turns
238	2310	1	25	25			Clear within 25 turns
239	2310	1	25		3		Eliminate all Kuroro
240	2310	1	25	18			Clear within 18 turns
241	2401	1	25	10			Clear within 10 turns
242	2401	1	25		2		Eliminate all Kuroro
243	2401	1	25	7			Clear within 7 turns
244	2402	1	25	15			Clear within 15 turns
245	2402	1	25		3		Eliminate all Kuroro
246	2402	1	25	9			Clear within 9 turns
247	2403	1	25	15			Clear within 15 turns
248	2403	1	25	12			Clear within 12 turns
249	2403	1	25	9			Clear within 9 turns
250	2404	1	25	20			Clear within 20 turns
251	2404	1	25		4		Eliminate all Kuroro
252	2404	1	25	13			Clear within 13 turns
253	2405	1	25	20			Clear within 20 turns
254	2405	1	25		2		Eliminate all Kuroro
255	2405	1	25	9			Clear within 9 turns
256	2406	1	25	18			Clear within 18 turns
257	2406	1	25		2		Eliminate all Kuroro
258	2406	1	25	12			Clear within 12 turns
259	2407	1	25	15			Clear within 15 turns
260	2407	1	25		2		Eliminate all Kuroro
261	2407	1	25	9			Clear within 9 turns
262	2408	1	25	15			Clear within 15 turns
263	2408	1	25		4		Eliminate all Kuroro
264	2408	1	25	10			Clear within 10 turns
265	2409	1	25	20			Clear within 20 turns
266	2409	1	25		2		Eliminate all Kuroro
267	2409	1	25	16			Clear within 16 turns
268	2410	1	25	25			Clear within 25 turns
269	2410	1	25		3		Eliminate all Kuroro
270	2410	1	25	13			Clear within 13 turns
271	2501	1	25	10			Clear within 10 turns
272	2501	1	25		2		Eliminate all Kuroro
273	2501	1	25	6			Clear within 6 turns
274	2502	1	25	18			Clear within 18 turns
275	2502	1	25		2		Eliminate all Kuroro
276	2502	1	25	13			Clear within 13 turns
277	2503	1	25	20			Clear within 20 turns
278	2503	1	25		3		Eliminate all Kuroro
279	2503	1	25	15			Clear within 15 turns
280	2504	1	25	10			Clear within 10 turns
281	2504	1	25		1	1	Eliminate all enemies
282	2504	1	25	7			Clear within 7 turns
283	2505	1	25	15			Clear within 15 turns
284	2505	1	25		2	1	Eliminate all enemies
285	2505	1	25	9			Clear within 9 turns
286	2506	1	25	20			Clear within 20 turns
287	2506	1	25		3	2	Eliminate all enemies
288	2506	1	25	15			Clear within 15 turns
289	2507	1	25	20			Clear within 20 turns
290	2507	1	25		2	2	Eliminate all enemies
291	2507	1	25	16			Clear within 16 turns
292	2508	1	25	15			Clear within 15 turns
293	2508	1	25		2		Eliminate all Kuroro
294	2508	1	25	8			Clear within 8 turns
295	2509	1	25	15			Clear within 15 turns
296	2509	1	25		4		Eliminate all Kuroro
297	2509	1	25	9			Clear within 9 turns
298	2510	1	25	20			Clear within 20 turns
299	2510	1	25		2		Eliminate all Kuroro
300	2510	1	25	15			Clear within 15 turns
301	3101	1	25	10			Clear within 10 turns
302	3101	1	25	8			Clear within 8 turns
303	3101	1	25	6			Clear within 6 turns
304	3102	1	25	12			Clear within 12 turns
305	3102	1	25	8			Clear within 8 turns
306	3102	1	25	5			Clear within 5 turns
307	3103	1	25	15			Clear within 15 turns
308	3103	1	25		2		Eliminate all Kuroro
309	3103	1	25	7			Clear within 7 turns
310	3104	1	25	12			Clear within 12 turns
311	3104	1	25	8			Clear within 8 turns
312	3104	1	25	5			Clear within 5 turns
313	3105	1	25	12			Clear within 12 turns
314	3105	1	25		2		Eliminate all Kuroro
315	3105	1	25	5			Clear within 5 turns
316	3106	1	25	15			Clear within 15 turns
317	3106	1	25		2		Eliminate all Kuroro
318	3106	1	25	6			Clear within 6 turns
319	3107	1	25	12			Clear within 12 turns
320	3107	1	25		2		Eliminate all Kuroro
321	3107	1	25	8			Clear within 8 turns
322	3108	1	25	15			Clear within 15 turns
323	3108	1	25		2		Eliminate all Kuroro
324	3108	1	25	8			Clear within 8 turns
325	3201	1	25	12			Clear within 12 turns
326	3201	1	25	8			Clear within 8 turns
327	3201	1	25	6			Clear within 6 turns
328	3202	1	25	12			Clear within 12 turns
329	3202	1	25		1	2	Eliminate all enemies
330	3202	1	25	9			Clear within 9 turns
331	3203	1	25	15			Clear within 15 turns
332	3203	1	25	12			Clear within 12 turns
333	3203	1	25	8			Clear within 8 turns
334	3204	1	25	12			Clear within 12 turns
335	3204	1	25	8			Clear within 8 turns
336	3204	1	25	5			Clear within 5 turns
337	3205	1	25	12			Clear within 12 turns
338	3205	1	25	9			Clear within 9 turns
339	3205	1	25	7			Clear within 7 turns
340	3206	1	25	15			Clear within 15 turns
341	3206	1	25	10			Clear within 10 turns
342	3206	1	25	8			Clear within 8 turns
343	3207	1	25	12			Clear within 12 turns
344	3207	1	25		1	2	Eliminate all enemies
345	3207	1	25	6			Clear within 6 turns
346	3208	1	25	15			Clear within 15 turns
347	3208	1	25		2		Eliminate all Kuroro
348	3208	1	25	8			Clear within 8 turns
349	3301	1	25	12			Clear within 12 turns
350	3301	1	25	8			Clear within 8 turns
351	3301	1	25	5			Clear within 5 turns
352	3302	1	25	10			Clear within 10 turns
353	3302	1	25		2		Eliminate all Kuroro
354	3302	1	25	6			Clear within 6 turns
355	3303	1	25	15			Clear within 15 turns
356	3303	1	25		2		Eliminate all Kuroro
357	3303	1	25	8			Clear within 8 turns
358	3304	1	25	12			Clear within 12 turns
359	3304	1	25		2		Eliminate all Kuroro
360	3304	1	25	8			Clear within 8 turns
361	3305	1	25	12			Clear within 12 turns
362	3305	1	25		2	1	Eliminate all enemies
363	3305	1	25	8			Clear within 8 turns
364	3306	1	25	15			Clear within 15 turns
365	3306	1	25		2		Eliminate all Kuroro
366	3306	1	25	10			Clear within 10 turns
367	3307	1	25	15			Clear within 15 turns
368	3307	1	25		3		Eliminate all Kuroro
369	3307	1	25	9			Clear within 9 turns
370	3308	1	25	20			Clear within 20 turns
371	3308	1	25		3		Eliminate all Kuroro
372	3308	1	25	11			Clear within 11 turns
373	3401	1	25	12			Clear within 12 turns
374	3401	1	25	8			Clear within 8 turns
375	3401	1	25	5			Clear within 5 turns
376	3402	1	25	15			Clear within 15 turns
377	3402	1	25		2		Eliminate all Kuroro
378	3402	1	25	8			Clear within 8 turns
379	3403	1	25	15			Clear within 15 turns
380	3403	1	25		2		Eliminate all Kuroro
381	3403	1	25	10			Clear within 10 turns
382	3404	1	25	15			Clear within 15 turns
383	3404	1	25		2		Eliminate all Kuroro
384	3404	1	25	9			Clear within 9 turns
385	3405	1	25	15			Clear within 15 turns
386	3405	1	25		2		Eliminate all Kuroro
387	3405	1	25	7			Clear within 7 turns
388	3406	1	25	20			Clear within 20 turns
389	3406	1	25	15			Clear within 15 turns
390	3406	1	25	10			Clear within 10 turns
391	3407	1	25	15			Clear within 15 turns
392	3407	1	25		2		Eliminate all Kuroro
393	3407	1	25	8			Clear within 8 turns
394	3408	1	25	15			Clear within 15 turns
395	3408	1	25		2		Eliminate all Kuroro
396	3408	1	25	12			Clear within 12 turns
