StageId	Name	Description	Icon	StoryIcon	BgmId	AmbientSound	LoadingType	RewardTipId	EventId	NormalEventIdOnPassed	UnlockEventId[1]	UnlockEventId[2]	NormalEventId[1]	NormalEventId[2]	PreEventId[1]	PreEventId[2]	PreEventId[3]	PreEventId[4]	ClearEventId[1]	ClearEventId[2]	ClearEventId[3]	DisappearCondition	OrderId	RecommandLevel	IsMultiplayer	HaveAssist	StandardUseTimeSec	RequireLevel	RequireActionPoint	FirstRequireActionPoint	FinishRequireActionPoint	CharacterLimitType	CareerSuggestType	AISuggestType	LimitBuffId	PassTimeLimit	PreStageId[1]	PreStageId[2]	PreStageId[3]	PreStageId[4]	FlopRewardId	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	StarRewardId[2]	StarRewardId[3]	StarRewardId	TeamExp	FirstTeamExp	FinishTeamExp	CardExp	FirstCardExp	FinishCardExp	MaxChallengeNums	BuyChallengeCost	BuyChallengeCount	KeepPlayingStory	BeginStoryId	EndStoryId	OnlinePlayerLeast	OnlinePlayerLimit	StarDesc[1]	StarDesc[2]	StarDesc[3]	DescEventId[1]	DescEventId[2]	DescEventId[3]	SettleLoseTipId	SuggestedConditionId[1]	SuggestedConditionId[2]	SuggestedConditionId[3]	ForceConditionId[1]	ForceConditionId[2]	ForceConditionId[3]	HaveFirstPass	FirstGotoSkipId	FunctionLeftBtn	FunctionRightBtn	RobotId[1]	RobotId[2]	RobotId[3]	UrgentEventId[1]	UrgentEventId[2]	UrgentEventId[3]	RebootId	AutoFightId	StageType	StageGridStyle	FightControlId	DisableJoystick	NeedJobType[1]	NeedJobType[2]	NeedJobType[3]	MultiChallengeId	Restartable	ResetHpCount[1]	ResetHpCount[2]	ResetHpCount[3]	StoryUiStyle	OnlineMsgId	ForceAllyEffect	DisableDeadEffect	HideAction	Ability
10020304	End of Torture	The rescued Corrupted seemed very anxious. Gray Raven decided to help him evacuate the area first.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0204.png		112	303				1													12	20		1		5		10		3			1	300	10020303						10020112		10020112					10			20					1	ZX00212BA	ZX00212EA		3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Rectangle	24		1	2	3											
10030101	Seeds	The true identity of the Princess was still unknown. After learning about "Operation Portal" from Kamui of Strike Hawk, Gray Raven headed toward the Estate.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0301.png		101	303				1													1	30		1		20		10		3			1	300	11010106						10030101		10030101					10			30					1	ZX00301BA			3	Have all members survive.	Die less than once	Die less than twice											1		2	1	1001						12			Rectangle			1	2	3											
10030102	Terminal	Hassen gave you a priority mission. Before joining Strike Hawk, you need to retrieve the Constructs in the subway station with Gray Raven.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													2	30		1		20		10		3			1	300	10030101						10030102		10030102					10			30					1	ZX00302BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	26		1	2	3											
10030103	Driven by Instinct	Tifa was also one of the "new variants". How the Corrupted suddenly gained the ability to think was still unknown, but they quickly occupied the subway station after she was gone.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													3	30		1		20		10		3			1	300	10030102						10030103		10030103					10			30					1	ZX00303BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	27		1	2	3											
10030104	Good Samaritan	The Corrupted significantly impacted the retrieval of Constructs. Gray Raven decided to split into two groups; one would continue working on the retrieval, while the other would focus on fighting the Corrupted.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab05.png		111	301				1													4	30		1		20		10		3			1	300	10030103						10030104		10030104					10			30					1	ZX00304BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	28		1	2	3											
10030201	Trespassing	Operation Portal was run by Strike Hawk. After joining forces with them, Gray Raven was assigned the task of scouting in the Estate where the portal was located.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	301				1													5	32		1		20		10		3			1	300	10030104						10030105		10030105					10			30					1	ZX00305BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	29		1	2	3											
10030202	Traps	After scouting, Gray Raven's next task is night patrol.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		102	301				1													6	32		1		20		10		3			1	300	10030201						10030106		10030106					10			30					1	ZX00306BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	30		1	2	3											
10030203	Final Warning	Operation Portal is about to start. Gray Raven and Strike Hawk will launch a joint attack on the Estate.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png		101	301				1													7	32		1		20		10		3			1	300	10030202						10030107		10030107					10			30					1	ZX00307BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	31		1	2	3											
10030204	Take Caution	A new variant, along with many Corrupted reinforcements, suddenly appeared in the Estate. Defeat the new variant and evacuate ASAP.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0302.png		111	302				1													8	32		1		20		10		3			1	300	10030203						10030108		10030108					10			30					1	ZX00308BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							12			Rectangle	32		1	2	3											
10030301	Special Mission	The first attempt failed, but Strike Hawk had no plans to give up the operation. Gray Raven was asked to patrol in the night for tomorrow's mission.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	302				1													9	34		1		20		10		3			1	300	10030204						10030109		10030109					10			30					1	ZX00309BA			3	Have all members survive.	Die less than once	Die less than twice											1		2	1	1002						12			Square			1	2	3											
10030302	Twisted Modification	The operation has started again. Gray Raven will distract the enemy so Strike Hawk can infiltrate the Estate.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	302				1													10	34		1		20		10		3			1	300	10030301						10030110		10030110					10			30					1	ZX00310BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	34		1	2	3											
10030303	Each Loyal to Their Own	To attract as much firepower as possible, Gray Raven decided to enter the Estate building.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		111	301				1													11	34		1		20		10		3			1	300	10030302						10030111		10030111					10			30					1	ZX00311BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	35		1	2	3											
10030304	A New Seed	For some unknown reason, Gray Raven lost contact with Strike Hawk. The priority now is to get out of this place.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0303.png		112	301				1													12	34		1		20		10		3			1	300	10030303						10030112		10030112					10			30					1	ZX00312BA	ZX00312EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	36		1	2	3											
10040101	Night Escape	Strike Hawk suffered a heavy loss, so Kamui was reassigned to Gray Raven, whose last task here is to establish a safe zone.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0401.png		101	301				1													1	40		1		28		10		3			1	300	11020106						10040101		10040101					10			40					1	ZX00401BA	ZX00401EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	37		1	2	3											
10040102	Deduction	Cover Lee so he could set up the Iso-Device outside the Estate and hence establish a safe route between the base and the portal.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	301				1													2	40		1		28		10		3			1	300	10040101						10040102		10040102					10			40					1	ZX00402BA	ZX00402EA		3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							12			Square	38		1	2	3											
10040103	Beneficiary	A siren suddenly went off in the Estate. Check it out and ensure the portal is safe.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	301				1													3	40		1		28		10		3			1	300	10040102						10040103		10040103					10			40					1	ZX00403BA	ZX00403EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	39		1	2	3											
10040104	Breaking Through	Turned out it was some Corrupted that triggered the safety robots. Destroy the Corrupted and the robots.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0402.png		111	301				1													4	40		1		28		10		3			1	300	10040103						10040104		10040104					10			40					1	ZX00404BA	ZX00404EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	40		1	2	3											
10040201	Lurking Sand	The portal was tampered by Roland and failed to send you to the designated location. After some discussion, you decided to walk there.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	304				1													5	42		1		28		10		3			1	300	10040104						10040105		10040105					10			40					1	ZX00405BA	ZX00405EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	41		1	2	3											
10040202	Panic Dive	Kamui seemed to have this desert's information. Gray Raven headed toward the desert base for supplies and Construct maintenance.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	304				1													6	42		1		28		10		3			1	300	10040201						10040106		10040106					10			40					1	ZX00406BA	ZX00406EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	42		1	2	3											
10040203	The Forsaken	The desert base was under attack of the Corrupted. Defeat them to protect the base.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0403.png		101	304				1													7	42		1		28		10		3			1	300	10040202						10040107		10040107					10			40					1	ZX00407BA	ZX00407EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	43		1	2	3											
10040204	Negotiation	Gray Raven was met with some uninvited guests who called themselves the "Forsaken", and was attacked by one of the male Constructs.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		111	304				1													8	42		1		28		10		3			1	300	10040203						10040108		10040108					10			40					1	ZX00408BA	ZX00408EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	44		1	2	3											
10040301	Left Behind	The "Forsaken" Constructs seemed to know Lucia and Kamui. Gray Raven set off once again to seize the base and find out the truth.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab04.png		101	304				1													9	44		1		28		10		3			1	300	10040204						10040109		10040109					10			40					1	ZX00409BA	ZX00409EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	45		1	2	3											
10040302	Kidnapping	The mysterious Construct who clearly disliked humans appeared again. He was upset by Gray Raven as they were taking orders from you. A battle is imminent.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		102	304				1													10	44		1		28		10		3			1	300	10040301						10040110		10040110					10			40					1	ZX00410BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	46		1	2	3											
10040303	Noises	The male Construct took advantage of the Corrupted's habits and got them to attack Gray Raven. Lucia seemed to have recalled something during the battle though...?	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	304				1													11	44		1		28		10		3			1	300	10040302						10040111		10040111					10			40					1	ZX00411BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	47		1	2	3											
10040304	Bloody Truth	The enemy Construct's name was Watanabe. But before Lucia could recall more, a type of enemy named "Guardian" started to attack...	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0404.png		112	304				1													12	44		1		28		10		3			1	300	10040303						10040112		10040112					10			40					1	ZX00412BA	ZX00412EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	48		1	2	3											
10050101	Pursuit	Executive Nikolai sent the Purifying Force to hunt deserter Liv. Time is running out, but you must find Liv and take care of the unconscious Lucia at the same time.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		102	304				1													1	52		1		35		12		3			1	300	11030106						10050101		10050101					12			50					1	ZX00501BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	49		1	2	3											
10050102	Blind Fight	Lee and Kamui had an argument about the dismembered team. Their heated debate caught the Corrupted's attention.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		102	304				1													2	52		1		35		12		3			1	300	10050101						10050102		10050102					12			50					1	ZX00502BA	ZX00502EA		3	Have all members survive.	Die less than once	Die less than twice											1		2	1	1003						12			Square			1	2	3											
10050103	Dispelling Illusions	The team still had different opinions, but the priority was to treat Lucia. You decided to head toward the oasis that Kamui mentioned.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		102	304				1													3	52		1		35		12		3			1	300	10050102						10050103		10050103					12			50					1	ZX00503BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	51		1	2	3											
10050104	A Smart Path	The team was finally able to have a break, but more Corrupted were in the way to the terminal that could be used to heal Lucia.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0501.png		111	304				1													4	52		1		35		12		3			1	300	10050103						10050104		10050104					12			50					1	ZX00504BA			3	Have all members survive.	Die less than once	Die less than twice											1		2	1	1004						12			Rectangle			1	2	3											
10050201	True Form	While the desert terminal is "decompressing" Lucia's M.I.N.D., get Lee and Kamui to hold off the enemies.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	304				1													5	54		1		35		12		3			1	300	10050104						10050105		10050105					12			50					1	ZX00505BA	ZX00505EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	53		1	2	3											
10050202	Suppressed Illusions	After Lucia woke up, she wanted to stay alone. Recalling the tragedies of the First Force seemed to have impacted her significantly. You decided to check her situation.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		112	304				1													6	54		1		35		12		3			1	300	10050201						10050106		10050106					12			50					1	ZX00506BA	ZX00506EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	54		1	2	3											
10050203	Humanoid	Lucia only wanted peace of mind. Yet, the new variant claimed she could be "freed" from the past.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png		111	304				1													7	54		1		35		12		3			1	300	10050202						10050107		10050107					12			50					1	ZX00507BA	ZX00507EA		3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							12			Square	55		1	2	3											
10050204	Supervisor	The guilt from the past and the feeling of powerlessness are killing Lucia. Defeat the new variant along with Kamui.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		112	304				1													8	54		1		35		12		3			1	300	10050203						10050108		10050108					12			50					1	ZX00508BA	ZX00508EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	56		1	2	3											
10050301	The Light of Seven	Gray Raven isn't exactly ready to flee, but it's time to run from the Purifying Force.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0503.png		101	304				1													9	56		1		35		12		3			1	300	10050204						10050109		10050109					12			50					1	ZX00509BA	ZX00509EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	57		1	2	3											
10050302	Lost Sword	You must find Liv before the Purifying Force does. She might be with the Forsaken. Gray Raven decided to check the desert base.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	302				1													10	56		1		35		12		3			1	300	10050301						10050110		10050110					12			50					1	ZX00510BA	ZX00510EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	58		1	2	3											
10050303	Turning the Table	The base was completely empty, but the radar suggested that Gray Raven was already at Liv's location. The earth suddenly started to tremble...	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	305				1													11	56		1		35		12		3			1	300	10050302						10050111		10050111					12			50					1	ZX00511BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Square	59		1	2	3											
10050304	Liv's Return	The unknown earthquake also attracted the Guardian to the base. Protect the base and try to reach Liv's location!	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0502.png		111	305				1													12	56		1		35		12		3			1	300	10050303						10050112		10050112					12			50					1	ZX00512BA	ZX00512EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	60		1	2	3											
10060101	Tracking the Ascendant	After resting in a Forsaken camp for a night, Gray Raven has received a new mission from Babylonia.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0601.png		101	307				1													1	60		1		40		12		3			1	300	11040106						10060101		10060101					12			60					1	ZX00601BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							12			Rectangle	61		1	2	3											
