Id	AreaId[1]	AreaId[2]	AreaId[3]	AreaId[4]	AreaId[5]	FightEventId
170	8	12				4008
171	9	12				4009
172	10	12				4010
173	12	13				4011
174	12	14				4012
175	12	15				4007
176	12	18				4008
177	12	19				4009
178	12	20				4010
179	12	23				4007
180	12	24				4012
181	12	25				4007
182	12	26				4008
183	12	27				4009
184	12	28				4010
185	12	29				4011
186	4	13				4012
187	5	13				4007
188	9	13				4008
189	10	13				4009
190	13	14				4011
191	13	15				4011
192	13	19				4012
193	13	20				4007
194	13	24				4008
195	13	25				4011
196	13	26				4008
197	13	27				4011
198	13	28				4012
199	13	29				4007
200	5	14				4008
201	10	14				4009
202	14	15				4010
203	14	20				4011
204	14	25				4012
205	14	26				4007
206	14	27				4008
207	14	28				4009
208	14	29				4010
209	2	16				4011
210	3	16				4012
211	4	16				4007
212	5	16				4008
213	7	16				4009
214	8	16				4010
215	9	16				4011
216	10	16				4012
217	12	16				4007
218	13	16				4008
219	14	16				4009
220	15	16				4012
221	16	17				4011
222	16	18				4012
223	16	19				4007
224	16	20				4008
225	16	22				4009
226	16	23				4010
227	16	24				4011
228	16	25				4012
229	16	26				4007
230	16	27				4008
231	16	28				4009
232	16	29				4010
233	3	17				4011
234	4	17				4012
235	5	17				4007
236	8	17				4008
237	9	17				4009
238	10	17				4010
239	13	17				4011
240	14	17				4012
241	15	17				4007
242	17	18				4007
243	17	19				4009
244	17	20				4010
245	17	23				4011
246	17	24				4012
247	17	25				4007
248	17	26				4008
249	17	27				4009
250	17	28				4010
251	17	29				4011
252	4	18				4012
253	5	18				4007
254	9	18				4008
255	10	18				4009
256	14	18				4010
257	15	18				4011
258	18	19				4012
259	18	20				4007
260	18	24				4008
261	18	25				4009
262	18	26				4010
263	18	27				4011
264	18	28				4012
265	18	29				4007
266	5	19				4008
267	10	19				4009
268	15	19				4010
269	19	20				4008
270	19	25				4012
271	19	26				4007
272	19	27				4008
273	19	28				4009
274	19	29				4010
275	2	21				4011
276	3	21				4012
277	4	21				4007
278	5	21				4008
279	7	21				4009
280	8	21				4010
281	9	21				4011
282	10	21				4012
283	12	21				4007
284	13	21				4008
285	14	21				4011
286	15	21				4012
287	17	21				4011
288	18	21				4012
289	19	21				4007
290	20	21				4008
291	21	22				4009
292	21	23				4010
293	21	24				4011
294	21	25				4012
295	21	26				4007
296	21	27				4010
297	21	28				4009
298	21	29				4010
299	3	22				4011
300	4	22				4012
301	5	22				4007
302	8	22				4008
303	9	22				4009
304	10	22				4010
305	13	22				4011
306	14	22				4007
307	15	22				4007
308	18	22				4008
309	19	22				4009
310	20	22				4010
311	22	23				4011
312	22	24				4012
313	22	25				4007
314	22	26				4008
315	22	27				4009
316	22	28				4010
317	22	29				4011
318	4	23				4012
319	5	23				4007
320	9	23				4008
321	10	23				4009
322	14	23				4010
323	15	23				4011
324	19	23				4012
325	20	23				4007
326	23	24				4011
327	23	25				4009
328	23	26				4010
329	23	27				4011
330	23	28				4012
331	23	29				4007
332	5	24				4008
333	10	24				4009
334	15	24				4010
335	20	24				4011
336	24	25				4012
337	24	26				4007
338	24	27				4008
339	24	28				4009
340	24	29				4010
341	5	26				4010
342	10	26				4010
343	15	26				4010
344	20	26				4010
345	25	26				4012
346	5	27				4010
347	10	27				4010
348	15	27				4010
349	20	27				4010
350	25	27				4010
351	5	28				4010
352	10	28				4010
353	15	28				4010
354	20	28				4010
355	25	28				4010
356	5	29				4010
357	10	29				4010
358	15	29				4010
359	20	29				4010
360	25	29				4010
361	7	5				4020
362	14	23				4018
363	7	1				4016
364	13	25				4017
365	6	4				4019
366	15	22				4020
367	8	4				4018
368	11	22				4016
369	10	3				4017
370	14	21				4019
371	7	5				4023
372	14	23				4009
373	7	1				4007
374	13	25				4021
375	6	4				4022
376	15	22				4023
377	8	4				4009
378	11	22				4007
379	10	3				4021
380	14	21				4022
381	6	2				4025
382	14	23				4018
383	10	1				4024
384	12	24				4016
385	8	5				4008
386	11	22				4025
387	9	3				4018
388	15	21				4024
389	7	4				4016
390	13	25				4008
