Id	Name	FightEventId	CharacterId	SynthesisId	SynthesisCount	Capacity	Quality	Icon	ResolveId	ResolveCount	Exp	Description	IsShowInLibrary	Priority
18100082	Stats: ATK II	221030		18100083	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	62803	30	30	ATK +140	1	3002
18100083	Stats: ATK III	221031		18100084	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	62803	90	90	ATK +180	1	4002
18100084	Stats: ATK IV	221032				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	62803	270	270	ATK +220	1	5002
18100091	Stats: Fire DMG I	221033		18100092	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png	62803	10	10	Fire DMG increases by 10%.	1	2006
18100092	Stats: Fire DMG II	221034		18100093	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png	62803	30	30	Fire DMG increases by 15%.	1	3006
18100093	Stats: Fire DMG III	221035		18100094	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png	62803	90	90	Fire DMG increases by 22%.	1	4006
18100094	Stats: Fire DMG IV	221036				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png	62803	270	270	Fire DMG increases by 30%.	1	5006
18100101	Stats: Ice DMG I	221037		18100102	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png	62803	10	10	Ice DMG increases by 10%.	1	2007
18100102	Stats: Ice DMG II	221038		18100103	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png	62803	30	30	Ice DMG increases by 15%.	1	3007
18100103	Stats: Ice DMG III	221039		18100104	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png	62803	90	90	Ice DMG increases by 22%.	1	4007
18100104	Stats: Ice DMG IV	221040				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png	62803	270	270	Ice DMG increases by 30%.	1	5007
18100111	Stats: Dark DMG I	221041		18100112	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png	62803	10	10	Dark DMG increases by 10%	1	2008
18100112	Stats: Dark DMG II	221042		18100113	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png	62803	30	30	Dark DMG increases by 15%.	1	3008
18100113	Stats: Dark DMG III	221043		18100114	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png	62803	90	90	Dark DMG increases by 22%	1	4008
18100114	Stats: Dark DMG IV	221044				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png	62803	270	270	Dark DMG increases by 30%	1	5008
18100121	Stats: Lightning DMG I	221045		18100122	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png	62803	10	10	Lightning DMG increases by 10%.	1	2009
18100122	Stats: Lightning DMG II	221046		18100123	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png	62803	30	30	Lightning DMG increases by 15%	1	3009
18100123	Stats: Lightning DMG III	221047		18100124	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png	62803	90	90	Lightning DMG increases by 22%	1	4009
18100124	Stats: Lightning DMG IV	221048				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png	62803	270	270	Lightning DMG increases by 30%	1	5009
18100131	Stats: Physical DMG I	221049		18100132	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png	62803	10	10	Physical DMG increases by 10%	1	2005
18100132	Stats: Physical DMG II	221050		18100133	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png	62803	30	30	Physical DMG increases by 15%	1	3005
18100133	Stats: Physical DMG III	221051		18100134	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png	62803	90	90	Physical DMG increases by 22%	1	4005
18100134	Stats: Physical DMG IV	221052				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png	62803	270	270	Physical DMG increases by 30%	1	5005
18100141	Stats: Switch I	221053		18100142	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png	62803	10	10	Switch cooldown decreases by 2s.	1	2003
18100142	Stats: Switch II	221054		18100143	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png	62803	30	30	Switch cooldown decreases by 4s.	1	3003
18100143	Stats: Switch III	221055		18100144	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png	62803	90	90	Switch cooldown decreases by 6s.	1	4003
18100144	Stats: Switch IV	221056				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png	62803	270	270	Switch cooldown decreases by 8s.	1	5003
18100151	Stats: Dodge I	221057		18100152	3	1	2	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png	62803	10	10	Dodge Gauge limit increases by 200	1	2004
18100152	Stats: Dodge II	221058		18100153	3	2	3	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png	62803	30	30	Dodge Gauge limit increases by 400	1	3004
18100153	Stats: Dodge III	221059		18100154	3	4	4	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png	62803	90	90	Dodge Gauge limit increases by 600	1	4004
18100154	Stats: Dodge IV	221060				6	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png	62803	270	270	Dodge Gauge limit increases by 800	1	5004
18101011	Palefire: Core	222101	1011002	18101012	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	10	10	The Core Passive's Red Orb Blast DMG increases by 70%, while Blue Orb pulls enemies. Pinging a Red Orb after a Blue Orb emits Blast Bullets. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2016
18101012	Palefire: Core	222102	1011002	18101013	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	30	30	The Core Passive's Red Orb Blast DMG increases by 150%, while Blue Orb pulls enemies. Pinging a Red Orb after a Blue Orb emits Blast Bullets. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3016
18101013	Palefire: Core	222103	1011002	18101014	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	90	90	The Core Passive's Red Orb Blast DMG increases by 220%, while Blue Orb pulls enemies. Pinging a Red Orb after a Blue Orb emits Blast Bullets. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4016
18101014	Palefire: Core	222104	1011002			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	300	270	The Core Passive's Red Orb Blast DMG increases by 300%, while Blue Orb pulls enemies. Pinging a Red Orb after a Blue Orb emits Blast Bullets. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5016
18101021	Palefire: Overclock 1	222105	1011002	18101022	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	10	10	Ping a Yellow Orb to pull enemies, and gain 1 Red Orb and 30 Dodge. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2017
18101022	Palefire: Overclock 1	222106	1011002	18101023	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	30	30	Ping a Yellow Orb to pull enemies, and gain 2 Red Orbs and 70 Dodge. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3017
18101023	Palefire: Overclock 1	222107	1011002	18101024	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	90	90	Ping a Yellow Orb to pull enemies, and gain 2 Red Orbs and 130 Dodge. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4017
18101024	Palefire: Overclock 1	222108	1011002			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	300	270	Ping a Yellow Orb to pull enemies, and gain 3 Red Orbs and 200 Dodge. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5017
18101031	Palefire: Overclock 2	222109	1011002	18101032	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	10	10	Gain 1 Yellow Orb when pinging a Red Orb. DMG increases by 10% for 2s after Dodge. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2018
18101032	Palefire: Overclock 2	222110	1011002	18101033	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	30	30	Gain 2 Yellow Orbs when pinging a Red Orb. DMG increases by 40% for 2s after Dodge. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3018
18101033	Palefire: Overclock 2	222111	1011002	18101034	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	90	90	Gain 2 Yellow Orbs when pinging a Red Orb. DMG increases by 70% for 2s after Dodge. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4018
18101034	Palefire: Overclock 2	222112	1011002			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	300	270	Gain 3 Yellow Orbs when pinging a Red Orb. DMG increases by 100% for 2s after Dodge. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5018
18101041	Palefire: Special	222113	1011002			6	6	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	62803	300	270	The Core Passive's Red Orb Blast DMG increases by 300%, while Blue Orb pulls enemies. Pinging a Red Orb after a Blue Orb emits Blast Bullets. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.) Unlocks Palefire Enhancement.	1	6019
18102011	Lotus: Core	222201	1021001	18102012	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	10	10	Restore 2 Energy to the ATK of Dual Blade mode, increase DMG by 50%. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2019
18102012	Lotus: Core	222202	1021001	18102013	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	30	30	Restore 3 Energy to the ATK of Dual Blade mode, increase DMG by 100%. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3019
18102013	Lotus: Core	222203	1021001	18102014	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	90	90	Restore 4 Energy to the ATK of Dual Blade mode, increase DMG by 150%. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4019
18102014	Lotus: Core	222204	1021001			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	300	270	Restore 5 Energy with each attack under Dual Blade mode, increase DMG by 200%. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5019
18102021	Lotus: Overclock 1	222205	1021001	18102022	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	10	10	Dual Blade mode duration increases by 1s. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2020
18102022	Lotus: Overclock 1	222206	1021001	18102023	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	30	30	Dual Blade mode duration increases by 2s. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3020
18102023	Lotus: Overclock 1	222207	1021001	18102024	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	90	90	Dual Blade mode duration increases by 3s. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4020
18102024	Lotus: Overclock 1	222208	1021001			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	300	270	Dual Blade mode duration increases by 4s. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5020
18102031	Lotus: Overclock 2	222209	1021001	18102032	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	10	10	Enter Matrix after Dual Blade mode ends. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2021
18102032	Lotus: Overclock 2	222210	1021001	18102033	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	30	30	Enter Matrix and gain 1 Red Orb after Dual Blade mode ends. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3021
18102033	Lotus: Overclock 2	222211	1021001	18102034	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	90	90	Enter Matrix and gain 2 Red Orbs after Dual Blade mode ends. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4021
18102034	Lotus: Overclock 2	222212	1021001			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	300	270	Enter Matrix and gain 3 Red Orbs after Dual Blade mode ends. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5021
18102041	Lotus: Special	222213	1021001			6	6	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	62803	300	270	Restore 5 Energy with each attack under Dual Blade mode, increase DMG by 200%. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.) Unlocks Lotus Enhancement.	1	6022
18103011	Eclipse: Core	222301	1031001	18103012	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	10	10	Laser Cluster (3-Ping + Red Orb) DMG increases by 70%. [Support]: DMG of the whole team increases by 10% for 5s after healing. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2022
18103012	Eclipse: Core	222302	1031001	18103013	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	30	30	Laser Cluster (3-Ping + Red Orb) DMG increases by 150%. [Support]: DMG of the whole team increases by 20% for 5s after healing. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3022
18103013	Eclipse: Core	222303	1031001	18103014	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	90	90	Laser Cluster (3-Ping + Red Orb) DMG increases by 220%. [Support]: DMG of the whole team increases by 35% for 5s after healing. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4022
18103014	Eclipse: Core	222304	1031001			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	300	270	Laser Cluster (3-Ping + Red Orb) DMG increases by 300%. [Support]: DMG of the whole team increases by 50% for 5s after healing. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5022
18103021	Eclipse: Overclock 1	222305	1031001	18103022	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	10	10	Enter Matrix after casting Signature Move. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2023
18103022	Eclipse: Overclock 1	222306	1031001	18103023	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	30	30	Enter Matrix and gain 2 Red Orbs after casting Signature Move. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3023
18103023	Eclipse: Overclock 1	222307	1031001	18103024	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	90	90	Enter Matrix and gain 3 Red Orbs after casting Signature Move. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4023
18103024	Eclipse: Overclock 1	222308	1031001			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	300	270	Enter Matrix and gain 4 Red Orbs after casting Signature Move. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5023
18103031	Eclipse: Overclock 2	222309	1031001	18103032	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	10	10	Gain an extra 5 Energy when your 3-Ping hits the enemy. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2024
18103032	Eclipse: Overclock 2	222310	1031001	18103033	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	30	30	Gain an extra 10 Energy when your 3-Ping hits the enemy. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3024
18103033	Eclipse: Overclock 2	222311	1031001	18103034	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	90	90	Gain an extra 15 Energy when your 3-Ping hits the enemy. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4024
18103034	Eclipse: Overclock 2	222312	1031001			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	300	270	Gain an extra 20 Energy when your 3-Ping hits the enemy. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5024
18103041	Eclipse: Special	222313	1031001			6	6	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	62803	300	270	Laser Cluster (3-Ping + Red Orb) DMG increases by 300%. [Support]: DMG of the whole team increases by 50% for 5s after healing. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.) Unlocks Eclipse Enhancement.	1	6025
18104011	Zero: Core	222401	1041002	18104012	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	10	10	Energy Arrow DMG increases by 70%. When casting Signature Move, each Energy Arrow consumed will generate 1 extra Energy Arrow. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2025
18104012	Zero: Core	222402	1041002	18104013	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	30	30	Energy Arrow DMG increases by 150%. When casting Signature Move, each Energy Arrow consumed will generate 1 extra Energy Arrow. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3025
18104013	Zero: Core	222403	1041002	18104014	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	90	90	Energy Arrow DMG increases by 220%. When casting Signature Move, each Energy Arrow consumed will generate 2 extra Energy Arrows. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4025
18104014	Zero: Core	222404	1041002			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	300	270	Energy Arrow DMG increases by 300%. When casting Signature Move, each Energy Arrow consumed will generate 3 extra Energy Arrows. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5025
18104021	Zero: Overclock 1	222405	1041002	18104022	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	10	10	After casting Signature Move, enter Matrix and increase DMG by 20% for 6s. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2026
18104022	Zero: Overclock 1	222406	1041002	18104023	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	30	30	After casting Signature Move, enter Matrix and increase DMG by 40% for 6s. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3026
18104023	Zero: Overclock 1	222407	1041002	18104024	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	90	90	After casting Signature Move, enter Matrix and increase DMG by 60% for 6s. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4026
18104024	Zero: Overclock 1	222408	1041002			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	300	270	After casting Signature Move, enter Matrix and increase DMG by 80% for 6s. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5026
18104031	Zero: Overclock 2	222409	1041002	18104032	3	1	2	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	10	10	3-Pings give 4 extra Energy. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		2027
18104032	Zero: Overclock 2	222410	1041002	18104033	3	2	3	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	30	30	3-Pings give 7 extra Energy. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		3027
18104033	Zero: Overclock 2	222411	1041002	18104034	3	4	4	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	90	90	3-Pings give 10 extra Energy. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)		4027
18104034	Zero: Overclock 2	222412	1041002			6	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	62803	300	270	3-Pings give 15 extra Energy. (If you possess 2 or more of the same Buff, the one with higher quality will take effect.)	1	5027
