Id	SimpleName	OpenHour	MapId	PreId	PreProgress	Type	Progress	Bg	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	RewardId[1]	RewardId[2]	RewardId[3]	RewardId[4]	RewardId[5]	StageAbility[1]	StageAbility[2]	StageAbility[3]	StageAbility[4]	StageAbility[5]	MemberCount[1]	MemberCount[2]	MemberCount[3]	MemberCount[4]	MemberCount[5]
1301	NF3-1	0	103	1207	3	3	3	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180317	30180318	30180319			533001	533002	533003			7900	7900	7900			3	3	3		
1302	NF3-2	0	103	1301	3	3	3	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180320	30180321	30180322			533004	533005	533006			8100	8100	8100			3	3	3		
1303	NF3-3	0	103	1302	3	3	3	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180323	30180324	30180325			533007	533008	533009			8300	8300	8300			3	3	3		
1304	NF3-4	0	103	1303	3	3	3	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180326	30180327	30180328			533010	533011	533012			8500	8500	8500			3	3	3		
1305	NF3-5	0	103	1304	3	3	3	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180329	30180330	30180331			533013	533014	533015			8700	8700	8700			3	3	3		
1306	NF3-6	0	103	1305	3	3	3	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180332	30180333	30180334			533016	533017	533018			8900	8900	8900			3	3	3		
1307	NF3-7	0	103	1306	3	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180335	30180336	30180337	30180338	30180339	533019	533020	533021	533022	533023	9100	9100	9100	9100	9100	3	3	3	3	3
1401	NF4-1	0	104	1307	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180340	30180341	30180342	30180343	30180344	534001	534002	534003	534004	534005	9400	9400	9400	9400	9400	3	3	3	3	3
1402	NF4-2	0	104	1401	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180345	30180346	30180347	30180348	30180349	534006	534007	534008	534009	534010	9700	9700	9700	9700	9700	3	3	3	3	3
1403	NF4-3	0	104	1402	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180350	30180351	30180352	30180353	30180354	534011	534012	534013	534014	534015	10000	10000	10000	10000	10000	3	3	3	3	3
1404	NF4-4	0	104	1403	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180355	30180356	30180357	30180358	30180359	534016	534017	534018	534019	534020	10300	10300	10300	10300	10300	3	3	3	3	3
1405	NF4-5	0	104	1404	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180360	30180361	30180362	30180363	30180364	534021	534022	534023	534024	534025	10600	10600	10600	10600	10600	3	3	3	3	3
1406	NF4-6	0	104	1405	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180365	30180366	30180367	30180368	30180369	534026	534027	534028	534029	534030	10900	10900	10900	10900	10900	3	3	3	3	3
1407	NF4-7	0	104	1406	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180370	30180371	30180372	30180373	30180374	534031	534032	534033	534034	534035	11200	11200	11200	11200	11200	3	3	3	3	3
1501	NF5-1	0	105	1407	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180375	30180376	30180377	30180378	30180379	535001	535002	535003	535004	535005	11600	11600	11600	11600	11600	3	3	3	3	3
1502	NF5-2	0	105	1501	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180380	30180381	30180382	30180383	30180384	535006	535007	535008	535009	535010	12000	12000	12000	12000	12000	3	3	3	3	3
1503	NF5-3	0	105	1502	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180385	30180386	30180387	30180388	30180389	535011	535012	535013	535014	535015	12400	12400	12400	12400	12400	3	3	3	3	3
1504	NF5-4	0	105	1503	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180390	30180391	30180392	30180393	30180394	535016	535017	535018	535019	535020	12800	12800	12800	12800	12800	3	3	3	3	3
1505	NF5-5	0	105	1504	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180395	30180396	30180397	30180398	30180399	535021	535022	535023	535024	535025	13200	13200	13200	13200	13200	3	3	3	3	3
1506	NF5-6	0	105	1505	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180400	30180401	30180402	30180403	30180404	535026	535027	535028	535029	535030	13600	13600	13600	13600	13600	3	3	3	3	3
1507	NF5-7	0	105	1506	5	3	5	Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerStageIcon03.png	30180405	30180406	30180407	30180408	30180409	535031	535032	535033	535034	535035	14000	14000	14000	14000	14000	3	3	3	3	3
