Key	Comment	Values[1]	Values[2]	Values[3]	Values[4]	Values[5]	Values[6]	Values[7]
NotSelectTeam	The text of a pop-up message when tapping Next without selecting a squad.	Select Survey Team.						
NotSelectRecruitTicket	The text of a pop-up message when tapping Next without selecting a recruit voucher.	Select any Stray Invitation.						
NotSelectExReward	The text of a pop-up message when tapping Next without selecting extra rewards.	Select Artifact.						
StrengthenBtnActiveName	Skill Details Activation Button Text	Locked	Activated	Activate				
TextColor	Text Color	BBBBBBFF	FF0000FF					
RewardTips	Reward Tips	No claimable rewards found	Rewards cannot be claimed when a journey is in progress.	Level limit reached				
UnitIcon	Instruction Icon (1 Squad, 2 item)	Assets/Product/Texture/Atlas/UiBiancaTheatre/UiTheatreIconBtnFenDui.png	Assets/Product/Texture/Atlas/UiBiancaTheatre/UiTheatreIconBtnDaoJu.png					
BtnRecruitName	Recruit Button Name	Recruit	Star Up					
BiancaTheatreComboTips	Bond Description	Evolve Requirement: 						
BannerProgress	Entry Progress Description	Current Level: %s/%s						
StartViewTitle	Titles for Difficulty Selection, Squad Selection, Recruit Voucher Selection, and Battle Rewards	Select Difficulty	Establish Survey Team	Select Invitation	Claim Battle Rewards			
QualityTextColor	Text Color Corresponding to the Quality	797979	797979	588ad6	cc68c1	C68B23	C4695B	
RecruitTipsTitle	Recruit Pop-Up Details Title (1 Recruit, 2 Star Up)	Unlock the owned/trial character	Improve the character's all Basic Abilities.					
NotRoles	Reminders when tapping the character list button but there are no characters available.	No characters recruited						
StrengthenTips	Notice	Nodes cannot be activated when a journey is in progress.						
FightRewardEndRecvTipsDesc	The text of the second pop-up when exiting without claiming all battle rewards.	Confirm to proceed? All unclaimed rewards will be lost.						
RebootTitle	Battle Reset Title	Reset Warning						
RebootDesc	Battle Reset Warning	You have %s *%d. Stage reset requires %s *%d. Confirm to proceed?						
RetreatTitle	Battle Retreat Title	Battle Warning						
RetreatDesc	Battle Retreat Description	This round of adventure will count as defeat once you leave the battle. You have %s *%d. %s can be used to revive/reset the stage. Confirm to leave and tally your results?						
MainViewShowRewardId	Main Screen Reward Display	550050						
SettleAnimaTime	Time for the result calculation screen to slide to the bottom (in seconds)	3						
NotActiveQualityColor	Unactivated Quality Color	797979						
UnusedRecruitCountDialogContent	The description of the second pop-up when tapping Next without using up all recruit attempts.	Confirm to proceed? (Unused recruit attempts will not be carried over.)						
RoleDetailBallIconBg	In the character details brief skill panel, the background resource path of the Red, Yellow, and Blue Orbs	Assets/Product/Texture/Atlas/Common/CommonSekuai1.png						
ReceiveExpTipsContent	Pop-Up Description When Claiming Rewards at Max Level	The Curse Queller's Path has already reached its max level. Excess Downfall Crystals will be lost. Confirm to claim?						
MissionComplete		All mission completed						
