Id	NodeTypeName	NodeTypeIcon	NodeTypeDesc	SmallIcon	NodeTypeEffectUrl
112	Lost Child	Assets/Product/Texture/Image/BgStory/Bgstory373.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
113	A curse named "Knowledge"	Assets/Product/Texture/Image/BgStory/Bgstory381.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
114	Full of "Potential"!	Assets/Product/Texture/Image/BgStory/Bgstory383.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
115	A Party for Scavengers	Assets/Product/Texture/Image/BgStory/Bgstory419.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
116	Solved Puzzle	Assets/Product/Texture/Image/BgStory/Bgstory416.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
117	Failure	Assets/Product/Texture/Image/BgStory/Bgstory408.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
118	Armory	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
119	Heed the advice	Assets/Product/Texture/Image/BgStory/Bgstory409.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
120	Jewel Hunter	Assets/Product/Texture/Image/BgStory/Bgstory405.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
121	The wisdom named "Forbiddance"	Assets/Product/Texture/Image/BgStory/Bgstory437.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
122	Executioner	Assets/Product/Texture/Image/BgStory/Bgstory417.jpg	Something dangerous is coming. Keep your guard up.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
123	Warrior Who Survived	Assets/Product/Texture/Image/BgStory/Bgstory516.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
124	Final Treatment	Assets/Product/Texture/Image/BgStory/BgStory570.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
125	Discarded Roundtable	Assets/Product/Texture/Image/BgStory/Bgstory529.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
126	Burnt Out Campfire	Assets/Product/Texture/Image/BgStory/BgStory568.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
127	Crumbling Religious Monument	Assets/Product/Texture/Image/BgStory/BgStory571.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
128	The Brand of Void	Assets/Product/Texture/Image/BgStory/Bgstory425.jpg	The future is in your hand.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent05.png	
129	Statue of the Crowned	Assets/Product/Texture/Image/BgStory/BgStory579.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
130	An End Named "Lunacy"	Assets/Product/Texture/Image/BgStory/BgStory568.jpg	Something dangerous is coming. Keep your guard up.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
131	Crimson Altar	Assets/Product/Texture/Image/BgStory/Bgstory625.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
132	Another starry sky	Assets/Product/Texture/Image/BgStory/BgStory590.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
133	Crimson Saint	Assets/Product/Texture/Image/BgStory/Bgstory622.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
134	Remnants of Gunfire	Assets/Product/Texture/Image/BgStory/Bgstory341.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
135	Dusty Memories	Assets/Product/Texture/Image/BgStory/Bgstory610.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
136	Before the journey ends...	Assets/Product/Texture/Image/BgStory/Bgstory624.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
137	Approaching Tide	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
138	The Brand of Infinity	Assets/Product/Texture/Image/BgStory/Bgstory506.jpg	The future is in your hand.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent05.png	
139	Abyssal Captive	Assets/Product/Texture/Image/BgStory/Bgstory626.jpg	Something dangerous is coming. Keep your guard up.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
140	Ocean Guardian	Assets/Product/Texture/Image/BgStory/Bgstory399.jpg	She has been waiting for a long time.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
141	After Clash	Assets/Product/Texture/Image/BgStory/Bgstory398.jpg	The future is in your hand.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent05.png	
142	Cursed Waves	Assets/Product/Texture/Image/BgStory/BgStory627.jpg	The endgame has descended.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
143	What's Called "Reality"	Assets/Product/Texture/Image/BgStory/BgStory594.jpg	"Walk into the 'Reality'."	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
144	Dream of Mist	Assets/Product/Texture/Image/BgStory/Bgstory439.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
145	Sharky Box	Assets/Product/Texture/Image/BgStory/BgStory627.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
146	After Clash	Assets/Product/Texture/Image/BgStory/Bgstory398.jpg	The future is in your hand.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent05.png	
147	Cursed Waves	Assets/Product/Texture/Image/BgStory/BgStory627.jpg	The endgame has descended.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent03.png	
148	Lost Remains	Assets/Product/Texture/Image/BgStory/Bgstory444.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
149	Street Performer	Assets/Product/Texture/Image/BgStory/Bgstory361.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
150	Forbidden Church	Assets/Product/Texture/Image/BgStory/BgStory710.jpg	This is the beginning of it all.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent07.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreChanrao.prefab
151	Trial of Nothingness	Assets/Product/Texture/Image/BgStory/Bgstory612.jpg	The necessary path to rebirth.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent07.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreChanrao.prefab
152	Trial of Infinity	Assets/Product/Texture/Image/BgStory/Bgstory301.png	The necessary path to rebirth.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent07.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreChanrao.prefab
153	Trial of Eternal Darkness	Assets/Product/Texture/Image/BgStory/Bgstory317.png	The necessary path to rebirth.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent07.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreChanrao.prefab
154	"New World"	Assets/Product/Texture/Image/BgStory/Bgstory425.jpg	Be reborn	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent07.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreChanrao.prefab
155	The Other Round Table	Assets/Product/Texture/Image/BgStory/BgStory658.jpg	The future is in your hand.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent07.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreChanrao.prefab
156	The Other Round Table	Assets/Product/Texture/Image/BgStory/BgStory658.jpg	The future is in your hand.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent07.png	Assets/Product/Effect/Prefab/FxUi/FxUiBiancaTheatre/FxUiBiancaTheatreChanrao.prefab
157	Path of Fate	Assets/Product/Texture/Image/BgStory/Bgstory380.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
158	Faction Conflict	Assets/Product/Texture/Image/BgStory/Bgstory410.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
159	The Library	Assets/Product/Texture/Image/BgStory/Bgstory415.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
160	Sword Tomb	Assets/Product/Texture/Image/BgStory/BgStory659.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
161	Astronomical Wonder	Assets/Product/Texture/Image/BgStory/BgStory688.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
164	Mysterious Wall	Assets/Product/Texture/Image/BgStory/Bgstory275.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
165	Crimson Moon	Assets/Product/Texture/Image/BgStory/Bgstory523.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
166	The Legend of the "Demon"	Assets/Product/Texture/Image/BgStory/Bgstory204.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
167	The "Demon" Recipe	Assets/Product/Texture/Image/BgStory/Bgstory189.png	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
168	The "Demon" Appears	Assets/Product/Texture/Image/BgStory/BgStory570.jpg	Stay calm and act wisely.	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	
