Id	Sound	Text	Duration
104100309	100001	The power of faith cannot be denied—just like the power you give me.	5000
104100310	100001	Because of you, battle now has meaning for me.	6000
105100101	100001	I don't have this concept of equivalent exchange in my data banks... If it's true, then should I feel the same way about you?	2000
105100102	100001	I've been studying how humans used to communicate... Well, you've got my attention, Commandant! Hmm... this doesn't seem to be working...	3000
105100103	100001	Witness Nanami's grand entrance! I'm the strongest!	4000
105100104	100001	What's it like to lose your hair? Nanami wants to try!	5000
105100105	100001	If you say so, then maaaaybe I'll remove a few more of my power limiters.	6000
105100106	100001	The more time I spend with you, the more I feel like I'm becoming a human...	2000
105100107	100001	All enemies are friends of Nanami!	3000
105100108	100001	You humans get to eat anything you want! I'm dying to try that strawberry thing one day!	4000
105100109	100001	Humans are sooo interesting! I'd like to study you more closely, if you don't mind—	5000
105100110	100001	Who knows, maybe one day Nanami will just disappear altogether... So, please try to remember me.	6000
105100301	100001	Commandant, you're here! Let's get started!	2000
105100302	100001	Commandant, you're not slacking off during work hours, are you?	3000
105100303	100001	I've learned so many things in the Gray Raven squad! Nanami loves it!	4000
105100304	100001	We go together like peas and carrots!	5000
105100305	100001	Humans always say that the unattainable is the most beautiful, do you think so too?	6000
105100306	100001	Stop eating in front of Nanami?! It makes me want to eat too...	2000
105100307	100001	Weird. My fixation with all things human has become a fixation of all things you.	3000
105100308	100001	Are all humans so eager to increase their affection levels?	4000
105100309	100001	I think... some emotions have no upper limits!	5000
105100310	100001	I'm working hard to meet you face to face one day.	6000
107100101	100001	Humans and Constructs are no different. We all realize our goals through battle.	2000
107100102	100001	I don't care who's the boss, as long as I get to fight.	3000
107100103	100001	I'm stronger than Lucia, right?	4000
107100104	100001	Make my schedule already.	5000
107100105	100001	...I feel my intellect dropping just by being in this team.	6000
107100106	100001	I can handle any weapons. Don't be stingy.	2000
107100107	100001	Tired already? Whatever. Go and get some rest. I'll take it from here.	3000
107100108	100001	You want to make me sharper? Then let me fight!	4000
107100109	100001	I ain't trying to get on your good side! This is just for me and me only!	5000
107100110	100001	There you are, finally! Next time I'm not hanging around.	6000
107100201	100001	I'm only here wasting time with you because of mission requirements.	2000
107100202	100001	Will I ever find something in my life that's more important than battling?	3000
107100203	100001	Well... You don't need to be this nice to me.	4000
107100204	100001	Wouldn't your time be better spent killing Corrupted?	5000
107100205	100001	I'm only here because you said so... It's not like I want to be here...	6000
107100206	100001	You want a taste of my cannon?!	2000
107100207	100001	Why do I hate Lucia? Because she's strong... I mean, nothing!	3000
107100208	100001	I should be the one beside you, not Lucia!	4000
107100209	100001	I-I'll try to pay you just a little bit more attention...	5000
107100210	100001	I've never felt... so close to a human before...	6000
107100301	100001	Is every team you lead this stupid?	2000
107100302	100001	Hm, let's see if this lets me fight better.	3000
107100303	100001	Hello? Babylonia to Commandant, are you there?	4000
107100304	100001	You're just like everyone else, toiling through the morning.	5000
107100305	100001	We're only doing this so we can fight better, yeah?	6000
107100306	100001	Are you sucking up to me?	2000
107100307	100001	I doubt I'll ever get this close... to anyone ever again...	3000
107100308	100001	Something more important than battle...? Y-you'll have to give me a hint!	4000
107100309	100001	I will become stronger and earn my place by your side.	5000
107100310	100001	I wonder, is there a place for me in your heart?	6000
106100101	100001	Nanami says humans would describe me as a "hot-blooded idiot". Is that true?	2000
106100102	100001	I'm Kamui. Good to meet you, Commandant!	3000
106100103	100001	I do have other interests, but fighting is what we do. Lucia's the same too, right?	4000
106100104	100001	Ha—there you are! Come on, let's get rumblin'!	5000
106100105	100001	What does remembrance feels like? I don't have such a function, so I don't know...	6000
106100106	100001	Humans dream. Do you ever dream of me?	2000
106100107	100001	Haha, oh nothing. Just smiling at you.	3000
106100108	100001	The very thought of fighting next to you sends energy coursing through my body.	4000
106100109	100001	Commandant! When are you going to take me on another mission—?!	5000
106100110	100001	Let's do our best in the future too!	6000
106100301	100001	You're full of beans today!	2000
106100302	100001	Have you eaten? You better. There's nothing to eat here if you get the munchies later.	3000
106100303	100001	You're the strangest Commandant I've ever seen... not that I'm complaining, haha!	4000
106100304	100001	Have I changed a lot? I'd change anything, as long as it's for you.	5000
106100305	100001	What am I going to do once the world is saved? Who cares, as long as we're together!	6000
106100306	100001	I'm just as good as Lee or Watanabe! I can be trusted with important missions too!	2000
106100307	100001	Have you eaten? You better. There's nothing to eat here if you get the munchies later.	3000
106100308	100001	Go and rest. I'm not going anywhere.	4000
106100309	100001	It's hard to describe how I feel, but I do know I feel happy.	5000
106100310	100001	You're the one who gives me the strength to keep moving forward.	6000
108100101	100001	There is no eternal trust nor eternal betrayal. They only last for how deep they run.	2000
108100102	100001	I don't particularly like humans... but for the moment we share the same objective.	3000
108100103	100001	I'll give it everything I've got.	4000
108100104	100001	You still haven't finalized the operation plans? Don't put it off much longer.	5000
108100105	100001	I'm not very good with these kinds of atmosphere... We should talk it out.	6000
108100106	100001	Weapons are like skills. The more you use them, the better you are at them.	2000
108100107	100001	I'll stay here. If anything weird happens, I'll let you know.	3000
108100108	100001	The night is dark and long. I know.	4000
108100109	100001	You have an immense power that can escape rules.	5000
108100110	100001	Fear not. I'll protect you.	6000
108100301	100001	Careful planning is the key to success. You should learn this skill.	2000
108100302	100001	Whatever. Please yourself.	3000
108100303	100001	At least the stars are worth looking at... Assuming there are no clouds.	4000
108100304	100001	For the rules I made, naturally, I get to break them.	5000
108100305	100001	What's in it for you?	6000
108100306	100001	Don't worry yourself too much about HQ. I'll keep an eye on things for you.	2000
108100307	100001	Too much paperwork? You seem very busy.	3000
108100308	100001	I'm just worried if people might be bullying you...	4000
108100309	100001	I must admit, I don't want to wreck what we've got...	5000
108100310	100001	I don't trust humans, but I trust you. Your existence is already rule-breaking.	6000
