Id	PartNpc	MainNpc	BoneName	RenderBoneName	MapDamageType	DeathSkillId	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
18	8532	8530	Bip001RCalf	Bip001RCalf	2																																																																																																					
19	8532	8530	Bip001LForearm	Bip001LForearm	2																																																																																																					
20	8532	8530	Bip001RForearm	Bip001RForearm	2																																																																																																					
21	8532	8530	eyeballBonesM3	eyeballBonesM3	2																																																																																																					
22	8532	8530	eyeBallBones01	eyeBallBones01	2																																																																																																					
23	8534	8530	BombCase	BombCase																																																																																																						
24	9326	9325	case1	case1																																																																																																						
25	9326	9325	case2	case2																																																																																																						
26	9326	9325	case3	case3																																																																																																						
27	8552	8550	EyeCase1	EyeCase1																																																																																																						
28	8552	8550	EyeCase2	EyeCase2																																																																																																						
29	8552	8550	EyeCase3	EyeCase3																																																																																																						
30	8552	8550	EyeCase4	EyeCase4																																																																																																						
31	8552	8550	EyeCase5	EyeCase5																																																																																																						
32	2006	8553		HitCase																																																																																																						
33	8541	8544		HuoshaSitCase																																																																																																						
