Id	Type	ScreenType	ActivityId	TimeId	ExtraParams[0]	ExtraParams[1]	Priority	Condition	InitQuality	QualityConditions[0]	Qualities[0]	QualityConditions[1]	Qualities[1]	QualityConditions[2]	Qualities[2]	ScoreParams[1]	Name	MainDesc	WorldDesc	Hint[1]	Hint[2]	Hint[3]	Hint[4]	ExpandInfoId[1]	ExpandInfoId[2]	ExpandInfoId[3]	ExpandInfoId[4]	GetDesc	ShowType	ShowScore	ShowQualityUpTip	IsNotShowGetTip	Medal3D	ShowMaxLevel	MedalImg	MedalIcon	GroupId	GroupLv	PrefabPath
13005100	5	2					1100	850006	3	850007	4	850008	5				Osiris Badge	Collectibles	A badge with Osiris printed on it to commemorate the incredible effort made to defeat him. Displays different colors as it levels up. Reserved for those who have survived the Doomsday Judgment. A testament to the epic battle against the Eye of Punishment and Eye of Judgment.	· Clear Osiris Overclock - Elite to upgrade it to purple	· Clear Osiris Overclock - Nightmare to upgrade it to orange							Clear Co-op [event] Osiris Overclock to receive							Assets/Product/Texture/Image/UiCollection/Iconcollection005.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005101	5	2					1200	850020	2	850013	3	850014	4	850015	5		Gabriel Badge	Collectibles	A badge with Gabriel printed on it to commemorate the incredible effort made to defeat him. Displays different colors as it levels up.	· Clear Gabriel Overclock - Easy to upgrade it to blue	· Clear Gabriel Overclock - Elite to upgrade it to purple	· Clear Gabriel Overclock - Nightmare to upgrade it to orange						Clear Co-op [event] Gabriel in Berserk or higher difficulty to receive							Assets/Product/Texture/Image/UiCollection/Iconcollection012.png		1	1	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005102	999	2					1201		5								Gabriel Badge	Collectibles	A badge with Gabriel printed on it to commemorate the incredible effort made to defeat him.									Earned after conditions in Trial Zone [Nightmare Gabriel] fulfilled.							Assets/Product/Texture/Image/UiCollection/Iconcollection012.png		1	2	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005103	999	2					1202		5								Gabriel Badge	Collectibles	A badge with Gabriel printed on it (advanced version) to commemorate the incredible effort made to defeat him.									Earned after conditions in Trial Zone [Nightmare Gabriel] fulfilled.							Assets/Product/Texture/Image/UiCollection/Iconcollection023.png		1	3	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005104	999	2					1203		5								Gabriel Badge	Collectibles	A badge with Gabriel printed on it (final version) to commemorate the incredible effort made to defeat him.									Earned after conditions in Trial Zone [Nightmare Gabriel] fulfilled.							Assets/Product/Texture/Image/UiCollection/Iconcollection029.png		1	4	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005200	999	2					1300		5								Phosphor Bronze Medal	Collectibles	This honor is awarded to the commandants who have made it to the top. The counter will update every time a new medal is won. Forged with phosphor bronze, it is a symbol of battle-tested strength and techniques.									Awarded to top 5%-10% players when Phalanx results are tallied		1					Assets/Product/Texture/Image/UiCollection/Iconcollection008.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005201	999	2					1301		5								Silver-coated Medal	Collectibles	This medal is only awarded to the top-ranking commandants, and is a symbol of outstanding strength and techniques. The counter will update every time a new medal is won. The perfectly blended silver and white colors make it a piece of art.									Awarded to top 1%-5% players when Phalanx results are tallied		1					Assets/Product/Texture/Image/UiCollection/Iconcollection009.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005202	999	2					1302		5								Gold-coated Medal	Collectibles	This honor is only awarded to the best of the best commandants. The counter will update every time a new medal is won. The golden coating and carving represent unrivalled strength and techniques.									Awarded to top 1% players when Phalanx results are tallied		1					Assets/Product/Texture/Image/UiCollection/Iconcollection010.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005301	999	2					1401		2	850024	3	850025	4	850026	5		Tokarev Tower Badge	Collectibles	Used to reward the commandants who succeeded in an in-depth simulation of Project Babel tactical operation. It is delicately crafted with special sentimental value.	· Collect 3 [Tokarev Tower Badges] to upgrade it to blue	· Collect 6 [Tokarev Tower Badges] to upgrade it to purple	· Collect 10 [Tokarev Tower Badges] to upgrade it to orange						Converted from [Tokarev Tower Badge]							Assets/Product/Texture/Image/IconTools/BabelReward1.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005302	999	2					1402		2	850027	3	850028	4	850029	5		Sand Tower Badge	Collectibles	Rewarded to commandants who have succeeded in an in-depth simulation of Project Babel Tower tactical operation phase 2, Sands of Infinity. This symbol of glory has witnessed a brave legend.	· Collect 3 [Sand Tower Badges] to upgrade it to blue	· Collect 6 [Sand Tower Badges] to upgrade it to purple	· Collect 10 [Sand Tower Badges] to upgrade it to orange						Converted from [Sand Tower Badge]							Assets/Product/Texture/Image/IconTools/BabelReward2.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005300	2	2	3				1403		2	850010	3	850011	4	850012	5		Theme Park Tower Badge	Collectibles	A badge obtained from Project Babel: Theme Park. Rewarded to commandants who have succeeded in an in-depth simulation of Project Babel tactical operation phase 3. A testament to an unforgettable experience.	· Complete Babel Tower mission [Ether Tower II] to upgrade it to blue	· Complete Babel Tower mission [Ether Tower III] to upgrade it to purple	· Complete Babel Tower mission [Ether Tower IV] to upgrade it to orange						Clear Babel Tower: Theme Park to receive		1					Assets/Product/Texture/Image/UiCollection/Iconcollection011.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerIconLv1.png			Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005303	2	2	4				1404		2	850039	3	850040	4	850041	5		Aurora Sky Badge	Collectibles	A badge obtained from Project Babel: Aurora Sky. Rewarded to commandants who have succeeded in an in-depth simulation of Project Babel tactical operation phase 4. A testament to an unforgettable experience.	· Complete Babel Tower mission [Aurora Gate II] to upgrade it to blue	· Complete Babel Tower mission [Aurora Gate III] to upgrade it to purple	· Complete Babel Tower mission [Aurora Gate IV] to upgrade it to orange						Clear Babel Tower: Aurora Sky to receive		1					Assets/Product/Texture/Image/UiCollection/Iconcollection016.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerIconLv2.png			Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005304	2	2	5				1405		2	850052	3	850053	4	850054	5		Bai Ze Badge	Collectibles	A badge obtained from Project Babel: Bai Ze Chamber. Rewarded to commandants who have succeeded in an in-depth simulation of Project Babel tactical operation phase 5. Hand-crafted by the best master artisans, this badge carries special value to collectors.	· Complete Babel Tower mission [Tabula Akasha II] to upgrade it to blue	· Complete Babel Tower mission [Tabula Akasha III] to upgrade it to purple	· Complete Babel Tower mission [Tabula Akasha IV] to upgrade it to orange						Clear Babel Tower: Bai Ze Chamber to receive		1					Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	Assets/Product/Texture/Image/UiCollection/Iconcollection024.png			Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005305	2	2	6				1406		2	850072	3	850073	4	850074	5		Morgana Sicily Badge	Collectibles	Rewarded to the commandants who have succeeded in an in-depth simulation of Project Babel Tower: Morgana Sicily, this badge has adopted a traditional design and carries great ceremonial value.	· Complete Babel Tower mission [Rising Pavilion II] to upgrade it to blue	· Complete Babel Tower mission [Rising Pavilion III] to upgrade it to purple	· Complete Babel Tower mission [Rising Pavilion IV] to upgrade it to orange						Clear Babel Tower: Morgana Sicily to receive		1					Assets/Product/Texture/Image/UiCollection/Iconcollection042.png	Assets/Product/Texture/Image/UiCollection/Iconcollection042.png			Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005400	999	2					1500		5								Metal Surfboard	Collectibles	A surfboard carrying summer memories. A big seller in Venus Splash Park.									Complete Challenge Missions in Operation Summer to receive							Assets/Product/Texture/Image/UiCollection/Iconcollection013.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005500	7	2					1600		2	850016	3	850017	4	850018	5		Shark-speare Figurine	Collectibles	A 1:15 limited-edition Shark-speare figurine gained after "playing" with Shark-speare, with quality varying depending on the level. All it ever does is play the same nursery rhyme over and over: "Let's play and be friends! Shark-speare loves eating the Gingerbread Man!"	· Gain 11★ Reward to upgrade it to blue	· Gain 13★ Reward to upgrade it to purple	· Gain 15★ Reward to upgrade it to orange						Gain 9★ Reward in Park Parade to unlock							Assets/Product/Texture/Image/UiCollection/Iconcollection014.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005501	7	2					1601		2	850042	3	850043	4	850044	5		Amberia Figure	Collectibles	The souvenir received after defeating Amberia. Displays different colors as it levels up. Let all the guilt and nightmares end here—	· Gain 11★ Reward to upgrade it to blue	· Gain 13★ Reward to upgrade it to purple	· Gain 15★ Reward to upgrade it to orange						Gain 9★ Reward in Karma Tidal to unlock							Assets/Product/Texture/Image/UiCollection/Iconcollection017.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005502	7	2					1602		2	850055	3	850056	4	850057	5		Luna's Data Sample	Collectibles	The combat illusion collected by Babylonia. Displays different colors as it levels up. Available after simulating the battle against Luna. Her formidable power can be felt even from the sample.	· Gain 11★ Reward to upgrade it to blue	· Gain 13★ Reward to upgrade it to purple	· Gain 15★ Reward to upgrade it to orange						Gain 9★ Reward in Kowloong Theater to unlock							Assets/Product/Texture/Image/UiCollection/Iconcollection025.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005503	7	2					1603		2	850069	3	850070	4	850071	5		Pterygota Queen Sample	Collectibles	The data sample received after defeating Pterygota Queen. Displays different colors as it levels up. "Opening the container may cause irreversible consequences. Full protection is advised before approaching this sample." — Asimov's message No.179	· Gain 11★ Reward to upgrade it to blue	· Gain 13★ Reward to upgrade it to purple	· Gain 15★ Reward to upgrade it to orange						Gain 9★ Reward in Simulated Torrent to unlock							Assets/Product/Texture/Image/UiCollection/Iconcollection027.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005600	999	2					1700		5								Magpie Pendant	Collectibles	A well-crafted souvenir mass-produced on the Nighter. According to legend, if you collect enough of them to build a magpie bridge, you will see the person you long for.									Can be obtained from the event "Summer Snapshots"							Assets/Product/Texture/Image/UiCollection/Iconcollection021.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005700	999	2					1800		2	850033	3	850034	4	850035	5		Border Certificate	Collectibles	This certificate is only issued to the elite commandants who have completed the missions of "Virtual Horizon." The ARU once believed they would eventually have the military power to challenge the world.	· Gain 8 [Border Certificates] to upgrade it to blue	· Gain 16 [Border Certificates] to upgrade it to purple	· Gain 24 [Border Certificates] to upgrade it to orange						Converted from [Border Certificate]		1					Assets/Product/Texture/Image/UiCollection/Iconcollection019.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005701	999	2					1801		2	850064	3	850065	4	850066	5		False Words Certificate	Collectibles	False Words Certificate	· Gain 10 [False Words Certificates] to upgrade it to blue	· Gain 20 [False Words Certificates] to upgrade it to purple	· Gain 30 [False Words Certificates] to upgrade it to orange						Converted from [False Words Certificate]		1					Assets/Product/Texture/Image/UiCollection/Iconcollection028.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005800	999	2					1900		2	850036	3	850037	4	850038	5		Damaged Cross	Collectibles	An item that seemed to be dropped by Amberia. When the light of dawn shines through the shattered ice, the nightmare is over, and "sinners" no longer exist.	· Deal 1,000 damage to Amberia to upgrade it to blue	· Deal 1,500 damage to Amberia to upgrade it to purple	· Deal 2,000 damage to Amberia to upgrade it to orange						Obtained after defeating Amberia in Elegy Of Nightmare							Assets/Product/Texture/Image/UiCollection/Iconcollection022.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005900	999	2					2000		2	850045	3	850046	4	850047	5		Mycenaean Bastion	Collectibles	A holographic badge inspired by a special castle design.	· Collect 5 [Mycenaean Bastion] to upgrade it to blue	· Collect 10 [Mycenaean Bastion] to upgrade it to purple	· Collect 20 [Mycenaean Bastion] to upgrade it to orange						Available through participating in Mycenaean Protocol: Wargame							Assets/Product/Texture/Image/UiCollection/Iconcollection018.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006000	8	2					2100	850048	2	850049	3	850050	4	850051	5		Book of Toro Scoreboard	Collectibles	Records the score earned in Book of Toro. The number displayed is updated based on the Trial Points earned during exploration (refreshes after clearing the Trial Mode).	· Accumulate 1600 Trial Points to upgrade it to blue	· Accumulate 1800 Trial Points to upgrade it to purple	· Accumulate 2000 Trial Points to upgrade it to orange						Obtained after clearing the Trial Mode of Book of Toro		1					Assets/Product/Texture/Image/UiCollection/Iconcollection026.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006100	9	2			1657839600	1	300		6								Honor Medal	Collectibles	A medal issued by Babylonia to all the commandants who have worked hard over the past year. The digital panel records the commandant's glorious achievements, and is decorated by a frame made from precious metal. (Up to 2022/7/5, 2:00 UTC)					1	2	3	4	From Anniversary Sign-in							Assets/Product/Texture/Image/UiCollection/Iconcollection033.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006200	999	2					2200		2	850061	3	850062	4	850063	5		Processing Unit	Collectibles	Even a single processing unit of Gestalt also processes incredible computing power. As Gestalt is gradually repaired, the processing units available for teams to use will also level up.	· Gain 5 [Processing Unit] to upgrade it to blue	· Gain 6 [Processing Unit] to upgrade it to purple	· Gain 10 [Processing Unit] to upgrade it to orange						Converted from [Processing Unit]							Assets/Product/Texture/Image/UiCollection/Iconcollection036.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006300	999	2					2300		2								Temp Imbalance Tape	Collectibles	Defeat all the obstacles to seize the victory. The best commandant of Babylonia will never lose! Records Commandant's outstanding performance during Temp Imbalance. Also has Celica's autograph on it.									Converted from [Temp Imbalance Tape]							Assets/Product/Texture/Image/UiCollection/Iconcollection037.png		2	1	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006301	999	2					2301		3								Temp Imbalance Tape	Collectibles	Defeat all the obstacles to seize the victory. The best commandant of Babylonia will never lose! Records Commandant's outstanding performance during Temp Imbalance. Also has Celica's autograph on it.									Converted from [Temp Imbalance Tape]							Assets/Product/Texture/Image/UiCollection/Iconcollection037.png		2	2	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006302	999	2					2302		4								Temp Imbalance Tape	Collectibles	Defeat all the obstacles to seize the victory. The best commandant of Babylonia will never lose! Records Commandant's outstanding performance during Temp Imbalance. Also has Celica's autograph on it.									Converted from [Temp Imbalance Tape]							Assets/Product/Texture/Image/UiCollection/Iconcollection037.png		2	3	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006303	999	2					2303		5								Temp Imbalance Tape	Collectibles	Defeat all the obstacles to seize the victory. The best commandant of Babylonia will never lose! Records Commandant's outstanding performance during Temp Imbalance. Also has Celica's autograph on it.									Converted from [Temp Imbalance Tape]							Assets/Product/Texture/Image/UiCollection/Iconcollection037.png		2	4	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006400	999	2					2400		5								POD Model	Collectibles	Limited POD Model									Clear the hidden missions of Untold Naraka							Assets/Product/Texture/Image/UiCollection/Iconcollection038.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006500	11	2			101		2402		4								Mechanoid Gacha	Collectibles	A collectible obtained from Micawberism Cloisters. Nanami made this gacha herself to commemorate the machine army that successfully reached the top of the tower.									Complete Event Mission "Micawberism Cloisters - Final" to receive		1				100	Assets/Product/Texture/Image/UiCollection/Iconcollection040.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleTwo.prefab
13006600	999	2					2401		5								Caesar & Cheney - Mk 79	Collectible	The collectible given to players and Constructs for completing events in various locations during the White Day. You can put vinyl records in this rare Golden Age machine to play songs from that era.									From White Day event							Assets/Product/Texture/Image/UiCollection/Iconcollection043.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006700	999	2					2403		5								Fortune Giver	Collectibles	On this special day, Kuroro is no longer a mysterious creature that came out of nowhere. Instead, it has become the "Fortune Giver", bringing lots of Cogs to all the players who have worked so hard in the past year. Congratulations, and we wish you great fortune in the year to come!									Awarded to participants of the limited event [Farewell to the Past Year]							Assets/Product/Texture/Image/UiCollection/Iconcollection039.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006800	999	2					2404		4								Crafted Lantern	Collectibles	A red rectangle hand-crafted lantern. Its wick is made from the tactical torches the children gathered in the Oasis. It brings a warm, orange light to the lonely night.									From Lantern Festival Sign-in							Assets/Product/Texture/Image/UiCollection/Iconcollection041.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006900	999	2					2405		2								Eden Festival Flag	Collectibles	Banners and balloons all over the Eden Festival were released together in the Opening Ceremony, flying to the skies along with good wishes. The Eden Festival flag flying on the pole witnessed the grand and cheerful celebration of a world without war and suffering, and recorded the unforgettable moments spent with them during the Festival.									Obtain by completing [Accept My Cheer VI]							Assets/Product/Texture/Image/UiCollection/Iconcollection045.png		3	1	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006901	999	2					2408		3								Eden Festival Flag	Collectibles	Banners and balloons all over the Eden Festival were released together in the Opening Ceremony, flying to the skies along with good wishes. The Eden Festival flag flying on the pole witnessed the grand and cheerful celebration of a world without war and suffering, and recorded the unforgettable moments spent with them during the Festival.									Complete [Accept My Cheer VII] to upgrade it to blue							Assets/Product/Texture/Image/UiCollection/Iconcollection045.png		3	2	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006902	999	2					2409		4								Eden Festival Flag	Collectibles	Banners and balloons all over the Eden Festival were released together in the Opening Ceremony, flying to the skies along with good wishes. The Eden Festival flag flying on the pole witnessed the grand and cheerful celebration of a world without war and suffering, and recorded the unforgettable moments spent with them during the Festival.									Complete [Accept My Cheer VIII] to upgrade it to purple							Assets/Product/Texture/Image/UiCollection/Iconcollection045.png		3	3	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13006903	999	2					2410		5								Eden Festival Flag	Collectibles	Banners and balloons all over the Eden Festival were released together in the Opening Ceremony, flying to the skies along with good wishes. The Eden Festival flag flying on the pole witnessed the grand and cheerful celebration of a world without war and suffering, and recorded the unforgettable moments spent with them during the Festival.									Complete [Accept My Cheer IX] to upgrade it to orange							Assets/Product/Texture/Image/UiCollection/Iconcollection045.png		3	4	Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007000	999	2					2406		2	850075	3	850076	4	850077	5		War-Experienced Ribbon	Collectibles	History has always been written by the winner. In this case, after so many battles, you are experienced and worthy for receiving this War-Experienced Ribbon.—Hassen	·Gain 2 [War-Experienced Ribbon] to upgrade it to blue	·Gain 4 [War-Experienced Ribbon] to upgrade it to purple	·Gain 5 [War-Experienced Ribbon] to upgrade it to orange						Obtain by participating in Mycenaean Protocol: Blind Simulation							Assets/Product/Texture/Image/UiCollection/Iconcollection046.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007100	999	2					2407		2	850078	3	850079	4	850080	5		Operation Manual	Collectibles	Private summaries written by F.O.S students, containing key information on tactics and knowledge not taught in class. The work is rough around the edges but insightful to those in the know. This is a more detailed version kept by Chrome, with many of his own comments added, not all of which agreeing with the text.	·Collect 2 "Operation Manual" to upgrade it to blue	·Collect 3 "Operation Manual" to upgrade it to purple	·Collect 4 "Operation Manual" to upgrade it to orange						Obtain by completing Chrome: Glory's Challenge Stage							Assets/Product/Texture/Image/UiCollection/Iconcollection047.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007200	999	2					2500		5								JOKER	Collectibles	A rare commemorative card that only appears in a few dozen popular card decks in Babylonia. The front of this shining gold card is a symbol of mysterious power. This makes it quite the collector's item.									Win 10 times consecutively in Poker Guessing							Assets/Product/Texture/Image/UiCollection/Iconcollection048.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007300	999	2					2600		4					850081	5		Calculation Suitcase	Collectibles	A suitcase containing the formulas and procedures for checking the whole process. Data can be viewed through the electronic screen on the outside of the case without opening it.			 Gain 2 [Calculation Case], and rank up to Orange						Participate in Chained Simulation to obtain it							Assets/Product/Texture/Image/UiCollection/Iconcollection050.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007400	999	2					2700		2	850082	3	850083	4	850084	5		Message In A Bottle	Collectibles	Asimov's cherished personal collectible.	·Gain 3 [Message In A Bottle] and rank up to Blue	·Gain 6 [Message In A Bottle] and rank up to Purple	·Gain 10 [Message In A Bottle] and rank up to Orange						Collect points rewards of Limit Break to obtain it							Assets/Product/Texture/Image/UiCollection/Iconcollection051.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007500	11	2			102		2800		4								Broken Pocketwatch	Collectibles	An exquisite vintage pocketwatch. There is no pointer on the gold leaf spiral dial, but you can get close to it and listen carefully to the looming gear sound, whether it comes from the clock, or the depths of the tower...?									Complete Event Mission "Micawberism Cloisters - Final" to obtain it		1				50	Assets/Product/Texture/Image/UiCollection/Iconcollection049.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007600	999	2					2900		4								Secret Treasure	Collectibles	Answer all puzzles correctly to obtain the hidden treasures.									Participate the [Treasure Rush] Event to obtain it							Assets/Product/Texture/Image/UiCollection/Iconcollection052.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13007700	999	2					3000		2	850085	3	850086	4	850087	5		Horizon Echoes - Album	Collectibles	An album recorded in an old storage device. The stories of the ocean are sung by an old yet rich voice.	· Gain 3 [Horizon Echoes - Album], quality upgrade to Blue	· Gain 6 [Horizon Echoes - Album], quality upgrade to Purple	· Gain 10 [Horizon Echoes - Album], quality upgrade to Orange						Obtain by clearing [Into the Deep]							Assets/Product/Texture/Image/UiCollection/Iconcollection054.png				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
